ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10500301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10500302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10500303,hide,hide,hide,hide,hide,排练室在二楼走廊的尽头。平时很少有人去——地板是旧的木地板，走上去会吱嘎响。但今天早上，走廊里不是吱嘎声。是钢琴声。很轻。像怕吵醒谁。旋律不复杂——几个和弦来回走，然后在一个高音上停住。不是那种商业偶像的歌。是更慢的。更空的。,Corridor,Mixed_Emotion,,,
10500304,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500305,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500306,hide,hide,hide,hide,hide,我推开门。夏实坐在钢琴前面。穿着一件白色的衬衫——太大，袖子卷了三圈。头发随便扎了一个马尾。没有化妆。脚上没有穿鞋——赤着脚踩在踏板上。脚趾在踏板上轻轻压着，控制着每个音的延长和消失。,Corridor,Mixed_Emotion,,,
10500307,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500308,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500309,hide,hide,hide,hide,hide,空气里有旧木头和钢琴蜡的味道。钢琴是老式的立式琴——黑色的漆面上有几道划痕，琴键有几个已经泛黄了。但声音还是准的。大概刚调过音。还有一个更淡的味道——她身上的洗衣粉味。和排练室里陈年的灰尘混在一起。,Corridor,Mixed_Emotion,,,
10500310,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500311,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500312,hide,hide,hide,hide,hide,别说话。听。,Corridor,Mixed_Emotion,,,
10500313,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500314,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500315,hide,hide,hide,hide,hide,她从头开始弹。前奏很长——左手走低音，右手在高音区弹一串很细的音符。不是那种让人想跟着哼的旋律。是那种让人想闭眼的。像夏天傍晚的某个时刻——天还没全黑，但街灯已经亮了。那个中间的时刻。,Corridor,Mixed_Emotion,,,
10500316,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500317,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500318,hide,hide,hide,hide,hide,然后她开始唱。声音和平时在俱乐部唱的不一样。平时是甜美的、完美的、有弧度的。现在的声音——更薄。但更真。像一层纸被水打湿之后，能看到下面的东西。,Corridor,Mixed_Emotion,,,
10500319,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500320,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500321,hide,hide,hide,hide,hide,……影子很长,Corridor,Mixed_Emotion,,,
10500322,hide,hide,hide,hide,hide,走在影子前面的人,Corridor,Mixed_Emotion,,,
10500323,hide,hide,hide,hide,hide,不知道自己被跟着,Corridor,Mixed_Emotion,,,
10500324,hide,hide,hide,hide,hide,光很短,Corridor,Mixed_Emotion,,,
10500325,hide,hide,hide,hide,hide,站在光里的人,Corridor,Mixed_Emotion,,,
10500326,hide,hide,hide,hide,hide,不知道光会灭,Corridor,Mixed_Emotion,,,
10500327,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500328,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500329,hide,hide,hide,hide,hide,"她唱到""光会灭""的时候，脚从踏板上松开了。最后一个音在空中飘了一下，然后消失。她的手还放在琴键上。没有动。琴键没有弹回来——手指还按着。",Corridor,Mixed_Emotion,,,
10500330,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500331,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500332,hide,hide,hide,hide,hide,这首歌叫「光」。不是「暗」。是「光」。,Corridor,Mixed_Emotion,,,
10500333,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500334,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500335,hide,hide,hide,hide,hide,她转过来看我。眼睛在排练室昏暗的光线里很亮。不是偶像的亮——是某种更安静的。像一个人在深夜里对着镜子练了很久之后，终于转过来让第一个人看。,Corridor,Silent_Night,,,
10500336,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500337,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10500338,hide,hide,hide,hide,hide,宴会上我要唱这个。,Corridor,Silent_Night,,,
10500339,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
