ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10010101,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10010102,hide,hide,hide,hide,hide,夕阳将天空染成暗金与绛紫的渐变色。,Club_away,Mixed_Emotion,,,
10010103,hide,hide,hide,hide,hide,日本街头的街灯此时尚未亮起，阴影正慢慢沿着街道爬行。,Club_away,Mixed_Emotion,,,
10010104,hide,hide,hide,hide,hide,这里分明是大阪最繁华的地段，但是这条街上却出奇地没有什么人。,Club_away,Mixed_Emotion,,,
10010105,hide,hide,hide,hide,hide,可就在隔壁，御堂筋与心斋桥的交汇处，霓虹的河流沿着街道奔涌。,Club_away,Mixed_Emotion,,,
10010106,hide,hide,hide,hide,hide,在那里，人群如潮水般涌动，带着关西特有的喧嚣。,Club_away,Mixed_Emotion,,,
10010107,hide,hide,hide,hide,hide,毕竟大阪最昂贵的地段，每平方米土地都浸泡着躁动。,Club_away,Mixed_Emotion,,,
10010108,hide,hide,hide,hide,hide,可只需拐进一条岔路，仅仅二十步，世界就开始失声。,Club_away,Mixed_Emotion,,,
10010109,hide,hide,hide,hide,hide,连气味也随之变化，章鱼烧的焦香消失，取而代之的是一种陈旧纸张与干燥木材混合的气味。,Club_away,Mixed_Emotion,,,
10010110,hide,hide,hide,hide,hide,更深层处，隐约能嗅到线香的灰烬、以及某种甜腻到近乎腐败的花香。,Club_away,Slow_Lure,,,
10010111,hide,hide,hide,hide,hide,这也就是我现在所在的地方，这条地图上标注为“鹤羽小路”的小巷子。,Club_away,Slow_Lure,,,
10010112,hide,hide,hide,hide,hide,不时有不明所以的外国游客路过这里四处好奇打探，但是无功而返。,Club_away,Slow_Lure,,,
10010113,hide,hide,hide,hide,hide,而我要去的“十二飞鸟”俱乐部就藏在这里。,Club_away,Slow_Lure,,,
10010114,hide,hide,hide,hide,hide,“十二飞鸟”俱乐部没有招牌。,Club_outside,Slow_Lure,,,
10010115,hide,hide,hide,hide,hide,至少没有寻常意义上的招牌。,Club_outside,Slow_Lure,,,
10010116,hide,hide,hide,hide,hide,它占据的是一栋五层高的和风现代建筑，体量与周围低矮的商铺相比堪称巨物。,Club_outside,Slow_Lure,,,
10010117,hide,hide,hide,hide,hide,但你的眼睛会下意识地滑过它。,Club_outside,Slow_Lure,,,
10010118,hide,hide,hide,hide,hide,这不是因为它隐蔽——它就在巷子尽头，占据着最好的转角位置,Club_outside,Slow_Lure,,,
10010119,hide,hide,hide,hide,hide,——而是因为它的设计遵循着某种违背视觉逻辑的原则。,Club_outside,Slow_Lure,,,
10010120,hide,hide,hide,hide,hide,设计师刻意拆除了所有突出的装饰线条。,Club_outside,Slow_Lure,,,
10010121,hide,hide,hide,hide,hide,没有屋檐，没有阳台，没有空调外机——所有现代建筑无法避免的“凸起”都被隐藏或整合。,Club_outside,Slow_Lure,,,
10010122,hide,hide,hide,hide,hide,它就那样立在那里，像一座刻意被城市遗忘的墓碑。,Club_outside,Slow_Lure,,,
10010123,hide,hide,hide,hide,hide,而我此时，正努力平复自己的心情，准备踏入这座墓室……,Club_outside,Mixed_Emotion,,,
10010124,hide,hide,hide,hide,hide,我知道自己平复心情的尝试并不算成功,Club_outside,Mixed_Emotion,,,
10010125,hide,hide,hide,hide,hide,——我察觉到我的左手此时垂在身侧，指尖微微颤动，像是在模拟扣动扳机的动作。,Club_outside,Mixed_Emotion,,,
10010126,hide,hide,hide,hide,hide,那是我紧张的时候的下意识的动作。,Club_outside,Coming_Dangerous,,,
10010127,hide,hide,hide,hide,hide,不过好在这个下意识动作的含义应该只有我自己知道。,Club_outside,Coming_Dangerous,,,
10010128,hide,hide,hide,hide,hide,门就在那里。,Club_door,Coming_Dangerous,,,
10010129,hide,hide,hide,hide,hide,沉默着，等待着。,Club_door,Coming_Dangerous,,,
10010130,hide,hide,hide,hide,hide,和这栋建筑一样。,Club_door,Coming_Dangerous,,,
10010131,hide,hide,hide,hide,hide,但是整个大阪只有极少数人知道，这扇门的背后有多危险,Club_door,Coming_Dangerous,,,
10010132,hide,hide,hide,hide,hide,——比如像我这样，在大阪工作的警察。,Club_door,Coming_Dangerous,,,
10010133,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10010201,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10010202,hide,hide,hide,hide,hide,时间拉回到一周以前，那个街角的拉面店里。,RamenShop,Coming_Dangerous,,,
10010203,hide,hide,hide,hide,hide,我当时刚刚作为新人来到大阪警署报道。,RamenShop,Coming_Dangerous,,,
10010204,hide,hide,hide,hide,hide,以为那会是自己的新上司因为新人到来的一场普通的宴请。,RamenShop,Coming_Dangerous,,,
10010205,hide,hide,hide,hide,hide,但是，显然，命运的齿轮在那个时候就已经开始吱呀转动起来。,RamenShop,Coming_Dangerous,,,
10010206,hide,hide,hide,hide,hide,他带我来的拉面店基本没什么顾客，也不需要预约。,RamenShop,Coming_Dangerous,,,
10010207,hide,hide,hide,hide,hide,但是拉面的味道出奇的好。,RamenShop,Coming_Dangerous,,,
10010208,hide,hide,hide,hide,hide,拉面的热气扑在脸上时，带着食材的香味。,RamenShop,Coming_Dangerous,,,
10010209,hide,hide,hide,hide,hide,我看着那碗酱油拉面，汤色清澈得能看见碗底手写的“鹤”字。,RamenShop,Coming_Dangerous,,,
10010210,hide,hide,hide,hide,hide,拉面里的笋干切得极薄，像是半透明的翅膀，三片叉烧叠成山形。,RamenShop,Coming_Dangerous,,,
10010211,hide,hide,hide,hide,hide,浮在上面的溏心蛋对半切开，蛋黄像凝固的落日一样的漂亮。,RamenShop,Coming_Dangerous,,,
10010212,hide,hide,hide,hide,hide,我夹起一筷子拉面，送进嘴里。,RamenShop,Coming_Dangerous,,,
10010213,hide,hide,hide,hide,hide,增田课长坐在我对面，已经吃了半碗。他说话时没抬头，专注地吹着汤面的热气。,RamenShop,Coming_Dangerous,,,
10010214,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010215,hide,hide,hide,hide,hide,怎么样？这家拉面店？跟你家乡的比。,RamenShop,Coming_Dangerous,,,
10010216,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010217,hide,hide,hide,hide,hide,我的家乡么？我的家乡在北海道一个小渔港。,RamenShop,Coming_Dangerous,,,
10010218,hide,hide,hide,hide,hide,在那个渔港，冬天的海是铁灰色的，风像刀子一样。,RamenShop,Coming_Dangerous,,,
10010219,hide,hide,hide,hide,hide,那里有一个拉面店我经常去，老板是个退伍的老水手，做的味噌拉面味道浓，和眼前这碗完全不一样。,RamenShop,Coming_Dangerous,,,
10010220,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010221,hide,hide,hide,hide,hide,不一样。,RamenShop,Coming_Dangerous,,,
10010222,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010223,hide,hide,hide,hide,hide,哪种更好？,RamenShop,Coming_Dangerous,,,
10010224,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010225,hide,hide,hide,hide,hide,没有更好。,RamenShop,Coming_Dangerous,,,
10010226,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010227,hide,hide,hide,hide,hide,刚好，增田课长吃完眼前最后一口面，把碗推向前，双手合十。,RamenShop,Coming_Dangerous,,,
10010228,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010229,hide,hide,hide,hide,hide,多谢款待。,RamenShop,Coming_Dangerous,,,
10010230,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010231,hide,hide,hide,hide,hide,老板在柜台后点了点头，继续看他的报纸。店里自始至终只有我们两个客人。,RamenShop,Coming_Dangerous,,,
10010232,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010233,hide,hide,hide,hide,hide,你调来关西多久了？,RamenShop,Coming_Dangerous,,,
10010234,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010235,hide,hide,hide,hide,hide,刚刚十二天。,RamenShop,Coming_Dangerous,,,
10010236,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010237,hide,hide,hide,hide,hide,组里认识你的人多吗？,RamenShop,Coming_Dangerous,,,
10010238,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010239,hide,hide,hide,hide,hide,没有，各种各样的手续和培训就用掉了七八天，我现在基本认不得什么人……,RamenShop,Coming_Dangerous,,,
10010240,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010241,hide,hide,hide,hide,hide,我是说他们认识你，不是你认识他们。,RamenShop,Coming_Dangerous,,,
10010242,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010243,hide,hide,hide,hide,hide,课长看起来很在意这种事情。,RamenShop,Coming_Dangerous,,,
10010244,hide,hide,hide,hide,hide,看来以后说话要多注意了。,RamenShop,Coming_Dangerous,,,
10010245,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010246,hide,hide,hide,hide,hide,不超过十个，大多只知道名字，没打过照面。,RamenShop,Coming_Dangerous,,,
10010247,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010248,hide,hide,hide,hide,hide,交通课和搜查一课呢？,RamenShop,Coming_Dangerous,,,
10010249,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010250,hide,hide,hide,hide,hide,更少。除了入职培训时的教官，基本没人记得我的脸。,RamenShop,Coming_Dangerous,,,
10010251,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010252,hide,hide,hide,hide,hide,听到这里，增田课长从背包里掏出一个牛皮纸袋，放在桌上。纸袋很旧，边缘起毛，像是被反复打开过很多次。,RamenShop,Coming_Dangerous,,,
10010253,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010254,hide,hide,hide,hide,hide,有一个任务，你可以看看，你是否合适。,RamenShop,Coming_Dangerous,,,
10010255,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010256,hide,hide,hide,hide,hide,他从纸袋里抽出一份文件，推到我面前。,RamenShop,Coming_Dangerous,,,
10010257,hide,hide,hide,hide,hide,“黑羽哲也，29岁，早稻田商学部中退。父亲经营的小建材公司破产，去年三月在仓库上吊。留下债务……三千万円。”,RamenShop,Coming_Dangerous,,,
10010258,hide,hide,hide,hide,hide,我拿起文件。伪造的毕业证书、离职证明、银行催款单、甚至还有一张牙科诊疗记录——一颗蛀牙的X光片。资料一应俱全。,RamenShop,Coming_Dangerous,,,
10010259,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010260,hide,hide,hide,hide,hide,为什么辍学？,RamenShop,Coming_Dangerous,,,
10010261,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010262,hide,hide,hide,hide,hide,父亲破产后，你试图打工还债，但杯水车薪。,RamenShop,Coming_Dangerous,,,
10010263,hide,hide,hide,hide,hide,最后去了银座一家高级俱乐部当侍应，因为长得端正，三年后升到副经理。,RamenShop,Coming_Dangerous,,,
10010264,hide,hide,hide,hide,hide,这个解释怎么样？,RamenShop,Coming_Dangerous,,,
10010265,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010266,hide,hide,hide,hide,hide,我翻到最后一页，果然有一封措辞冷淡的推荐信，落款是“银座风情俱乐部”。,RamenShop,Coming_Dangerous,,,
10010267,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010268,hide,hide,hide,hide,hide,所以这是需要做什么？,RamenShop,Coming_Dangerous,,,
10010269,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010270,hide,hide,hide,hide,hide,去卧底一个风俗俱乐部，叫“十二飞鸟”俱乐部。,RamenShop,Coming_Dangerous,,,
10010271,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010272,hide,hide,hide,hide,hide,课长又从纸袋里抽出几张打印纸。,RamenShop,Coming_Dangerous,,,
10010273,hide,hide,hide,hide,hide,但是他没有递给我，而是朝着柜台后面的老板方向看过去。老板点了点头，起身走向后厨。帘子落下，厨房传来冲洗锅具的水声。,RamenShop,Unreal_Memory,,,
10010274,hide,hide,hide,hide,hide,等水声响起，增田课长才把纸张递给我。,RamenShop,Unreal_Memory,,,
10010275,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010276,hide,hide,hide,hide,hide,所以得增补一些资料。,RamenShop,Unreal_Memory,,,
10010277,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010278,hide,hide,hide,hide,hide,纸上是伪造的LINE聊天记录，虚构的“黑羽哲也”和“女友”的对话。,RamenShop,Unreal_Memory,,,
10010279,hide,hide,hide,hide,hide,“女友：哲也，我真的撑不下去了。妈妈的住院费又涨了……”,RamenShop,Unreal_Memory,,,
10010280,hide,hide,hide,hide,hide,“我：再给我一点时间。”,RamenShop,Unreal_Memory,,,
10010281,hide,hide,hide,hide,hide,“女友：三年了！你每次都这么说！可是你一直在银座做什么？当酒吧经理和女人喝酒？”,RamenShop,Unreal_Memory,,,
