ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10380401,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380402,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380403,hide,hide,hide,hide,hide,风已经大起来了。窗户被吹得嗡嗡响。育子坐在休息室的角落里，面前摊着一张信纸。她手里握着圆珠笔，握得很紧。纸上有几行字，写了又划掉，划了又写。纸被划得起了毛。,RestRoom,Mixed_Emotion,,,
10380404,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380405,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380406,hide,hide,hide,hide,hide,空气里有圆珠笔油墨的味道。还有一种很淡的樟脑——她大概在柜子里放了防虫剂。她把信纸推到我面前。低着头。,RestRoom,Mixed_Emotion,,,
10380407,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380408,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380409,hide,hide,hide,hide,hide,……帮我看看。语法。,RestRoom,Mixed_Emotion,,,
10380410,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380411,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380412,hide,hide,hide,hide,hide,我接过来。信纸上写的字很用力。每个字都像刻上去的。内容很简单——,RestRoom,Mixed_Emotion,,,
10380413,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380414,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380415,hide,hide,hide,hide,hide,「妈妈，我在大阪。在一个叫十二飞鸟的地方工作。工作不累。同事对我好。我学会了用电脑。会打字了。我想让妈妈知道我还好。不用担心。我会存钱。以后回去看你。」,RestRoom,Mixed_Emotion,,,
10380416,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380417,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380418,hide,hide,hide,hide,hide,信纸上有几个语法错误。助词用错了。还有一个字写错了。我用铅笔在旁边写了正确的。育子看着我的笔尖。看得很认真。然后她把信拿回去，重新抄了一遍。这次手没有抖。,RestRoom,Mixed_Emotion,,,
10380419,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380420,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380421,hide,hide,hide,hide,hide,……我想让妈妈知道我还好。,RestRoom,Mixed_Emotion,,,
10380422,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380423,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380424,hide,hide,hide,hide,hide,她说这句话的时候没有看我。但她把信封封口的时候，嘴角动了一下。不是笑。是某种更小的东西——是一个人在做完一件想做了很久的事之后，心里某个位置终于松了一下。,RestRoom,Mixed_Emotion,,,
10380425,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380426,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380427,hide,hide,hide,hide,hide,明天去寄。,RestRoom,Mixed_Emotion,,,
10380428,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380429,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380430,hide,hide,hide,hide,hide,她把信封放在柜子里。压在叠好的衣服下面。外面风更大了。窗户缝里挤进来的风把信纸吹得翻了一下。她用手按住。很轻地按着。像在按一只小鸟。,RestRoom,Mixed_Emotion,,,
10380431,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
