ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10450501,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450502,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450503,hide,hide,hide,hide,hide,俱乐部的招牌灯亮了。今晚不是歇业——照常营业。台风后修好的那几根灯管也亮了。光比之前更完整。暖黄色的光投在柏油路面上，画了一个完整的椭圆形光圈。招牌上的「十二飞鸟」四个字，在夜空中很清晰。,Corridor,Unreal_Memory,,,
10450504,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450505,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450506,hide,hide,hide,hide,hide,大厅里的空气和平时不一样。不是味道不一样——是温度不一样。像是所有人在同一个空间里，但每个人都在想着同一件事。那件事太大，压低了空气的温度。吊灯亮着。音乐放着。客人来了又走。表面上是普通的一夜。但每个人都知道——这是最后一夜。明天晚上之后，这个俱乐部不会再和以前一样了。,Club_lobby,Unreal_Memory,,,
10450507,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10450508,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10450509,hide,hide,hide,hide,hide,夏实在钢琴前弹了一首很短的曲子。不是出道曲。是别的什么——听起来像练习曲。但她的手指在琴键上停留的时间比平时长。每弹一个音，手指都会在琴键上多停半秒。像是舍不得离开。彩和瞳坐在大厅角落。没有表演。只是坐着。瞳靠在彩肩上，眼睛半闭。彩的手放在瞳的头发上，一下一下地摸。和台风那天早上一样。,Club_lobby,Mixed_Emotion,,,
10450510,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10450511,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10450512,hide,hide,hide,hide,hide,紫在吧台旁边摆好了塔罗牌。但今晚没有客人来找她占卜。她把牌翻开。一张一张翻。翻到「星」。看着它。看了很久。然后把牌合上。放回盒子里。盒子是木头的。很旧。盒盖上刻了一颗星星。是那个吉普赛女人刻的。,Club_lobby,Mixed_Emotion,,,
10450513,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10450514,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10450515,hide,hide,hide,hide,hide,景子坐在休息室的化妆镜前。她穿了一件深蓝色的裙子。裙子上的珠子在灯光下微微反光。她对着镜子涂口红。豆沙色。这一次涂完了。没有停。嘴角那一小块颜色补上了。她看着镜子里的自己。然后把手伸进口袋。摸了一下那颗纽扣。纽扣还在。,RestRoom,Mixed_Emotion,,,
10450516,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10450517,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10450518,hide,hide,hide,hide,hide,育子站在会计位旁边。她今晚穿了一件深色的连衣裙。领口系了一条丝带。头上戴着那支白色羽毛发饰。发饰在她头发上很稳。她手里拿着一个文件夹。文件夹里夹着座位表。她反复看。反复确认。每一个名字。每一个座位。每一行备注。,RestRoom,Mixed_Emotion,,,
10450519,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10450520,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10450521,hide,hide,hide,hide,hide,雪代站在大厅中央。和第一天我见到她时一样的位置。她今天没有穿白无垢——换回了平时的白色工作服。头发盘起来了。但没有戴发饰。她环顾了一圈。在每一个人的脸上停了一秒。然后她微微低了一下头。不是鞠躬。是某种更安静的致意。致这些女孩。致这二十一年。致明天晚上。,Club_lobby,Silent_Night,,,
10450522,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10450523,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10450524,hide,hide,hide,hide,hide,然后她转身。走向厨房。去检查明天晚宴的菜单。她的背影在走廊里越走越远。和服的白色在暗光里渐渐变成了灰色。然后消失在厨房门口。,Corridor,Silent_Night,,,
10450525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10450526,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10450527,hide,hide,hide,hide,hide,大厅里的音乐还在放。一首很老的爵士。萨克斯的声音很沙。像是嗓子被烟熏过。客人在角落里低声交谈。酒杯碰撞的声音很轻。这一切和平时一样。但所有人都知道不一样。因为明天晚上——每个人的座位上，都会有一张写了他们名字的名牌。,Club_lobby,Silent_Night,,,
10450528,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10450529,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10450530,hide,hide,hide,hide,hide,"后巷。自动贩卖机前。紫蹲在地上，手里的硬币塞了三次才进去。机器吐出一罐热咖啡——巧克力味的，不是她想要的。她把罐子放在手心里捂了很久。没有打开。只是捂。后巷里有铁锈和厨余垃圾的气味。她蹲在那里，对着贩卖机里的灯光看罐底的保质期。""还有两天。""她把咖啡塞进口袋。站起来。走进去。没有占卜。没有牌。只有一罐快过期的巧克力咖啡。公寓里还有一只乌鸦在等她。",Apartment,Silent_Night,,,
10450531,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
