ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030400,hide,hide,hide,hide,hide,她顿了顿，嘴角扯出一个苦涩的弧度。,Apartment,Melancholy_Rain,,,
10030401,早莺姬·小野南梨,hide,hide,hide,hide,,Apartment,Melancholy_Rain,,,
10030402,hide,hide,hide,hide,hide,而且……有些客人。,Apartment,Melancholy_Rain,,,
10030403,hide,hide,hide,hide,hide,他们知道我有个重病的男朋友。,Apartment,Melancholy_Rain,,,
10030404,hide,hide,hide,hide,hide,就会故意……,Apartment,Melancholy_Rain,,,
10030405,hide,hide,hide,hide,hide,要我穿自己的、普通的衣服来服务。,Apartment,Melancholy_Rain,,,
10030406,hide,hide,hide,hide,hide,说这样……更有“现实感”。,Apartment,Melancholy_Rain,,,
10030407,hide,hide,hide,hide,hide,更……“刺激”。,Apartment,Melancholy_Rain,,,
10030408,hide,hide,hide,hide,hide,,Apartment,Melancholy_Rain,,,
10030409,hide,hide,hide,hide,hide,她说最后几个字时，声音轻得几乎听不见。手指无意识地抚摸着蝴蝶结，像是想抚平什么看不见的皱褶。,Apartment,Melancholy_Rain,,,
10030410,hide,hide,hide,hide,hide,走廊尽头的时钟敲响了两下。,Corridor,Melancholy_Rain,,,
10030411,hide,hide,hide,hide,hide,此时已经是凌晨两点。,Corridor,Silent_Night,,,
10030412,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Silent_Night,,,突然惊醒般
10030413,hide,hide,hide,hide,hide,啊，我得走了！,Corridor,Silent_Night,,,
10030414,hide,hide,hide,hide,hide,明天早上七点要去医院送饭……,Hospital,Mixed_Emotion,,,
10030415,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10030416,hide,hide,hide,hide,hide,她匆忙鞠躬，抱着那件浅蓝色内衣，踉踉跄跄地往更衣室方向跑去。,DressingRoom,Mixed_Emotion,,,
10030417,hide,hide,hide,hide,hide,但跑了没几步，又停下来，回头看了我一眼。,DressingRoom,Mixed_Emotion,,,
10030418,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,小声
10030419,hide,hide,hide,hide,hide,今晚的事……能请您保密吗？,DressingRoom,Mixed_Emotion,,,
10030420,hide,hide,hide,hide,hide,不只是内衣的事……,DressingRoom,Mixed_Emotion,,,
10030421,hide,hide,hide,hide,hide,是所有的事。,DressingRoom,Mixed_Emotion,,,
10030422,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10030423,hide,hide,hide,hide,hide,我点了点头。,DressingRoom,Mixed_Emotion,,,
10030424,hide,hide,hide,hide,hide,她似乎松了口气，转身消失在了走廊转角……,Corridor,Mixed_Emotion,,,
10030425,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030426,hide,hide,hide,hide,hide,++让她自己找,Corridor,Mixed_Emotion,,,
10030427,hide,hide,hide,hide,hide,丢失的蝴蝶结_2 101202,Corridor,Mixed_Emotion,,,
10030428,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030429,hide,hide,hide,hide,hide,好的，那你找的时候自己小心一些。,Corridor,Mixed_Emotion,,,
10030430,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030431,hide,hide,hide,hide,hide,好的，麻烦了经理。,Corridor,Mixed_Emotion,,,
10030432,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030433,hide,hide,hide,hide,hide,虽然说让她自己找，但是我还是决定在外面等她一下。,Corridor,Mixed_Emotion,,,
