ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550601,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550602,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550603,hide,hide,hide,hide,hide,深夜十一点。茶室的门半开着。里面亮着灯——不是电灯，是烛台。一支白蜡烛。蜡烛已经烧了一半，烛泪在铜盘上凝成白色的花。茶室里的气味很固定——冷杉、白檀、抹茶的微苦。三种味道叠在一起，形成一种很特殊的静。不是安静——是静止。,Corridor,Silent_Night,,,
10550604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550605,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550606,hide,hide,hide,hide,hide,雪代坐在榻榻米上。穿着那件墨色和服。白色羽毛发饰插在发间。她面前放着两个茶碗。一个她的。一个我的。茶碗里是抹茶——已经凉了。绿色的茶汤表面有一层很细的泡沫，还没完全散。她没有看我。她看着蜡烛的火焰。火焰在空气里微微晃动——不是风，是呼吸。她的呼吸让火焰晃。,Corridor,Silent_Night,,,
10550607,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550608,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550609,hide,hide,hide,hide,hide,坐。,Corridor,Silent_Night,,,
10550610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550611,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550612,hide,hide,hide,hide,hide,我坐在她对面。榻榻米的蔺草味从腿下面升上来。干草的、旧的、被很多人坐过的味道。茶室里很暖。但她的眼睛不暖。她的眼睛在看火焰的时候是冷的。不是冰——是湖。表面平静，下面什么都可能有。,Corridor,Silent_Night,,,
10550613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550614,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550615,hide,hide,hide,hide,hide,明天。晚宴。村上道也会来。他的秘书。他的执行组。还有俱乐部的所有人。我。你。朱雀。青鹭。所有人。都在一个房间里。,Corridor,Silent_Night,,,
10550616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550617,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550618,hide,hide,hide,hide,hide,她把手放在茶碗旁边。手指在碗沿上走了一圈。没有拿起来。只是碰。,Corridor,Silent_Night,,,
10550619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550620,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550621,hide,hide,hide,hide,hide,你知道会发生什么。你知道每个人会怎么做。你知道——我也会做选择。,Corridor,Silent_Night,,,
10550622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550623,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550624,hide,hide,hide,hide,hide,她抬起眼睛看我。烛光在她眼睛里变成一个很小的亮点。亮点不动。她的眼睛不动。,Corridor,Silent_Night,,,
10550625,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550626,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550627,hide,hide,hide,hide,hide,如果我的选择不是你想的那样。你怎么办。,Corridor,Silent_Night,,,
10550628,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550629,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550630,hide,hide,hide,hide,hide,这个问题在茶室里停了很久。蜡烛的火焰晃了一下。然后稳住。然后又开始晃。我看着她。她没有移开眼睛。,Corridor,Silent_Night,,,
10550631,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550632,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550633,hide,hide,hide,hide,hide,……你不会。,Corridor,Silent_Night,,,
10550634,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550635,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550636,hide,hide,hide,hide,hide,你确定。,Corridor,Silent_Night,,,
10550637,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550638,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550639,hide,hide,hide,hide,hide,……不确定。但我赌你。,Corridor,Silent_Night,,,
10550640,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550641,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550642,hide,hide,hide,hide,hide,她的嘴唇动了一下。不是笑。是某种比笑更淡的东西。她低下头。看着茶碗里的抹茶。茶汤已经完全凉了。表面的泡沫全散了。只剩下绿色的液体，平静得像一面小镜子。她看着茶汤里自己的倒影。,Corridor,Silent_Night,,,
10550643,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550644,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
