ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10130601,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130602,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130603,hide,hide,hide,hide,hide,凌晨十二点半。客人刚走。桂原雪代没有让人传话。她亲自来到经理办公室门口。,Manager_Office,Silent_Night,,,
10130604,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10130605,hide,hide,hide,hide,hide,黑色和服。白色羽毛发饰。她倚在门框边，姿态很放松。但放松的白鹤姬比紧张的白鹤姬更难懂。,Manager_Office,Coming_Dangerous,,,
10130606,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130607,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130608,hide,hide,hide,hide,hide,今晚你把巢燕的预约换掉了。换给了朱雀姬。,Manager_Office,Coming_Dangerous,,,
10130609,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130610,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130611,hide,hide,hide,hide,hide,这不是问句。她知道了。她当然知道了。这家店里没有她不知道的事。,Manager_Office,Coming_Dangerous,,,
10130612,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130613,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130614,hide,hide,hide,hide,hide,……是。,Manager_Office,Coming_Dangerous,,,
10130615,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130616,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130617,hide,hide,hide,hide,hide,V-VIP。红笔画了两条线的客人。你一声不吭地把他从巢燕换成了朱雀。理由？,Manager_Office,Coming_Dangerous,,,
10130618,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130619,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130620,hide,hide,hide,hide,hide,我看着她的眼睛。那双浅色的眼睛和上次香道时一样安静。没有愤怒，没有质问，只是在等一个答案。,Manager_Office,Silent_Night,,,
10130621,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10130622,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10130623,hide,hide,hide,hide,hide,……今天是她女儿的生日。十四岁。,Manager_Office,Silent_Night,,,
10130624,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10130625,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10130626,hide,hide,hide,hide,hide,桂原雪代没有立刻说话。她走进办公室。和服的下摆在我办公桌前的地板上划出一道轻微的弧度。,Manager_Office,Silent_Night,,,
10130627,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10130628,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
