ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10140501,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140502,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140503,hide,hide,hide,hide,hide,下午五点。夜鸢姬的房间还是那股淡淡的皮革和旧纸的味道——落地灯调到最暗的档位，红茶在茶几上冒着热气。书架上的黑皮书还是那本。但她今天旁边多放了一个黑色文件夹。文件夹是新的，封面上没有任何标记。,Manager_Office,Mystery_Box,,,
10140504,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140505,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140506,hide,hide,hide,hide,hide,坐。上次你欠我一个人情。今天我是来收的——不是全部。是一小部分。,Manager_Office,Mystery_Box,,,
10140507,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140508,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140509,hide,hide,hide,hide,hide,"她把那个黑色文件夹推到我面前。翻开第一页。上面贴着几张照片——几个不同角度的瓶装液体。标签被撕掉了，但瓶底有非常小的钢印编号。照片下面是她手写的笔记，""G-Rebirth——成分：合成大麻素加芬太尼加微量的不明有机催化剂""。下面是几行死者的信息。其中一人的名字被她用红笔框了起来。",Manager_Office,Mystery_Box,,,
10140510,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140511,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140512,hide,hide,hide,hide,hide,第三名死者——半年前那桩——体内验出高浓度G-Rebirth。没有吸毒史。不是娱乐使用。是被人故意注射的。这种浓度的剂量需要专业手法，不是随便一个小流氓能操作的——这个人有医学背景。或者至少是在有医学背景的人指导下完成的。,Manager_Office,Mystery_Box,,,
10140513,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140514,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140515,hide,hide,hide,hide,hide,"有医学背景。这四个字在落地灯的暖黄光线下显得格外冷静。她把文件夹翻到下一页。这一页只有一行字，用铅笔写的——""港区，第三物流中心，仓库B-12。进口记录每月中旬更新。""",Manager_Office,Mystery_Box,,,
10140516,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140517,hide,hide,hide,hide,hide,和银鹮姬给我的地址一样。,Manager_Office,Mystery_Box,,,
10140518,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140519,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140520,hide,hide,hide,hide,hide,……你想要什么。,Manager_Office,Mystery_Box,,,
10140521,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140522,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140523,hide,hide,hide,hide,hide,我要一份保险。不是钱——钱在俱乐部里是最不值钱的东西。如果我有一天需要消失——我需要一个人帮我关掉身后所有的门。一句话的事。不用动手，不用联系第三方。只需要你说那句话。答应这个。这份文件夹你可以带走。,Manager_Office,Mystery_Box,,,
10140524,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140525,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140526,hide,hide,hide,hide,hide,她喝了一口红茶。杯沿上留下一个淡紫色的唇印。,Manager_Office,Mystery_Box,,,
10140527,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140528,hide,hide,hide,hide,hide,☆☆☆ BE06「毒蛇的初吻」触发窗口 (Day 14~16) ☆☆☆,Manager_Office,Mystery_Box,,,
10140529,hide,hide,hide,hide,hide,[若青鹭姬好感度<3且在后续当面质问她 → 被下药毒杀],Manager_Office,Mystery_Box,,,
10140530,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140531,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
