ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10380901,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380902,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380903,hide,hide,hide,hide,hide,"我把蜡烛往她那边推了一点。让光更多地落在她身上。她低着头。我没办法回答。不是因为不想要这个答案——是因为她值得的""第一个选择""，不该是在台风夜的储物间里，向一个连真名都不能告诉她的人送出的。",Club_Storage,Unreal_Memory,,,
10380904,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380905,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380906,hide,hide,hide,hide,hide,……育子。,Club_Storage,Unreal_Memory,,,
10380907,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380908,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380909,hide,hide,hide,hide,hide,她抬头。眼睛在烛光里很亮。没有眼泪。只是亮。,Club_Storage,Unreal_Memory,,,
10380910,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380911,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380912,hide,hide,hide,hide,hide,你说你有资格选。对。你有。所以别选第一个出现在你面前的人。第一个不一定是最好的。第一个只是——最先到的。,Club_Storage,Unreal_Memory,,,
10380913,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380914,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380915,hide,hide,hide,hide,hide,她看着我的眼睛。看了很久。然后把手电筒捡起来。重新握在手里。光柱对向天花板。她在那条光里待着。,Club_Storage,Unreal_Memory,,,
10380916,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380917,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380918,hide,hide,hide,hide,hide,你拒绝我的方式和答应我的方式一样——都不解释。只是做了。,Club_Storage,Unreal_Memory,,,
10380919,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380920,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380921,hide,hide,hide,hide,hide,她说这句话的时候，嘴角有很小的弧度。不是哭。也不是笑。是某种比笑更让人放心的东西。她把蜡烛挪回我们中间。外面的风灌进窗缝，烛火往她那边弯了一下，又弹回来。,Club_Storage,Unreal_Memory,,,
10380922,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380923,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380924,hide,hide,hide,hide,hide,那你也别走。等到台风真的过去。,Club_Storage,Unreal_Memory,,,
10380925,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380926,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380927,hide,hide,hide,hide,hide,"我回到事务所。关上门。翻盖机在桌上暗着。智能手机也在桌上暗着。两部手机并排。像两条平行的铁轨——永远不会在同一个站台停靠。我拿起智能手机。打开和莉香的聊天记录。她的最后一条消息还停在昨天——""台风要来了。你那边注意安全。"" 我没有回复。现在想回。但已经过了该回的时间。我把两台手机并排放在枕边。今晚可能会有人打电话。可能是佐藤。可能是莉香。也可能没人。窗外的风又大了——台风眼过去了。",Club_Storage,Unreal_Memory,,,
10380928,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
