ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560401,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10560402,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10560403,hide,hide,hide,hide,hide,下午三点。休息室里的光线很暗——不是窗帘拉着，是阴天的光本来就暗。葵坐在角落的桌边。桌上放着一个不锈钢托盘。托盘里是注射器、小玻璃瓶、精密电子秤、一包白色粉末。她的手指在粉末上轻轻拨了一下。粉末在托盘上留下一条很细的白线。然后她拿起小勺，量了很精确的一小勺。放到电子秤上。屏幕上的数字跳了几下，然后稳住。,RestRoom,Mixed_Emotion,,,
10560404,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560405,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560406,hide,hide,hide,hide,hide,空气里有酒精的味道。不是喝的——是医用酒精。还有更刺激的——大概是某种溶剂，挥发在空气里，闻久了鼻腔会发干。还有更底层的，葵身上的那种大学图书馆的气味——旧书、纸、墨水。她今天没有穿俱乐部的礼服。穿的是自己的开衫毛衣。棕色的。袖口磨得有点起球了。,RestRoom,Mixed_Emotion,,,
10560407,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560408,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560409,hide,hide,hide,hide,hide,最后一剂。,RestRoom,Mixed_Emotion,,,
10560410,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560411,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560412,hide,hide,hide,hide,hide,她没抬头。手指继续在粉末上工作。她把称好的粉末倒进一个小玻璃瓶里。然后拿起注射器。注射器的针头在阴天的光里闪了一下——很细的一道光。她把溶剂抽进注射器。然后慢慢推进玻璃瓶里。粉末溶解的时候发出很细的嘶嘶声。她看着瓶子里的液体从浑浊变成澄清。然后她把瓶子放在托盘上。和其他三瓶放在一起。四瓶。一字排开。,RestRoom,Mixed_Emotion,,,
10560413,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560414,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560415,hide,hide,hide,hide,hide,不是毒药。这一批。是麻醉剂。快速催眠。接触皮肤之后大概十秒起效。持续时间——一个小时。够你的人把所有人控制住。,RestRoom,Mixed_Emotion,,,
10560416,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560417,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560418,hide,hide,hide,hide,hide,她把电子秤关了。把用过的注射器放进一个专门的废品盒里。动作很精准。每一步都不犹豫。每一步都和上一步的节奏一致。她把废品盒盖好。然后把四瓶麻醉剂推到我面前。,RestRoom,Mixed_Emotion,,,
10560419,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560420,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560421,hide,hide,hide,hide,hide,你可以用这些。也可以用你自己的方式。但如果你用暴力——有人会受伤。用这个——没有人受伤。,RestRoom,Mixed_Emotion,,,
10560422,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560423,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560424,hide,hide,hide,hide,hide,她抬起头。眼镜后面的眼睛很平静。不是冷漠——是专注。一个人在完成最后一步时的专注。,RestRoom,Mixed_Emotion,,,
10560425,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560426,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560427,hide,hide,hide,hide,hide,明天之后。不管结局如何——我不会再配制任何东西了。这一剂。是最后。雪鹤姐的账。还完了。,RestRoom,Mixed_Emotion,,,
10560428,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560429,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560430,hide,hide,hide,hide,hide,她站起来。把开衫的扣子扣好。走到门口。停了一下。没有回头。,RestRoom,Mixed_Emotion,,,
10560431,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560432,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560433,hide,hide,hide,hide,hide,你第一次问我是不是学过医——我说是。京都医科大学。你问我为什么在这里——我没有回答。现在告诉你。因为这里有一个人的死——没有人在意。除了我。明天——在意的人会多几个。,RestRoom,Mixed_Emotion,,,
10560434,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560435,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560436,hide,hide,hide,hide,hide,她走了。走廊里她的脚步声很轻——平底鞋踩在木地板上。休息室里留下酒精和溶剂的气味。和桌上四瓶透明的麻醉剂。我把一瓶拿起来。瓶子很凉。液体在瓶子里晃动的时候很慢——不是水那么快，是更黏的。,Corridor,Mixed_Emotion,,,
10560437,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
