ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570501,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570502,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570503,hide,hide,hide,hide,hide,傍晚五点半。紫坐在休息室的沙发上。面前的茶几上摊开了她的占卜牌。不是洗牌——是已经抽出来了。一张。放在茶几正中央。牌面朝上。她把牌盒放在旁边。牌盒上的吉普赛月亮已经快磨光了，只剩下一个模糊的轮廓。,RestRoom,Unreal_Memory,,,
10570504,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570505,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570506,hide,hide,hide,hide,hide,空气里有很淡的咖啡味——紫面前的茶几上放着一杯速溶咖啡。已经凉了。咖啡表面有一层很薄的油脂。还有她身上那种柏青哥店里的烟味——不是自己抽的，是被别人熏的。柏青哥店的烟味和普通香烟不一样——更闷，更旧，因为店里不通风。,Cafe,Unreal_Memory,,,
10570507,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570508,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570509,hide,hide,hide,hide,hide,今天第一次。占卜。,Cafe,Unreal_Memory,,,
10570510,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570511,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570512,hide,hide,hide,hide,hide,她指着茶几上的牌。正位的星星。牌面上是一个女人，跪在水边，手里拿着两个水壶。一个倒进水里，一个倒在土地上。天上有星星。八颗。很大。很亮。,Cafe,Unreal_Memory,,,
10570513,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570514,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570515,hide,hide,hide,hide,hide,「星星」——希望、灵感、宁静。在暴风雨之后出现的光。不是太阳。不是月亮。是星星。比太阳远。比月亮冷。但它不会灭。,Cafe,Unreal_Memory,,,
10570516,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570517,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570518,hide,hide,hide,hide,hide,她把牌拿起来。放在手心。看着。然后抬头看我。今天的眼睛没有嬉皮笑脸。是认真的。但不是那种沉重的认真——是轻的。像一个人终于把该说的话说完之后那种轻。,Cafe,Unreal_Memory,,,
10570519,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570520,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570521,hide,hide,hide,hide,hide,两个月前我第一次给你占卜——抽到「倒吊人」。我说你在做一件很危险的事。会有一个人——想要你的命。那是真的。明天——那个人会动手。,Cafe,Coming_Dangerous,,,
10570522,hide,hide,hide,hide,hide,,Cafe,Coming_Dangerous,,,
10570523,hide,hide,hide,hide,hide,,Cafe,Coming_Dangerous,,,
10570524,hide,hide,hide,hide,hide,她停了一下。把牌放回牌堆里。洗牌。沙沙声在安静的休息室里很清晰。然后她停下来。看着我。,RestRoom,Silent_Night,,,
10570525,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10570526,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10570527,hide,hide,hide,hide,hide,但今天第一次占卜——是「星星」。第一次从来不错。所以明天——你会没事的。,RestRoom,Silent_Night,,,
10570528,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10570529,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10570530,hide,hide,hide,hide,hide,她说这句话的时候笑了一下。不是那种歪歪的笑——是很正的。嘴角两边翘得一样高。然后她站起来。把牌盒拿起来。放进卫衣口袋里。口袋鼓起来一块。,RestRoom,Silent_Night,,,
10570531,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10570532,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10570533,hide,hide,hide,hide,hide,我明天会在。不是在后巷。是在大厅。带着我的牌。如果有人需要抽一张——我可以。免费的。最后一次免费。,Club_lobby,Silent_Night,,,
10570534,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570535,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570536,hide,hide,hide,hide,hide,她走到门口。回头看了我一眼。不是看我的脸——是看茶几上那杯凉掉的咖啡。然后她走了。银色短发在走廊的灯光里闪了一下。,Corridor,Silent_Night,,,
10570537,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
