ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10490501,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490502,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490503,hide,hide,hide,hide,hide,太阳升到头顶了。后巷里的温度升高了不少。贩卖机里的制冷压缩机嗡嗡响着。空气里有了一种新的味道——垃圾堆放区那边飘过来的馊味。不是特别浓，但存在。像某种一直在那里但被忽略了的东西，现在被太阳晒出来了。,Rooftop,Unreal_Memory,,,
10490504,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490505,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490506,hide,hide,hide,hide,hide,彩坐在消防梯最下面那段横杠上。瞳站在她旁边。彩的夹克已经脱了——里面穿着一件黑色的T恤，领口洗得有点松。她用手背擦额头上的汗。汗在皮肤上留下一道很浅的印子——混着墙灰。,Rooftop,Unreal_Memory,,,
10490507,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490508,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490509,hide,hide,hide,hide,hide,黑羽。,Rooftop,Unreal_Memory,,,
10490510,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490511,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490512,hide,hide,hide,hide,hide,"她很少叫我的名字。在俱乐部里她叫我""经理""。偶尔叫""喂""。直接叫名字——这是第一次。她看着地面。地上有一道很长的裂缝，里面长着一棵很小的野草。",Rooftop,Unreal_Memory,,,
10490513,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490514,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490515,hide,hide,hide,hide,hide,如果瞳出事——,Rooftop,Unreal_Memory,,,
10490516,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490517,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490518,hide,hide,hide,hide,hide,瞳的手从卫衣口袋里抽出来。拉住了彩的手臂。彩没有看她。还在看着那棵野草。,Rooftop,Unreal_Memory,,,
10490519,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490520,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490521,hide,hide,hide,hide,hide,带她走。不要管我。,Rooftop,Unreal_Memory,,,
10490522,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490523,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490524,hide,hide,hide,hide,hide,这句话她说了很多遍——在脑子里。我能听出来。不是临时想到的。是反复练过的。每一个字的重量都刚好。不多。不少。刚好够让听到的人知道——这不是建议。不是请求。是某种已经决定好了的东西。像马戏团的高空飞人——在空中放开一只手之前，就已经算好了另一个人的位置。,Rooftop,Unreal_Memory,,,
10490525,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490526,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490527,hide,hide,hide,hide,hide,"瞳拉着彩的手臂。拉得很用力。卫衣袖子被她攥出了褶皱。她摇头。不是那种""不要说这种话""的摇头。是更强烈的——""我不接受""的摇头。她的头发从帽子里滑出来，散在肩上。眼睛里有泪水，但没有流下来。",Rooftop,Melancholy_Rain,,,
10490528,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490529,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490530,hide,hide,hide,hide,hide,我跟你说过——马戏团的时候。,Rooftop,Melancholy_Rain,,,
10490531,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490532,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490533,hide,hide,hide,hide,hide,彩终于转过来看着瞳。她的声音还是很平。但眼眶红了。,Rooftop,Melancholy_Rain,,,
10490534,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490535,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490536,hide,hide,hide,hide,hide,跑的那天晚上。没有月亮。我推了她一把。说——跑。不要管我。她跑了。跑得比我快。后来我们在车站汇合。她一个人。在候车室的角落里。缩成一团。等了四个小时。,Rooftop,Melancholy_Rain,,,
10490537,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490538,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490539,hide,hide,hide,hide,hide,她把瞳的手从自己手臂上拿下来。不是推开——是握住。两只手。一大一小。和台风那天一模一样。,Rooftop,Melancholy_Rain,,,
10490540,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490541,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490542,hide,hide,hide,hide,hide,这一次也是一样。如果她先走——她会等我。如果我先走——她不用等。,Rooftop,Melancholy_Rain,,,
10490543,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490544,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10490545,hide,hide,hide,hide,hide,瞳把彩的手翻过来。手心朝上。用指尖在彩的手心里写字。一笔一划。写得很用力。彩低头看。看完了。没有念出来。但她把瞳的手握紧了。很紧。紧到指关节发白。,Rooftop,Melancholy_Rain,,,
10490546,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
