ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10240401,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10240402,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10240403,hide,hide,hide,hide,hide,下午四点。非营业时段，VIP区的窗帘全部拉开，冬天的阳光斜斜地照进来，在皮沙发上切出一块一块的亮色。美咲蔷薇坐在最角落的沙发里，面前放着一个牛皮纸信封。信封没有封口。她翘着腿，靴子的细跟在沙发腿上轻轻磕着。空气里有她的香水——广藿香和皮革，很沉，像是房间里多了一层看不见的墙。,VIP_Room,Silent_Night,,,
10240404,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240405,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,微笑
10240406,hide,hide,hide,hide,hide,经理——上次那份，看了吗。,VIP_Room,Silent_Night,,,
10240407,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240408,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240409,hide,hide,hide,hide,hide,……看了。,VIP_Room,Silent_Night,,,
10240410,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240411,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240412,hide,hide,hide,hide,hide,好用吗。,VIP_Room,Silent_Night,,,
10240413,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240414,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240415,hide,hide,hide,hide,hide,……有用。,VIP_Room,Silent_Night,,,
10240416,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240417,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240418,hide,hide,hide,hide,hide,"""有用""——不够。我想要的是""很贵""。",VIP_Room,Silent_Night,,,
10240419,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240420,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240421,hide,hide,hide,hide,hide,她把信封推过来。牛皮纸在桌面上滑动的声音很粗糙。信封没有封口——她从来不用胶水。不是信任。是自信。自信到不需要封口来证明什么东西的价值。我打开信封。里面是一份人物档案。比上次那本薄。只有三页。但每一页都是复印件——原件被剪过，有些边角不齐。,VIP_Room,Silent_Night,,,
10240422,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240423,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240424,hide,hide,hide,hide,hide,第一页：一个男人的基本信息。年龄、身高、职业——六本木那栋楼的物业经理。第二页：他的行动规律。每周五晚上十点到十一点之间，会独自进入地下停车场，在B2层的电梯间停留十五分钟。第三页：一张监控截图的打印件。模糊。但能看清他手里提着的黑色手提箱。,VIP_Room,Silent_Night,,,
10240425,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240426,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240427,hide,hide,hide,hide,hide,……这是什么人。,VIP_Room,Silent_Night,,,
10240428,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240429,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,手指在沙发扶手上轻轻敲着
10240430,hide,hide,hide,hide,hide,凤凰的守门人。不是白鹤姬那个级别的。是管物流的。你上次拿到的那个东西——凤凰卡——要经过他才能激活。,VIP_Room,Silent_Night,,,
10240431,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240432,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240433,hide,hide,hide,hide,hide,"她说""那个东西""的时候，没有看我的口袋。但她知道卡在我身上。不是看见。是算到的。她把腿放下来，靴跟落在地板上，发出很轻的一声。身体微微前倾。光线从她背后照过来，她的脸在阴影里，只有嘴角的弧度是亮的。",VIP_Room,Silent_Night,,,
10240434,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240435,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240436,hide,hide,hide,hide,hide,"这份档案——代价是""下次""。",VIP_Room,Silent_Night,,,
10240437,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240438,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240439,hide,hide,hide,hide,hide,……什么下次。,VIP_Room,Silent_Night,,,
10240440,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240441,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240442,hide,hide,hide,hide,hide,下次我让你帮我取一样东西的时候——你不能拒绝。不能问是什么。不能告诉任何人。,VIP_Room,Silent_Night,,,
10240443,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240444,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
