ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10290401,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10290402,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10290403,hide,hide,hide,hide,hide,下午三点。休息室里只有星野葵一个人。她坐在靠窗的位子上，膝盖上摊着一本杂志——旧的那种，封面折了角，纸页边缘发黄。医学期刊，《日本病理学会志》，1993年冬季号。,RestRoom,Silent_Night,,,
10290404,hide,hide,hide,hide,hide,空气里有旧纸的霉味，混合着窗外飘进来的桂花香——俱乐部后面的院子里有一棵桂花树，这两天刚开花。味道不浓，要仔细才闻得到。,RestRoom,Silent_Night,,,
10290405,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290406,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290407,hide,hide,hide,hide,hide,这本杂志是雪鹤姬的。她死之前放在我这里。,RestRoom,Silent_Night,,,
10290408,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290409,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290410,hide,hide,hide,hide,hide,"葵翻到其中一页。上面有一篇文章用红笔圈过标题——""新型合成化合物的神经毒性初步研究""。作者署名里有一个名字我也看到了：山下达彦。",RestRoom,Silent_Night,,,
10290411,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290412,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290413,hide,hide,hide,hide,hide,我那天在考试。国家医师资格。考到下午第三场的时候有人进来在监考官耳边说话。考完之后我才知道。,RestRoom,Silent_Night,,,
10290414,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290415,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290416,hide,hide,hide,hide,hide,她把杂志合上。手指在封面上停了一下——不是舍不得，是在量。,RestRoom,Silent_Night,,,
10290417,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290418,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290419,hide,hide,hide,hide,hide,雪鹤姬找我借过这本杂志。说她有个朋友在做相关的研究。我当时以为她只是对医学感兴趣。后来她死的那天——她包里就装着这本杂志。,RestRoom,Silent_Night,,,
10290420,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290421,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290422,hide,hide,hide,hide,hide,……她跟你说了什么。,RestRoom,Silent_Night,,,
10290423,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290424,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290425,hide,hide,hide,hide,hide,葵转过来看我。镜片后面的眼睛很静。没有情绪——她从来不让情绪露在脸上。但她把眼镜摘下来，用衣角擦了一下镜片。这个动作没有意义——镜片不脏。,RestRoom,Silent_Night,,,
10290426,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290427,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290428,hide,hide,hide,hide,hide,她没来得及说。但她用红笔圈了这篇文章。作者山下达彦。现在山下达彦也死了。,RestRoom,Silent_Night,,,
10290429,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290430,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290431,hide,hide,hide,hide,hide,她把眼镜戴上。窗外桂花树被风摇了一下，花瓣掉在窗台上，细碎的黄色。,RestRoom,Silent_Night,,,
10290432,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290433,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290434,hide,hide,hide,hide,hide,那天考场上——最后一道题。心脏骤停的病理判断。题干是一个五十岁男性，长期服用某种未标明的药物，突发心律不齐，抢救无效。要求写出最可能的药理学机制。我写了三页。得了满分。,RestRoom,Silent_Night,,,
10290435,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290436,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290437,hide,hide,hide,hide,hide,"她顿了一下。手指在杂志封面上那行红笔圈过的标题上停住。""新型合成化合物的神经毒性初步研究""——山下达彦。1993年。",RestRoom,Silent_Night,,,
10290438,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290439,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290440,hide,hide,hide,hide,hide,"考试是下午。雪鹤姬是上午死的。所以我在写那道题的时候——她已经不在了。我在答卷上写""钠离子通道阻断导致心肌细胞膜电位无法复位""，用的是最标准的医学术语。每一个术语都正确。每一个。但我不知道我写的东西——正在另一个人的血液里生效。",RestRoom,Silent_Night,,,
