ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040301,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040302,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040303,hide,hide,hide,hide,hide,早上七点三十分。,BedStore,Mixed_Emotion,,,
10040304,hide,hide,hide,hide,hide,我依然无法看见此时窗外的大阪。逼仄的建筑结构永远地限制着阳光进入我的房间。,BedStore,Mixed_Emotion,,,
10040305,hide,hide,hide,hide,hide,没有拉面店里蒸腾的热气，也没有警署里那些刺耳的电话铃声。,RamenShop,Mixed_Emotion,,,
10040306,hide,hide,hide,hide,hide,这间位于淀川区边缘、只有六叠大小的单身公寓里，安静得只能听到我自己的呼吸声。,Apartment,Silent_Night,,,
10040307,hide,hide,hide,hide,hide,以及壁纸在角落里因为潮湿而一点点剥离的、极其细微的撕裂声。,Apartment,Silent_Night,,,
10040308,hide,hide,hide,hide,hide,我躺在没有床垫的榻榻米上。坚硬的木地板直接顶着脊椎，泛起阵阵酸痛。,BedStore,Silent_Night,,,
10040309,hide,hide,hide,hide,hide,天花板上那块漏水留下的霉斑，我已经盯了四个早晨了。,BedStore,Silent_Night,,,
10040310,hide,hide,hide,hide,hide,一时间分不清自己是警察黑羽义，还是负债累累的经理黑羽哲也。,BedStore,Silent_Night,,,
10040311,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040312,hide,hide,hide,hide,hide,枕边的手机震动起来。,BedStore,Silent_Night,,,
10040313,hide,hide,hide,hide,hide,不是那部黑色的翻盖机——是我自己的智能手机。,BedStore,Silent_Night,,,
10040314,hide,hide,hide,hide,hide,屏幕上的名字是莉香。,BedStore,Silent_Night,,,
10040315,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040316,hide,hide,hide,hide,hide,我用冰冷的手掌揉了揉僵硬的脸颊。指尖碰到的皮肤很粗糙。大概卧底的这四天，老得比之前三年都快。,BedStore,Coming_Dangerous,,,
10040317,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040318,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040319,hide,hide,hide,hide,hide,……喂，莉香。,BedStore,Coming_Dangerous,,,
10040320,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040321,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040322,hide,hide,hide,hide,hide,声音有些沙哑。不知道是没睡好，还是没喝水。,BedStore,Coming_Dangerous,,,
10040323,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040324,小林莉香,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040325,hide,hide,hide,hide,hide,早上好，哲也！你醒了吗？,BedStore,Mixed_Emotion,,,
10040326,hide,hide,hide,hide,hide,听你的声音，昨晚是不是又在加班了？,BedStore,Mixed_Emotion,,,
10040327,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040328,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040329,hide,hide,hide,hide,hide,嗯，刚醒。今天房间里好像有点冷。,BedStore,Mixed_Emotion,,,
10040330,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040331,小林莉香,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040332,hide,hide,hide,hide,hide,要注意身体哦，不能感冒了。,BedStore,Mixed_Emotion,,,
10040333,hide,hide,hide,hide,hide,哲也，你刚才接电话的声音，闷闷的。,BedStore,Mixed_Emotion,,,
10040334,hide,hide,hide,hide,hide,你记不记得你之前十六岁生日那天——我们规划好要去玩很多地方。,BedStore,Unreal_Memory,,,
10040335,hide,hide,hide,hide,hide,结果就突然感冒，生日前一天的声音就像现在一样。,BedStore,Unreal_Memory,,,
10040336,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040337,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040338,hide,hide,hide,hide,hide,十六岁。这个词像一颗石子丢进水面。,BedStore,Unreal_Memory,,,
10040339,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040340,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040341,hide,hide,hide,hide,hide,……我记得。,BedStore,Unreal_Memory,,,
10040342,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040343,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040344,hide,hide,hide,hide,hide,我怎么会不记得。那天晚上的海风很大，带着腥咸的潮气。书桌上铺满了小册子，我们用红笔画了无数圈——坐大巴去温泉町，再转电车去吃海胆饭。,BedStore,Unreal_Memory,,,
10040345,hide,hide,hide,hide,hide,但那天夜里，我的额头烫得像烧红的铁，喉咙干瘪得发不出声。,BedStore,Unreal_Memory,,,
10040346,hide,hide,hide,hide,hide,计划泡汤了。那是第一次明白，计划好的事情大多数不会按计划来。,BedStore,Unreal_Memory,,,
10040347,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040348,小林莉香,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040349,hide,hide,hide,hide,hide,那时候你为了能买两张去函馆看烟花大会的电车票，偷偷跑去码头帮那些老水手搬了一周的秋刀鱼。,BedStore,Unreal_Memory,,,
10040350,hide,hide,hide,hide,hide,结果车票买到了，来接我的时候，身上全是洗不掉的鱼腥味。,BedStore,Unreal_Memory,,,
10040351,hide,hide,hide,hide,hide,我当时真的好嫌弃你，哈哈哈哈！,BedStore,Unreal_Memory,,,
10040352,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040353,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040354,hide,hide,hide,hide,hide,她的笑声响亮而干净，透过听筒传过来，在这间六叠的昏暗房间里显得格外不真实。,Apartment,Unreal_Memory,,,
10040355,hide,hide,hide,hide,hide,笑完之后，她的声音低了下去。带着跨越时间的某种温柔。,Apartment,Warm_Encounter,,,
10040356,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040357,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040358,hide,hide,hide,hide,hide,……我记得。,Apartment,Warm_Encounter,,,
10040359,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040360,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
