ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560501,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560502,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560503,hide,hide,hide,hide,hide,傍晚五点半。蔷薇站在她的座位旁边。手里拿着黑皮书。翻到某一页。不是最后一页——是中间的。她看着那一页。紫色的眼睛在昏暗的灯光下看不出情绪。她把书转过来让我看。,RestRoom,Mystery_Box,,,
10560504,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560505,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560506,hide,hide,hide,hide,hide,空气里有皮革的味道。旧的皮革——被很多次擦拭过。还有金属链的冷腥气。还有蔷薇身上的冷调香水——鸢尾根、广藿香、很淡的麝香。今天她喷得比平时多。大概是紧张——蔷薇紧张的时候不会说，但会多喷香水。,RestRoom,Coming_Dangerous,,,
10560507,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560508,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560509,hide,hide,hide,hide,hide,这一页。关于雪代。,RestRoom,Coming_Dangerous,,,
10560510,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560511,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560512,hide,hide,hide,hide,hide,她指着书页。上面是她的字——紫色的墨水。记录着雪代和村上道也之间每一次接触。每一次会面。每一次交易。日期。时间。地点。内容。密密麻麻。从三年前到现在。,RestRoom,Coming_Dangerous,,,
10560513,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560514,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560515,hide,hide,hide,hide,hide,雪代和村上的关系——不是从属。是共生。她不是他的手下。但也不是他的敌人。她是他需要的人。他需要她的俱乐部——作为毒品交易的掩体。她需要他的保护——让俱乐部不被警方盯上。三年。这种共生关系持续了三年。,RestRoom,Coming_Dangerous,,,
10560516,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560517,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560518,hide,hide,hide,hide,hide,她停了一下。翻到下一页。下一页只有一行字。写在正中央。,RestRoom,Coming_Dangerous,,,
10560519,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560520,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560521,hide,hide,hide,hide,hide,「如果共生关系破裂——雪代会选择什么。未知。」,RestRoom,Coming_Dangerous,,,
10560522,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560523,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560524,hide,hide,hide,hide,hide,她把黑皮书合上。看着我。,RestRoom,Mystery_Box,,,
10560525,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560526,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560527,hide,hide,hide,hide,hide,你信任雪代。很多人信任雪代。但信任不等于了解。你了解她多少。她不说的事——你永远不知道。她不说的选择——你也永远不知道。明天——她会做选择。但选择的方向——连她自己可能都不确定。,RestRoom,Mystery_Box,,,
10560528,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560529,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560530,hide,hide,hide,hide,hide,她站起来。走到我面前。紫色的眼睛在昏暗的灯光里很亮。不是温暖的亮——是冷的。但冷不等于假。冷也可以是真的。,RestRoom,Warm_Encounter,,,
10560531,hide,hide,hide,hide,hide,,RestRoom,Warm_Encounter,,,
10560532,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Warm_Encounter,,,
10560533,hide,hide,hide,hide,hide,我不是让你不信任她。我是让你——准备好。如果她选错了。你有退路吗。,RestRoom,Mixed_Emotion,,,
10560534,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560535,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10560536,hide,hide,hide,hide,hide,这个问题在SM区域的昏暗灯光里停了很久。皮革的味道。金属的腥气。冷调的香水。然后蔷薇转身。把黑皮书放在桌上。,RestRoom,Mystery_Box,,,
10560537,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560538,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560539,hide,hide,hide,hide,hide,这本书。明天之后给你。里面的东西——你可以用。也可以不用。但记住。情报和信任——是两回事。情报是真的。信任——是赌的。,RestRoom,Mystery_Box,,,
10560540,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
