ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10240601,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240602,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240603,hide,hide,hide,hide,hide,凌晨两点零三分。手机响了。不是震动。是铃声——最高音量。我在半睡中接起，屏幕的光刺得眼睛痛。佐藤的声音从听筒里冲出来。不是说话。是喘气。很重的、被压着的喘气。像是他用手捂着话筒，或者是用什么东西捂着嘴。,Club_lobby,Silent_Night,,,
10240604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240605,佐藤正义,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,声音颤抖，语速极快
10240606,hide,hide,hide,hide,hide,哲也——他们在我门口。不是警察。是三个人。黑色的车停在楼下。我关了灯。窗帘拉着。但他们知道我在家。,Club_lobby,Silent_Night,,,
10240607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240609,hide,hide,hide,hide,hide,我的身体比意识先反应过来。坐直。脚踩在冰凉的地板上。窗外没有声音。大阪的深夜是安静的。但电话那端——佐藤的呼吸里混着另一种声音。很轻的、有节奏的敲击。不是敲门。是指关节。在木头上。有节奏的。三下。停顿。三下。,Club_lobby,Silent_Night,,,
10240610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240611,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240612,hide,hide,hide,hide,hide,……报警。,Club_lobby,Silent_Night,,,
10240613,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240614,佐藤正义,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240615,hide,hide,hide,hide,hide,不能报。不能。我的审查还在——如果现在报警，他们会说我是自导自演。哲也——凤凰卡——你保管好。如果我——,Club_lobby,Silent_Night,,,
10240616,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240617,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240618,hide,hide,hide,hide,hide,电话断了。不是挂断。是断了。信号消失的那种断。我打回去。无人接听。再打。还是无人接听。手机的屏幕暗下去。房间重新陷入黑暗。我坐在床边，听见自己的心跳在耳朵里放大。像是有另一个人在房间里敲着一面很小的鼓。窗外有一辆车经过。引擎声很轻。是黑色的吗。不知道。我把窗帘拉开一条缝。街对面没有人。路灯照着空荡荡的人行道。地面上的雪已经化了。湿漉漉的。反射着橙色的光。像一滩还没干的血。,Club_lobby,Silent_Night,,,
10240619,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240620,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,低声
10240621,hide,hide,hide,hide,hide,……佐藤。,Club_lobby,Silent_Night,,,
10240622,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240623,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10240624,hide,hide,hide,hide,hide,手机没有再亮。我把凤凰卡从口袋里拿出来，放在枕头下面。塑料的边缘抵着枕芯。很硬。很不舒服。但今晚——不舒服才能睡着。因为舒服的时候——人不会醒。,Club_lobby,Silent_Night,,,
10240625,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
