ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560601,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560602,hide,hide,hide,hide,hide,,Bathroom_Jan,Mystery_Box,,,
10560603,hide,hide,hide,hide,hide,深夜九点。俱乐部今晚不营业。但大厅里的吊灯全亮了。不是一部分——是全部。连那几根坏掉的灯管也被换了新的。暖黄色的光铺满了每一个角落。红丝绒沙发上坐着所有人。十二飞鸟——一个不少。,Club_lobby,Silent_Night,,,
10560604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560606,hide,hide,hide,hide,hide,空气里有很特别的味道。不是香水——今天没有人喷香水。是更日常的。景子身上的厨房油烟味。育子身上的皂角味。紫身上柏青哥店里的烟味。夏实身上练舞之后的汗味——干净的汗，带一点盐。彩和瞳身上一样的洗发水味道。春奈身上的酒精胶水味。蔷薇身上的皮革。葵身上的酒精。Linda身上的雪茄。雪代身上的檀香。,Club_lobby,Mixed_Emotion,,,
10560607,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560608,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560609,hide,hide,hide,hide,hide,十二种味道。在同一个房间里。不是混合——是共存。每一种都分得开。每一种都是一个人。,Club_lobby,Mixed_Emotion,,,
10560610,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560611,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560612,hide,hide,hide,hide,hide,雪代站在吧台旁边。手里端着一个托盘。托盘上放着茶杯。大麦茶。她把托盘放在茶几上。然后自己拿了一杯。其他人也拿。育子拿了第一杯。景子拿第二杯。然后一个一个。最后Linda拿了一杯。举起来。,Club_lobby,Mixed_Emotion,,,
10560613,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560614,朱雀姬·Linda,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560615,hide,hide,hide,hide,hide,明天。八点。晚宴。Interpol在外面。信号——招牌灯闪三次。,Club_lobby,Mixed_Emotion,,,
10560616,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560617,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560618,hide,hide,hide,hide,hide,她看着雪代。雪代没有看她。雪代在看着手里的茶杯。茶的热气升起来。然后雪代抬起头。,Club_lobby,Mixed_Emotion,,,
10560619,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560620,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560621,hide,hide,hide,hide,hide,明天。每个人做自己的选择。没有人替别人选。没有人替别人负责。,Club_lobby,Mixed_Emotion,,,
10560622,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560623,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560624,hide,hide,hide,hide,hide,她停了很久。然后说了一句——不是命令，是陈述。声音不高，但每个字都很清楚。,Club_lobby,Mixed_Emotion,,,
10560625,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560626,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560627,hide,hide,hide,hide,hide,我选我的。你们选你们的。,Club_lobby,Mixed_Emotion,,,
10560628,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560629,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560630,hide,hide,hide,hide,hide,大厅里安静了很久。然后夏实站起来。走到大厅中间。没有音乐。她开始唱歌。不是偶像的歌——是一首很老的民谣。调子很简单。歌词是关于一条河流。流过村庄。流过城市。流到大海。她的金色眼睛在吊灯的光里闪了一下。然后她闭上了。只是唱。,Club_lobby,Silent_Night,,,
10560631,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560632,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560633,hide,hide,hide,hide,hide,其他人听着。没有人说话。育子把茶杯放在膝盖上，双手捧着。景子的手放在育子的椅背上。紫把占卜牌从盒子里拿出来，放在茶几上。牌面朝下。彩和瞳靠在一起。春奈的脸在灯下——不知道是哪张脸。蔷薇站在角落，双手交叉在胸前。Linda叼着一根没点的雪茄。葵把眼镜摘下来，放在膝盖上。雪代站在吧台边。没有动。茶杯在她手里慢慢变凉。,Club_lobby,Silent_Night,,,
10560634,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560635,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560636,hide,hide,hide,hide,hide,我看着这些人。两个月。五十六天。从陌生人——到战友。明天之后。有人会走。有人会留。有人会变。但今晚——所有人都在。十二飞鸟。一只没少。,Club_lobby,Silent_Night,,,
10560637,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
