ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10460601,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460602,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460603,hide,hide,hide,hide,hide,电车过去了。安静重新回来。她松开膝盖，把脚放回地上。脚踩在地板上没有声音——她穿的是平底鞋。橡胶底。医院里的鞋。,Hospital,Unreal_Memory,,,
10460604,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10460605,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10460606,hide,hide,hide,hide,hide,我刚才说了。你没听到。,Hospital,Unreal_Memory,,,
10460607,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10460608,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10460609,hide,hide,hide,hide,hide,不是责备。是陈述。她深吸了一口气。不是那种准备哭的深吸——是准备说出一个压在胸腔里很久的东西的深吸。她呼出来的气很长。很稳。,Hospital,Mixed_Emotion,,,
10460610,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460611,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460612,hide,hide,hide,hide,hide,三个。,Hospital,Mixed_Emotion,,,
10460613,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460614,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460615,hide,hide,hide,hide,hide,她竖起手指。一根。两根。三根。然后把手放回膝盖上。手指蜷起来，握成一个很松的拳头。,Hospital,Mixed_Emotion,,,
10460616,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460617,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460618,hide,hide,hide,hide,hide,我杀过的人数。三个。,Hospital,Mixed_Emotion,,,
10460619,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460620,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10460621,hide,hide,hide,hide,hide,窗外的天开始暗了。不是全黑——是那种傍晚的灰蓝色。公寓里的光线变暗了，但我没有去开灯。她也没有要求开灯。两个人在越来越暗的房间里坐着。她的脸有一半在阴影里。另一半被窗外最后一点光勾出轮廓。,Apartment,Mixed_Emotion,,,
10460622,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460623,青鹭姬·星野葵,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460624,hide,hide,hide,hide,hide,"第一个是我妹妹的主治医生。他给她开了过量的止痛药——不是医疗失误。是故意的。因为她的医保额度用完了。他不想再填表格。不想再跟保险公司打电话。他给她开了三倍的剂量。说""这样就不疼了""。她睡了四十八小时。再也没有醒过来。",Apartment,Mixed_Emotion,,,
10460625,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460626,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460627,hide,hide,hide,hide,hide,"她说到""再也没有醒过来""的时候，声音没有抖。但她的手指在膝盖上按得很用力——指甲陷进掌心。",Apartment,Mixed_Emotion,,,
10460628,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460629,青鹭姬·星野葵,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
