ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10170501,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10170502,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10170503,hide,hide,hide,hide,hide,傍晚四点半。化妆间里的灯光还只有一半——另一半灯管上周坏了，维修工还没来。木岛春奈坐在镜子前，没有戴仿妆面具。红色的长发披散在肩上，正在梳理发尾的一小处打结。头上的狐狸发卡在昏暗的灯光里闪着一点黯淡的金色。,DressingRoom,Warm_Encounter,,,
10170504,hide,hide,hide,hide,hide,,DressingRoom,Warm_Encounter,,,
10170505,hide,hide,hide,hide,hide,她透过镜子看到我走进来，停顿了一下。然后放下梳子。,DressingRoom,Warm_Encounter,,,
10170506,hide,hide,hide,hide,hide,,DressingRoom,Warm_Encounter,,,
10170507,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Warm_Encounter,,,
10170508,hide,hide,hide,hide,hide,经理。今天的第一次占卜我又看到了倒吊人——不是紫寄给我的，是我自己用紫的外套看的——她昨天把牌忘在休息室了。倒吊人——这个人会为了别人牺牲自己——这是她第一次抽到的。但第二次抽到的牌是月亮。月亮——欺骗、幻觉、隐藏的危险。月亮不是第一次，所以不准。但它还是在牌堆里——不准不代表不真实，就像我今天没有出门，不代表没有人在跟踪我。,RestRoom,Coming_Dangerous,,,
10170509,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170510,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170511,hide,hide,hide,hide,hide,她把梳子放回化妆包。拉上拉链。平时拉链会一口气拉到底，今天只拉到一半。,RestRoom,Coming_Dangerous,,,
10170512,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170513,诡鹀姬·木岛春奈,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170514,hide,hide,hide,hide,hide,白鹤姐最近在看你的档案。不是旧的行政档案——是新的。她在把你这十几天进来的每个行为逐条记录下来。你在俱乐部里帮过谁、跟谁说过多长的话、什么时候出了前门、什么时候从后巷回来——她全都知道。她让人记的。不是我。是另外的人。你帮过太多人了，经理——这件事本身不危险。危险的是她知道你在帮。,RestRoom,Coming_Dangerous,,,
10170515,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170516,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170517,hide,hide,hide,hide,hide,她站起来。把一件披在椅背上的外套拿起来穿上——是我那件干洗过的备用西装。今天她没有仿成我的脸。但她穿上这件外套的时候，从背后看，肩膀的角度和我的完全一致。,RestRoom,Coming_Dangerous,,,
10170518,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170519,诡鹀姬·木岛春奈,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10170520,hide,hide,hide,hide,hide,"我以前被记过。因为代班模仿客人被投诉说""服务时长少了十分钟""，白鹤姐给我做了一个每句话详细到标点的记录表——后来那个客人再也没来过。你需要知道你的每一个善意的旁边都有人在签名。祝你好运，黑羽经理——你真的很好。希望你不需要变成鬼魂。",RestRoom,Warm_Encounter,,,
10170521,hide,hide,hide,hide,hide,,RestRoom,Warm_Encounter,,,
10170522,hide,hide,hide,hide,hide,问她更多,RestRoom,Warm_Encounter,,,选择分支标记
10170523,hide,hide,hide,hide,hide,保持沉默,RestRoom,Warm_Encounter,,,选择分支标记
10170524,hide,hide,hide,hide,hide,,RestRoom,Warm_Encounter,,,
10170525,hide,hide,hide,hide,hide,++问她更多,RestRoom,Warm_Encounter,,,
10170526,hide,hide,hide,hide,hide,"我叫住了她。她停在门口。没有回头。""春奈——白鹤姐的记录表现在在哪里。""她沉默了几秒。""在她抽屉里。但她不会给你看的。她从来不给任何人看。""然后她走了。走廊里剩下她化妆包里瓶瓶罐罐碰撞的声响。和那句""从来不""——在我耳朵里转了整晚。",Corridor,Warm_Encounter,,,
10170527,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10170528,hide,hide,hide,hide,hide,++保持沉默,Corridor,Warm_Encounter,,,
10170529,hide,hide,hide,hide,hide,"她走了。化妆间的灯管还是只亮了一半。我站在原地，把她说的话在心里默念了一遍。""每一个善意的旁边都有人在签名。""今晚睡不着的东西多了一样。",DressingRoom,Warm_Encounter,,,
10170530,hide,hide,hide,hide,hide,,DressingRoom,Warm_Encounter,,,
