ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10460301,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460302,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460303,hide,hide,hide,hide,hide,早上七点刚过。门铃响了两声——很短，很干脆。不是那种犹豫的按法。我打开门。星野葵站在门口。手里提着一个医疗箱。不是那种家用的小药箱——是专业的，银色的金属外壳，边角有几处磕碰掉漆。她穿着一件白衬衫，袖口卷到手腕以上。头发扎得很紧。没有化妆。,Apartment,Mixed_Emotion,,,
10460304,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460305,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460306,hide,hide,hide,hide,hide,走廊里有消毒水的气味。不是从医疗箱里漏出来的——是从她身上带过来的。她的衣服、手指、头发里都浸着那种味道。在医院里待久了的人，自己闻不到。但别人能闻到。很淡，很冷。像冬天刚洗过的床单晾在走廊里。,Corridor,Mixed_Emotion,,,
10460307,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460308,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460309,hide,hide,hide,hide,hide,早。,Corridor,Mixed_Emotion,,,
10460310,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460311,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460312,hide,hide,hide,hide,hide,她只说了这一个字。然后走进来。不需要邀请。她把医疗箱放在桌上。没坐下。站在窗边，背对着晨光。她的轮廓在逆光里显得很瘦——肩膀比平时看起来窄。大概是白衬衫太大了一号。,Corridor,Mixed_Emotion,,,
10460313,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460314,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460315,hide,hide,hide,hide,hide,有些东西不能放在俱乐部。,Corridor,Mixed_Emotion,,,
10460316,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460317,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460318,hide,hide,hide,hide,hide,她打开医疗箱的锁扣。锁扣弹开的声音很脆——金属撞金属，在安静的公寓里格外清楚。箱子里面码得很整齐。不是药品——至少不全是。有几支密封的玻璃安瓿瓶，用纱布裹着。有几张折好的毒理报告。最上面是一双橡胶手套。新的，还没拆封。,Apartment,Silent_Night,,,
10460319,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460320,青鹭姬·星野葵,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460321,hide,hide,hide,hide,hide,昨晚做完最后一批分析。货的纯度比上个月高了三个百分点。不是同一批供货——换了供应商。新供应商的渠道更短，中间人更少。这意味着——,Apartment,Silent_Night,,,
10460322,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460323,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460324,hide,hide,hide,hide,hide,她停了一下。手指在医疗箱的边缘划过。她的指甲剪得很短。学医的人的习惯。,Apartment,Silent_Night,,,
10460325,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460326,青鹭姬·星野葵,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460327,hide,hide,hide,hide,hide,意味着上面的人更急了。宴会之前要把库存清掉。换成现金。,Apartment,Silent_Night,,,
10460328,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
