ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10150301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10150302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10150303,hide,hide,hide,hide,hide,早上六点半。翻盖机连震了四次。,Club_away,Mixed_Emotion,,,
10150304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10150305,hide,hide,hide,hide,hide,不是佐藤平时的风格。他从不连发消息。,Club_away,Mixed_Emotion,,,
10150306,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10150307,hide,hide,hide,hide,hide,"""村上昨天正式提交了对我的停职审查申请。理由是'擅自调阅非管辖范围案卷'。预计五天后生效。在那之前——我需要一份能动的证据。不是线索，不是分析，是法庭上可以呈堂的证据。五天后如果我被停职，你的后援会被完全切断。到时候你在俱乐部里独自一人——增田不在了，我也不在了。你不会收到任何消息。也没有任何人能来帮你。所以——五天。黑羽。""",Club_away,Mystery_Box,,,
10150308,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150309,hide,hide,hide,hide,hide,"五天。我把这条消息和增田最后那条""明天之前必须见面""放在一起。两条消息的长度不同，用词不同，发信人不同。但在加密分区里并排排列的时候，显得一模一样。回复：""了解。""已读。数字从五天变成四天二十三小时五十九分。",Club_away,Mystery_Box,,,
10150310,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150311,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
