ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580501,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580502,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580503,hide,hide,hide,hide,hide,傍晚五点半。排练室里只有彩和瞳。她们没有在排练。只是坐在地板上。背靠背。彩的眼睛睁着。瞳的眼睛闭着。两个人穿着一样的练习服——黑色的紧身衣。头发扎成一样的马尾。从背后看——分不清谁是谁。但坐姿不一样。彩的背挺得很直。瞳的背有一点弯。头靠在彩的肩膀上。,Rooftop,Coming_Dangerous,,,
10580504,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580505,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580506,hide,hide,hide,hide,hide,空气里有汗味。不是臭的——是干净的汗。练习服洗了很多次之后那种棉布味。还有更淡的，地板上的蜡。排练室的地板是木头的，打了蜡，踩上去会有很轻的吱声。但现在没有人踩。两个人只是坐着。,Rooftop,Coming_Dangerous,,,
10580507,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580508,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580509,hide,hide,hide,hide,hide,我们决定了。明天之后——不走。,Rooftop,Coming_Dangerous,,,
10580510,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580511,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580512,hide,hide,hide,hide,hide,她说话的时候没有回头。背还是靠着瞳的背。她的声音在空排练室里有一点回音。,Rooftop,Coming_Dangerous,,,
10580513,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580514,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580515,hide,hide,hide,hide,hide,以前我们说——攒够钱就去没人认识的地方。但现在。认识我们的人在这里。雪代姐。景子。夏实。紫。育子。你。认识我们的人——都是好人。为什么要去没人认识的地方——如果认识的人都是好人的话。,Rooftop,Coming_Dangerous,,,
10580516,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580517,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580518,hide,hide,hide,hide,hide,瞳动了一下。不是身体——是头。她把头从彩的肩膀上抬起来。睁开眼睛。她没有说话。但她把手放在彩的手上。彩翻过手，握住。握得很紧。,Rooftop,Coming_Dangerous,,,
10580519,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580520,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580521,hide,hide,hide,hide,hide,……家。,Rooftop,Coming_Dangerous,,,
10580522,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580523,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580524,hide,hide,hide,hide,hide,一个字。瞳说的。声音很小。但在空排练室里很清楚。彩转过来。看着瞳。瞳没有看彩。她看着地板。但她又说了一遍。,Rooftop,Coming_Dangerous,,,
10580525,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580526,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580527,hide,hide,hide,hide,hide,这里是家。,Rooftop,Coming_Dangerous,,,
10580528,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580529,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580530,hide,hide,hide,hide,hide,彩的嘴唇动了一下。然后她把瞳拉过来。不是拥抱——是额头碰额头。两个人的额头抵在一起。一样的马尾。一样的脸。但一个在笑。一个没笑。但眼睛里有光。两个人都有光。,Rooftop,Coming_Dangerous,,,
10580531,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580532,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580533,hide,hide,hide,hide,hide,明天。我们会在大厅。不是表演。是在。如果有人需要帮忙——我们在。柔术不只是用来表演的。也可以用来保护。,Club_lobby,Coming_Dangerous,,,
10580534,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580535,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580536,hide,hide,hide,hide,hide,她抬起头看我。眼睛很亮。不是灯光——是某种从里面亮出来的东西。,Club_lobby,Coming_Dangerous,,,
10580537,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580538,双雀姬·濑户彩,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580539,hide,hide,hide,hide,hide,经理。谢谢你没有拆散我们。以前有人试过。你没试。所以。我们是你的。,Club_lobby,Coming_Dangerous,,,
10580540,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
