ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10230801,hide,hide,hide,hide,hide,,VIP_Room,Coming_Dangerous,,,
10230802,hide,hide,hide,hide,hide,,VIP_Room,Coming_Dangerous,,,
10230803,hide,hide,hide,hide,hide,我坐在空荡荡的VIP区。Linda的话在脑子里重复。不是重复意思——是重复那个音调。火。俄语。同一个词根。,VIP_Room,Coming_Dangerous,,,
10230804,hide,hide,hide,hide,hide,卧底和火。,VIP_Room,Coming_Dangerous,,,
10230805,hide,hide,hide,hide,hide,火在烧。在你看不到的地方。在墙壁里面。在地板下面。,VIP_Room,Coming_Dangerous,,,
10230806,hide,hide,hide,hide,hide,你闻到烟味的时候——已经来不及了。,VIP_Room,Coming_Dangerous,,,
10230807,hide,hide,hide,hide,hide,茶几上的烟灰缸里还有半截雪茄，烟灰是灰白色的，保持着燃烧时的形状。我用手指碰了一下。烟灰碎了。很轻。轻到手指几乎感觉不到。但那个碎掉的动作——像是触发了什么。,VIP_Room,Coming_Dangerous,,,
10230808,hide,hide,hide,hide,hide,天花板的烟雾报警器突然闪了一下红灯。,VIP_Room,Coming_Dangerous,,,
10230809,hide,hide,hide,hide,hide,很快。只闪了一次。,VIP_Room,Coming_Dangerous,,,
10230810,hide,hide,hide,hide,hide,不是真的报警。是电池快没电了的提示。,VIP_Room,Coming_Dangerous,,,
10230811,hide,hide,hide,hide,hide,我把那半截雪茄摁灭。烟灰散在桌面上。灰色的粉末。像骨灰。,VIP_Room,Coming_Dangerous,,,
10230812,hide,hide,hide,hide,hide,,VIP_Room,Coming_Dangerous,,,
10230814,hide,hide,hide,hide,hide,,VIP_Room,Coming_Dangerous,,,
10230815,hide,hide,hide,hide,hide,,VIP_Room,Coming_Dangerous,,,
10230816,hide,hide,hide,hide,hide,VIP区重新安静下来。我把茶几上的杯子收进托盘。玻璃杯相碰的声音很脆。Linda的抹布还叠在茶几上——四角对齐。她叠抹布的方式，不像一个俱乐部女孩。像一个受过训练的人。我把抹布拿起来。布面是湿的。冷。上面沾着的红酒渍还没干。在灯光下——那个颜色。暗红色。像血。也像火。,VIP_Room,Silent_Night,,,
10230817,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
