ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10140401,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140402,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140403,hide,hide,hide,hide,hide,"下午两点。南梨说今天是他第十五次化疗。她说""十五""这个数字的时候，语气和青鹭姬说药物剂量时很像——精确，平淡。把情绪全部锁在数字里面。",Hospital,Unreal_Memory,,,
10140404,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140405,hide,hide,hide,hide,hide,医院的味道和任何地方都不一样。消毒酒精、医用胶带、老人身上残留的膏药味混在一起，被中央空调吹成一种均匀的、无处可逃的背景气息。走廊天花板的日光灯管有一根在闪烁——频率不快，但每次暗下去的时候，整个通道就像眨了一次眼。,Corridor,Unreal_Memory,,,
10140406,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10140407,hide,hide,hide,hide,hide,"肿瘤科在三楼。走廊两边的长椅上坐着各种各样的人。有人挂着点滴瓶在走廊里慢慢走，有人把头埋在膝盖上，有人看着窗外，窗外什么都没有。化疗病房的门上贴着一张手写的注意事项——""入室前请关闭手机。谢谢。""",Corridor,Unreal_Memory,,,
10140408,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10140409,hide,hide,hide,hide,hide,南梨坐在病房门口的长椅上。没有穿俱乐部的深蓝礼服，也没有戴那顶黑色棒球帽。穿着很普通的白T恤和牛仔裤。发尾的电光蓝在日光灯下看起来很像一种医疗标签的颜色。,Hospital,Unreal_Memory,,,
10140410,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140411,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140412,hide,hide,hide,hide,hide,……他怎么样。,Hospital,Unreal_Memory,,,
10140413,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140414,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140415,hide,hide,hide,hide,hide,"刚睡着。吐了两个多小时——药进去三十分钟就开始吐。吐到最后没有东西了，就抱着脸盆干呕。背上的肌肉一直在跳。护士说叫""治疗后肌痉挛""，先暂停着就好——我说那要停到什么时候？她没回答。",Hospital,Unreal_Memory,,,
10140416,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140417,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140418,hide,hide,hide,hide,hide,她的手放在膝盖上。指甲剪得很短，指甲边缘有被咬过的痕迹。,Hospital,Unreal_Memory,,,
10140419,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140420,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140421,hide,hide,hide,hide,hide,睡着之后他就安静了。醒着的时候不像他了——他自己也知道的。所以他醒着的时候会一直跟我说对不起。这三个字已经变成他说话的习惯了，我开始觉得他可能不是在道歉，只是需要说一声这三个字来告诉自己他还认识我。,Hospital,Silent_Night,,,
10140422,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140423,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140424,hide,hide,hide,hide,hide,她透过病房门上的玻璃窗望进去。床上是一个瘦得像被抽走了大部分体积的人。颧骨高突，手臂上有留置针，连接着一根透明的输液管，液体一滴一滴往下走。床边的柜子上放着一小盒没拆封的草莓布丁。和她在化妆间里回忆的那盒是同一个牌子。,DressingRoom,Unreal_Memory,,,
10140425,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10140426,hide,hide,hide,hide,hide,化疗病房的门开了一条缝。里面传来心电监护仪的哔声——很规律，每一秒一次，像某种倒计时。南梨把门缝推大了几厘米，没有进去。只是站在那里看着。她的手扶在门框上，指甲轻轻刮着门框上的油漆。油漆已经旧了，一刮就掉一小片白色的碎屑，落在她鞋面上。,Hospital,Unreal_Memory,,,
10140427,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140428,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140429,hide,hide,hide,hide,hide,"他醒着的时候——下午两点到四点比较好。会想吃东西。草莓布丁。只能吃这个。别的东西吃了就吐。化疗把嘴里的黏膜都烧坏了，只有凉的、甜的、滑的东西能咽下去。有一次我偷偷在布丁下面藏了一小勺米饭——他吃到了，对我笑了笑，然后去厕所吐了二十分钟。回来的时候还跟我说""挺好吃的""。",Hospital,Unreal_Memory,,,
10140430,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140431,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140432,hide,hide,hide,hide,hide,她的手指在门框上刮出一小条凹痕。白色的漆面下面是更旧的黄色漆面——这扇门被很多人靠过，被很多人的指甲刮过。每一道痕迹后面都有一个和南梨一样的人。,Hospital,Unreal_Memory,,,
10140433,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140434,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140435,hide,hide,hide,hide,hide,"我今天过来之前，又有人跟我说""你应该离开他""。不是客人——是俱乐部里的姐妹。她说你这是在自杀。我说——我知道。然后她就不说话了。因为你知道你在自杀。那别人还能说什么。",Hospital,Unreal_Memory,,,
10140436,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140437,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140438,hide,hide,hide,hide,hide,一个护士推着药车从走廊那头过来。轮子在地板上碾出很轻的橡胶声。南梨把手从门框上放下来。往后退了一步。护士看了她一眼，点了点头——认识她。每天来的人，护士都认识。护士推门进去，门在她身后自动合上。合上之前，南梨的目光追进去，追到床上那个人的脸上。他动了。眼睛睁开了一条缝。往门口看了一眼。看到了她。嘴唇动了动——大概是说了什么。但门已经合上了。心电监护仪的哔声被门板隔住，变成了很远的背景音。,Corridor,Unreal_Memory,,,
10140439,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10140440,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
