ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10050301,hide,hide,hide,hide,hide,,Club_Hallway,Silent_Night,,,
10050302,hide,hide,hide,hide,hide,,Club_Hallway,Silent_Night,,,
10050303,hide,hide,hide,hide,hide,早上八点。俱乐部大门还锁着。走廊里只有消毒水的气味和昨夜残留的酒精味。,Club_Hallway,Mixed_Emotion,,,
10050304,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050305,hide,hide,hide,hide,hide,前台值班的男人看到我走过来，把手里的报纸放下了。,Club_Hallway,Mixed_Emotion,,,
10050306,前台值班,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050307,前台值班,hide,hide,hide,hide,经理，这么早？,Club_Hallway,Mixed_Emotion,,,
10050308,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050309,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050310,hide,hide,hide,hide,hide,带雏鹃姬出去一趟。她刚来，要熟悉周边。,Club_Hallway,Mixed_Emotion,,,
10050311,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050312,前台值班,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050313,前台值班,hide,hide,hide,hide,……雪代小姐交代过，新来的人不能单独出去。,Club_Hallway,Mixed_Emotion,,,
10050314,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050315,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050316,hide,hide,hide,hide,hide,我陪她去。,Club_Hallway,Mixed_Emotion,,,
10050317,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050318,hide,hide,hide,hide,hide,他的视线往走廊尽头看了一眼。育子站在那里，书包抱在胸前。她在看公告栏——上面贴着排班表和本月业绩目标。,Club_Hallway,Mixed_Emotion,,,
10050319,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050320,hide,hide,hide,hide,hide,前台值班又看了我两秒。然后从口袋里掏出一个小本子，在上面写了一行字。,Club_Hallway,Mixed_Emotion,,,
10050321,前台值班,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050322,前台值班,hide,hide,hide,hide,几点回来。,Club_Hallway,Mixed_Emotion,,,
10050323,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050324,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050325,hide,hide,hide,hide,hide,九点之前。,Club_Hallway,Mixed_Emotion,,,
10050326,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050327,前台值班,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
10050328,前台值班,hide,hide,hide,hide,……好吧。但别走太远。雪代小姐说了，出了事经理负责。,Club_Hallway,Mixed_Emotion,,,
10050329,hide,hide,hide,hide,hide,,Club_Hallway,Mixed_Emotion,,,
