ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10260501,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10260502,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10260503,hide,hide,hide,hide,hide,傍晚六点。白鹤姬召集所有人。不是平时那种站在吧台前的简短交代——是正式的。她站在大厅中央，背后是那个深红色的舞台幕布。幕布已经有点旧了，边缘的流苏掉了几根。但她在幕布前面——幕布就变成了背景。她穿着那件深蓝色的大衣，没有脱。不是忘了。是故意。大衣让她看起来不像俱乐部经理。像某种——更远的东西。,Club_lobby,Mixed_Emotion,,,
10260504,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10260505,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10260506,hide,hide,hide,hide,hide,女孩们在大厅里站成两排。没有人说话。没有人玩手机。没有人靠墙。空气里有一股冷——不是温度。是她带回来的那个男人的气息还残留在走廊里。很淡。但足以让所有人站得比平时直。,Corridor,Mixed_Emotion,,,
10260507,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10260508,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,声音平稳，但音量比平时大了一点
10260509,hide,hide,hide,hide,hide,我离开三天。回来——看到了三天的账。看到了三天的排班表。看到了投诉记录。整体——及格。但不优秀。,Corridor,Mixed_Emotion,,,
10260510,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10260511,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10260512,hide,hide,hide,hide,hide,"她说""及格""的时候，目光从每个人的脸上扫过去。速度一样。时长一样。像是在用尺子量。Linda在她看过来的时候挺了一下背。南梨低着头。夏实的微笑挂着。但挂得比平时高了一点点——紧张的时候，她的笑容反而会更亮。",Corridor,Unreal_Memory,,,
10260513,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260514,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260515,hide,hide,hide,hide,hide,从今天起——新规矩。,Corridor,Unreal_Memory,,,
10260516,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260517,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260518,hide,hide,hide,hide,hide,她说这四个字的时候，语气没有任何变化。但大厅里的空气突然变薄了。不是真的变薄——是所有人同时屏住了呼吸。,Club_lobby,Unreal_Memory,,,
10260519,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260520,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260521,hide,hide,hide,hide,hide,第一——每人每月营业额指标提高百分之二十。第二——迟到早退扣全天工资。第三——未经批准不得接受客人私下联系。第四——（她停了一拍）——任何人。都可以被替换。,Club_lobby,Unreal_Memory,,,
10260522,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260523,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260524,hide,hide,hide,hide,hide,"""替换""两个字落在空气里，像两颗很重的水银珠子。滚过去。停在每个人的脚边。没有人动。没有人问为什么。但所有人的肩膀都往下沉了一点点——不是沮丧。是承受。承受一个已经被猜到了的结果。",Club_lobby,Unreal_Memory,,,
10260525,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260526,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,语调不变
10260527,hide,hide,hide,hide,hide,如果有人觉得做不到——现在就可以走。不拦。不扣最后月薪。门在那边。,Club_lobby,Unreal_Memory,,,
10260528,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260529,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10260530,hide,hide,hide,hide,hide,"没有人动。没有人走。不是不想走。是走出去——去哪里。白鹤姬扫了一遍所有人的脸。然后点了一下头。很轻。像是这件事已经处理完了。她转身走向办公室。大衣的下摆在她身后轻轻扬起。走廊的光吞掉了她的背影。那个""使者""站在走廊转角。刚才一直在。他在看。不是看白鹤姬——是看我们。看所有人的反应。像是一个在菜市场选鱼的厨师。看着水槽。看着鱼鳃。看着哪条——还在动。",Corridor,Unreal_Memory,,,
10260531,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
