ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10160501,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160502,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160503,hide,hide,hide,hide,hide,大扫除结束后。满地抹布和半空的清洁剂瓶。濑户彩一个人坐在练习室的木地板上，背靠着那面整墙的镜子。头发没有像平时那样扎成高马尾，散在肩膀上，和瞳一样——大概是因为今天不是表演的日子。,Manager_Office,Mixed_Emotion,,,
10160504,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160505,hide,hide,hide,hide,hide,她看到我推门进来，没有站起来。只是拍了拍旁边的地板。,Manager_Office,Mixed_Emotion,,,
10160506,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160507,双雀姬·濑户彩,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160508,hide,hide,hide,hide,hide,坐吧经理。我正好想找个人说话。瞳在洗澡。她洗澡特别慢——洗头要用三次护发素。小时候在马戏团里洗澡的时间被严格限制，每人五分钟。她总是最后一个，动作慢。教练说她在偷时间。后来我们都离开了马戏团，她洗澡就要洗半小时——像是在等什么东西。其实是在等自己。,Manager_Office,Mixed_Emotion,,,
10160509,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160510,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160511,hide,hide,hide,hide,hide,她说这段话的时候很安静。和平时在客人面前那个谈笑风生的她不太一样。没有剧本，没有排练，没有姐妹一起出场时那种事先被设定好的默契。只有她一个人。,Manager_Office,Silent_Night,,,
10160512,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10160513,双雀姬·濑户彩,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10160514,hide,hide,hide,hide,hide,马戏团倒台之后，我们被不同中介经手。最后落到这里——是因为这里给的报酬是别处的十倍。十倍。你知道一个从小在帐篷里长大的人听到这个数字的时候是什么感觉吗——就是终于可以不做动物了。,Manager_Office,Silent_Night,,,
10160515,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10160516,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10160517,hide,hide,hide,hide,hide,她看着镜子里自己满墙的倒影。镜子里有好几个濑户彩，但没有一个濑户瞳。,Manager_Office,Silent_Night,,,
10160518,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10160519,双雀姬·濑户彩,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10160520,hide,hide,hide,hide,hide,现在攒了三年多。再攒一年。我们就离开这里，去一个没人认识的地方——租一间能看到海的公寓。瞳想养一只猫。我想学做蛋糕。,Apartment,Silent_Night,,,
10160521,hide,hide,hide,hide,hide,——像普通人一样。,Apartment,Silent_Night,,,
10160522,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10160523,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10160524,hide,hide,hide,hide,hide,和上次排练时一样的台词。但这次是只对我说的。没有瞳在旁边。她说这句话的时候，声音比上次低了一点点，像是怕被太多人听见——这好像不是什么宏大的梦想，只是一件很容易碎的东西。我只是静静听着。,Apartment,Silent_Night,,,
10160525,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10160526,双雀姬·濑户彩,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10160527,hide,hide,hide,hide,hide,"谢谢你没有说""加油""。别人说""加油""——他们是想你快点好起来。但你需要的是在一个有人听的地方把话说完。你说""加油""就变成了一种催促。我不需要被人催——我一直在跑，想停一停。",Apartment,Silent_Night,,,
10160528,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10160529,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10160530,hide,hide,hide,hide,hide,走廊尽头传来吹风机的声音——瞳大概洗完了。彩站起来，拍了拍自己身上的灰。然后把手放在镜子上。镜子里她的手和镜子里反射的手只差毫厘就碰在一起。但没有碰到。她在那一瞬间把手放下了。没有说什么。走了出去。,Corridor,Silent_Night,,,
10160531,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160532,hide,hide,hide,hide,hide,☆☆☆ BE07「双雀坠地」触发条件 ☆☆☆,Corridor,Silent_Night,,,
10160533,hide,hide,hide,hide,hide,[若在此刻或后续选择试图拆散姐妹/买断其中一人契约 → 彩攻击主角 → 两人被逐出俱乐部],Corridor,Silent_Night,,,
10160534,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10160535,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
