ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10120601,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120602,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120603,hide,hide,hide,hide,hide,凌晨十二点四十。翻盖机亮了。加密来电。,RestRoom,Silent_Night,,,
10120604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120605,佐藤正义,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120606,hide,hide,hide,hide,hide,佐藤。跟你说个名字。村上道也。你知道多少。,RestRoom,Silent_Night,,,
10120607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120609,hide,hide,hide,hide,hide,……只知道他是你的上级。搜查一课的。,RestRoom,Silent_Night,,,
10120610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120611,佐藤正义,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120612,hide,hide,hide,hide,hide,"不止。他是三年前""泡沫自杀事件""的结案人——雪鹤姬那件案子，就是他盖的章。从现场取证到结案，只用了九天。一个俱乐部头牌在VIP房间割腕自杀，涉及黑道客人和数十名证人——九天结案。",RestRoom,Silent_Night,,,
10120613,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120614,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120615,hide,hide,hide,hide,hide,九天。增田课长的车祸调查大概也会差不多快。,RestRoom,Silent_Night,,,
10120616,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120617,佐藤正义,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120618,hide,hide,hide,hide,hide,更麻烦的是——去年缉毒组扫出来的监听器，排查结果指向搜查一课内部。有人顶了罪，但是被顶罪的那个人去年已经离职了。现在找不到人。我怀疑那个人当初顶罪的时候，连自己都不知道是在替谁顶。,RestRoom,Silent_Night,,,
10120619,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120620,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120621,hide,hide,hide,hide,hide,翻盖机听筒里传来佐藤翻纸页的声音。纸质很脆，像是旧档案。,RestRoom,Silent_Night,,,
10120622,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120623,佐藤正义,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120624,hide,hide,hide,hide,hide,村上在调查我。也在调查增田。增田死之前，村上曾经调阅过缉毒组的人事档案。那个阅览记录没有销毁干净——有人留了一份副本。我现在还不确定村上和贩毒网络之间的具体关联——但他在高处，看得比我远。走步比我会走的每步都大。你要在他能看到的地方保持干净。不要做任何多余的事。,RestRoom,Unreal_Memory,,,
10120625,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120626,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120627,hide,hide,hide,hide,hide,……明白。,RestRoom,Unreal_Memory,,,
10120628,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120629,佐藤正义,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120630,hide,hide,hide,hide,hide,下次报告——加上对俱乐部的财务分析。我要知道他们每个月的资金动向。宁可报告写不完，也别暴露。,RestRoom,Unreal_Memory,,,
10120631,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120632,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120633,hide,hide,hide,hide,hide,电话挂断了。九天结案。监听器。兽医阅览了人事档案。这份加密通话每多一分钟，我头顶上的天花板就多一块霉斑。,RestRoom,Unreal_Memory,,,
10120634,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120635,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
