ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560301,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10560302,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10560303,hide,hide,hide,hide,hide,休息室里挤了四个人。夏实坐在中间，面前放着一台笔记本电脑。屏幕的光把她的脸照得发蓝。她的手指悬在键盘上方，没有落下。指尖在微微发颤——不是紧张，是某种即将释放的能量。空气里有咖啡的味道。速溶的。冲了三杯，第一杯已经凉了，第二杯被育子喝了一半，第三杯还在冒热气。,RestRoom,Coming_Dangerous,,,
10560304,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560305,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560306,hide,hide,hide,hide,hide,我发了。,RestRoom,Coming_Dangerous,,,
10560307,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560308,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560309,hide,hide,hide,hide,hide,她按下了回车键。屏幕上弹出一条推文——她今天凌晨三点写的。不是偶像时期那种精修的文案。是一段很简单的文字。配了一张图——不是自拍，不是舞台照。是俱乐部招牌的剪影。暖黄色的灯管，在清晨的灰色天光里还亮着。,RestRoom,Silent_Night,,,
10560310,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10560311,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10560312,hide,hide,hide,hide,hide,屏幕上的数字开始跳。一秒之内——十七转发。三秒——一百二十转发。育子凑过来，手里握着那半杯咖啡。紫从沙发上站起来，走到电脑后面。夏实没有说话。她盯着屏幕。嘴角没有笑。,Cafe,Silent_Night,,,
10560313,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10560314,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10560315,hide,hide,hide,hide,hide,七秒。四百转发。评论区开始涌入——不是粉丝，是路人。标签#十二飞鸟被顶到了趋势。十秒。屏幕上的数字跳过了五百。夏实把手从键盘上移开。她的手指落在膝盖上，蜷了一下，又伸直。,Cafe,Silent_Night,,,
10560316,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10560317,黄鹂姬·日向夏实,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10560318,hide,hide,hide,hide,hide,够了。五百。超了。,Cafe,Silent_Night,,,
10560319,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10560320,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10560321,hide,hide,hide,hide,hide,"她说""够了""的时候，语气不是满足。是确认。像一个人把最后一颗螺丝拧紧之后，拍了一下机器的外壳。她关掉屏幕。合上电脑。咖啡的苦味在空气里凝着。紫从沙发后面绕过来，拍了拍她的肩膀。夏实没有抬头。但她把手放在紫的手上。放了一下。然后松开。",Cafe,Silent_Night,,,
10560322,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
