ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10440401,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440402,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440403,hide,hide,hide,hide,hide,景子在休息室里待了一整个上午。她没有出去。没有接别的电话。没有和任何人说话。她坐在靠窗的椅子上，面前放着化妆镜。化妆镜里的自己——眼睛有一点肿，大概昨晚没睡好。她打开粉底盒，开始化妆。动作比平时慢。不是因为生疏——是因为她在用化妆的时间思考。,RestRoom,Unreal_Memory,,,
10440404,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440405,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440406,hide,hide,hide,hide,hide,空气里的氨水味已经散了。现在只有粉底的淡香和她头发上的洗发水味道。洗发水是柑橘味的——大概是小澪选的。小孩子喜欢水果味的东西。景子把粉底涂在眼睛下面。涂了两层。把肿的地方盖住了。然后她画眉毛。画得很仔细。眉尾的弧度比平时大了一点——看起来像在微微上扬。不是开心。是某种硬撑。,RestRoom,Unreal_Memory,,,
10440407,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440408,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440409,hide,hide,hide,hide,hide,她拿起口红。在手背上试了一下颜色。豆沙色。很淡。她把口红涂在嘴唇上。涂到一半的时候，手停住了。口红停在嘴角。她看着镜子里的自己。看着那个涂了一半口红的女人。看了很久。然后她把口红放下。没有擦掉。没有补完。就让嘴角那一小块颜色留在那里。,RestRoom,Unreal_Memory,,,
10440410,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440411,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440412,hide,hide,hide,hide,hide,她拿起电话机旁边的那部手机。翻盖的。翻开。屏幕亮了。蓝光打在她脸上。她按了一个号码——不是帝国酒店的。是小澪学校的。电话接通了。那头是学校的办公人员。声音很公式化。,RestRoom,Unreal_Memory,,,
10440413,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440414,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440415,hide,hide,hide,hide,hide,我是星野葵的母亲。我想确认——这周末的寄宿安排。,RestRoom,Unreal_Memory,,,
10440416,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440417,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440418,hide,hide,hide,hide,hide,对方说了什么。景子听着。边听边点头。她的手指在桌面上轻轻画圈。画了一个圈。又画了一个圈。画了十二个圈之后，她把电话挂了。合上手机。屏幕灭了。,RestRoom,Unreal_Memory,,,
10440419,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440420,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440421,hide,hide,hide,hide,hide,然后她对着镜子说了一句话。声音很小。但很清晰。,RestRoom,Unreal_Memory,,,
10440422,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440423,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440424,hide,hide,hide,hide,hide,好。,RestRoom,Unreal_Memory,,,
10440425,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440426,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440427,hide,hide,hide,hide,hide,"她答应了黑田。但她挂掉电话之后第一件事不是去帝国酒店——是打给小澪的学校。这不是一个要屈服的人会做的事。这是一个要确认""如果我出了什么事，孩子还是安全的""的人会做的事。",RestRoom,Unreal_Memory,,,
10440428,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
