ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560301,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560302,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10560303,hide,hide,hide,hide,hide,早上七点半。化妆间里只有春奈一个人。她坐在镜子前。脸上没有仿妆——是真脸。那张很白的、眉毛很淡的、鼻梁侧面有一颗小痣的脸。她把村上秘书的面具放在镜子前。面具在荧光灯下看起来很薄——几乎是透明的。肉色的硅胶在光里有皮肤一样的光泽。她看着面具。面具也看着她。,DressingRoom,Mixed_Emotion,,,
10560304,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560305,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560306,hide,hide,hide,hide,hide,空气里有酒精胶水的味道。还有更淡的——卸妆水的柑橘味。还有更底层的——春奈真脸时皮肤上那种很干净的、像皂角的气味。她的手指在面具上慢慢移动。从额头到下巴。沿着面具的轮廓。,DressingRoom,Mixed_Emotion,,,
10560307,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560308,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560309,hide,hide,hide,hide,hide,明天。我替代村上秘书。五分钟。然后面具开始松。然后我走。计划是这样。,DressingRoom,Mixed_Emotion,,,
10560310,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560311,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560312,hide,hide,hide,hide,hide,她停了一下。手指在面具的眉间停下来。眉间那道竖纹——是村上秘书常年皱眉留下的。她用指甲轻轻刮了一下那道纹。然后转过来看着我。真脸的眼睛在荧光灯下很亮。不是仿妆那种修饰过的亮——是某种更直接的。更脆的。,DressingRoom,Mixed_Emotion,,,
10560313,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560314,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10560315,hide,hide,hide,hide,hide,但我有一种直觉。不是占卜——我不占卜。是直觉。做了两个月面具之后——我开始了解村上秘书。了解他的习惯。他的步态。他的呼吸。他什么时候紧张——右手食指弹袖口。他什么时候害怕——左脚拖得更厉害。直觉告诉我——明天他会比平时更紧张。紧张的人会做什么——不可预测。,DressingRoom,Coming_Dangerous,,,
10560316,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560317,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560318,hide,hide,hide,hide,hide,她把面具拿起来。对着镜子。把自己的脸和面具并排。真脸和面具。两张脸在镜子里——一张什么都没有，一张什么都有。,DressingRoom,Coming_Dangerous,,,
10560319,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560320,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560321,hide,hide,hide,hide,hide,如果明天出岔子。如果村上秘书不按习惯来。如果面具提前松了。如果五分钟不够。如果——,DressingRoom,Coming_Dangerous,,,
10560322,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560323,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560324,hide,hide,hide,hide,hide,她停了一下。把面具放下。然后对着镜子里的自己。真脸。她的嘴唇动了一下。,DressingRoom,Coming_Dangerous,,,
10560325,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560326,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560327,hide,hide,hide,hide,hide,如果出岔子。我在雪代姐之前动手。不是替她。是替所有人。雪代姐会在最后一秒做选择。但那最后一秒——可能太晚了。我不用选。我已经选好了。明天——如果有枪指向你。我会比所有人都快。,DressingRoom,Coming_Dangerous,,,
10560328,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560329,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560330,hide,hide,hide,hide,hide,她转过来。真脸在荧光灯下没有任何保护。没有面具。没有仿妆。只有皮肤和骨头和眼睛。她的眼睛在真脸上显得更大——因为没有眼线。没有眼线的眼睛少了什么，但也多了什么。多了某种——不怕受伤的东西。,DressingRoom,Coming_Dangerous,,,
10560331,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560332,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560333,hide,hide,hide,hide,hide,……春奈。不要逞强。,DressingRoom,Coming_Dangerous,,,
10560334,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560335,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560336,hide,hide,hide,hide,hide,不是逞强。是还债。我欠雪鹤姐的。你们每个人都在还。我也要还。,DressingRoom,Coming_Dangerous,,,
10560337,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
