ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10060501,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060502,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060503,hide,hide,hide,hide,hide,下午四点半。距离开店还有一个小时。,DressingRoom,Mixed_Emotion,,,
10060504,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060505,hide,hide,hide,hide,hide,我去天台透口气——办公室的空调坏了，维修工说得下周才能来。推开天台的门，一阵温热的风扑面而来。远处商店街的霓虹灯还没亮，只有几面广告旗在风里懒洋洋地翻卷。,Manager_Office,Mixed_Emotion,,,
10060506,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10060507,hide,hide,hide,hide,hide,天台并不是空的。,Rooftop,Mixed_Emotion,,,
10060508,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060509,hide,hide,hide,hide,hide,"日向夏实在天台尽头。她背对着门，双腿分开与肩同宽，正在做拉伸热身。粉色双马尾随着她的动作轻轻晃动。没有音乐，但她嘴里哼着拍子——""一二三四、二二三四""——像是某种肌肉记忆，不需要任何外部提示就能自动运行。",Rooftop,Mixed_Emotion,,,
10060510,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060511,hide,hide,hide,hide,hide,我没有出声。靠在门框上看了一会儿。,Rooftop,Mixed_Emotion,,,
10060512,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060513,hide,hide,hide,hide,hide,她的动作很专业。每一个旋转的角度、每一次手臂伸展的幅度，都精确得像用尺子量过的。这不是俱乐部公关的训练水平。这是偶像的底子。,Rooftop,Mixed_Emotion,,,
10060514,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060515,hide,hide,hide,hide,hide,然后她开始跳舞。,Rooftop,Mixed_Emotion,,,
10060516,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060517,hide,hide,hide,hide,hide,没有BGM。没有观众。她的舞步依然完整——像一个还没被剪掉配乐的音乐剧片段。旋转、定点、微笑——那个微笑是朝假想中的镜头做的，角度卡得刚好。旋转、定点、再微笑。第三次旋转的时候，她看到了我。,Rooftop,Mixed_Emotion,,,
10060518,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060519,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060520,hide,hide,hide,hide,hide,——啊！,Rooftop,Mixed_Emotion,,,
10060521,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060522,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060523,hide,hide,hide,hide,hide,动作停住了。右手还举在半空。然后慢慢放下来。,Rooftop,Mixed_Emotion,,,
10060524,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060525,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060526,hide,hide,hide,hide,hide,经理！你怎么在这里——,Rooftop,Mixed_Emotion,,,
10060527,hide,hide,hide,hide,hide,你看到了？,Rooftop,Mixed_Emotion,,,
10060528,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060529,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060530,hide,hide,hide,hide,hide,……刚到。,Rooftop,Mixed_Emotion,,,
10060531,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060532,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060533,hide,hide,hide,hide,hide,她用手背擦了擦额头的汗。粉色马尾从肩头滑到背后。,Rooftop,Mixed_Emotion,,,
10060534,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060535,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060536,hide,hide,hide,hide,hide,被看到了好丢脸。这是我以前在Solar Flare时期的训练routine啦。,Rooftop,Mixed_Emotion,,,
10060537,hide,hide,hide,hide,hide,出道前每天要跳三十遍，跳到脚踝肿起来。,Rooftop,Mixed_Emotion,,,
10060538,hide,hide,hide,hide,hide,本来想的是退役之后绝对不会再跳了，结果——,Rooftop,Mixed_Emotion,,,
10060539,hide,hide,hide,hide,hide,身体反而比脑子记得更清楚。,Rooftop,Mixed_Emotion,,,
10060540,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060541,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060542,hide,hide,hide,hide,hide,"她说""退役""这个词的时候，声音里有一丝很难捕捉到的停顿。不是卡壳。是那种在某个词前面犹豫了一下、最后还是说了出来的感觉。",Rooftop,Mixed_Emotion,,,
10060543,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060544,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060545,hide,hide,hide,hide,hide,……还在写新歌。,Rooftop,Mixed_Emotion,,,
10060546,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060547,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060548,hide,hide,hide,hide,hide,诶？你怎么知道——,Rooftop,Mixed_Emotion,,,
10060549,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060550,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060551,hide,hide,hide,hide,hide,她看到我手里拿着的预约表。那张被粉色荧光笔画了小太阳的预约表。,Rooftop,Mixed_Emotion,,,
10060552,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060553,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060554,hide,hide,hide,hide,hide,啊。备注栏里的。被你发现了。,Rooftop,Mixed_Emotion,,,
10060555,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060556,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060557,hide,hide,hide,hide,hide,她走到天台边缘，扶着栏杆。晚风把她的裙摆吹起来一角。商店街的霓虹灯陆续亮了。粉色、黄色、蓝色——比起俱乐部里的灯光要廉价得多，但也温暖得多。,Rooftop,Warm_Encounter,,,
10060558,hide,hide,hide,hide,hide,,Rooftop,Warm_Encounter,,,
