ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10310401,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10310402,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10310403,hide,hide,hide,hide,hide,"下午一点。化妆间里弥漫着发胶和卸妆油的气味。南梨坐在自己那面镜子前面，镜子的灯开着，照着她的脸——没化妆，嘴唇有点白。她面前的桌上摊着一份报纸，是昨天那份，山下达彦的报道旁边，有人用圆珠笔圈了一行小字：""该案负责人佐藤警部补因故已调离""。",DressingRoom,Mixed_Emotion,,,
10310404,hide,hide,hide,hide,hide,她看到我进来，手指在报纸上点了一下。,DressingRoom,Mixed_Emotion,,,
10310405,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310406,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310407,hide,hide,hide,hide,hide,你知道了。,DressingRoom,Mixed_Emotion,,,
10310408,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310409,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310410,hide,hide,hide,hide,hide,不是问句。她声音很轻，但没抖——抖的是手。右手放在膝盖上，手指在裙子褶皱里反复捏。左手手背朝上——袖子盖到手腕，但能看到腕骨附近有一小块青色的淤痕。不是新的，褪了一半，像洗过多次的墨迹。,DressingRoom,Mixed_Emotion,,,
10310411,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310412,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310413,hide,hide,hide,hide,hide,佐藤先生——被抓了是吗。,DressingRoom,Mixed_Emotion,,,
10310414,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310415,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310416,hide,hide,hide,hide,hide,……嗯。,DressingRoom,Mixed_Emotion,,,
10310417,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310418,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310419,hide,hide,hide,hide,hide,她把报纸翻过来。背面是体育新闻。她把报纸对折，又对折，折到很小一块，塞进化妆包的侧袋里。动作很慢。折痕不直。,DressingRoom,Mixed_Emotion,,,
10310420,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310421,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310422,hide,hide,hide,hide,hide,又一个人没有了。,DressingRoom,Mixed_Emotion,,,
10310423,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310424,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310425,hide,hide,hide,hide,hide,她把镜子灯关掉。化妆间里暗了一截。,DressingRoom,Mixed_Emotion,,,
10310426,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310427,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310428,hide,hide,hide,hide,hide,和增田一样。说不见就不见了。增田最后一周——他周四没来。以前每周四都来。来的时候什么都不说，只是坐在那里看我排练。后来不来的时候——连个理由都没有。然后就在报纸上看到他了。,DressingRoom,Mixed_Emotion,,,
10310429,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310430,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310431,hide,hide,hide,hide,hide,她停了一下。转过来看我。眼睛没红——哭过的人眼睛不会红，只会发干，眼睑边缘有一圈不明显的肿。,DressingRoom,Mixed_Emotion,,,
10310432,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310433,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310434,hide,hide,hide,hide,hide,哲也。你还会在这里多久。,DressingRoom,Mixed_Emotion,,,
10310435,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310436,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10310437,hide,hide,hide,hide,hide,我没办法回答。化妆间里很安静，只有空调出风口的风声——低沉的，像远处有车在地道里开。南梨把左手袖子往下拉了拉。拉得很小心，不是怕我看见——是怕自己看见。,DressingRoom,Silent_Night,,,
10310438,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310439,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310440,hide,hide,hide,hide,hide,"我男朋友——增田说了一句一样的话。他说""我可能最近不太方便联系""。然后就不联系了。",DressingRoom,Silent_Night,,,
10310441,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310442,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310443,hide,hide,hide,hide,hide,她站起来。从挂钩上取下外套——一件旧的牛仔夹克，领子磨白了。穿上之后整个人的轮廓缩小了一圈。,DressingRoom,Silent_Night,,,
10310444,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310445,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310446,hide,hide,hide,hide,hide,你别变成他。就算出事——你也说一声。别让我从报纸上知道你。,DressingRoom,Silent_Night,,,
10310447,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
