ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580601,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580602,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10580603,hide,hide,hide,hide,hide,深夜九点。俱乐部大厅灯火通明。所有人都在。景子在铺桌布。白色的桌布，每一条褶皱都用手抚平。夏实在调整音响。不是放音乐——是测试。确保明天录音带播放的时候不会卡。紫在每张桌子上放了一小束花。不是买的——是从院子里摘的。不知道叫什么名字。白色的。很小。育子帮忙放餐具。她把筷子放在筷子托上。每一双都对齐。不是量的——是用眼睛。她的眼睛现在已经很准了。,Club_lobby,Silent_Night,,,
10580604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10580605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10580606,hide,hide,hide,hide,hide,空气里有浆洗过的桌布味道——很淡的淀粉味。还有夏实手里那瓶音响清洁剂的酒精味。还有更淡的——紫摘花时手指上留下的青草味。花的味道几乎没有。因为花太小了。但青草味很明显。那种折断茎叶之后特有的、有点涩的植物汁液味。,Club_lobby,Silent_Night,,,
10580607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10580608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10580609,hide,hide,hide,hide,hide,春奈在检查每个窗户的锁。不是用村上秘书的面具——是她自己的仿妆。有狐狸发卡的那个。蔷薇在角落里，把她黑皮书里的几页纸分别放进不同的信封。Linda在门口和外面的人用手势沟通。没有声音。只有手势。葵在吧台后面——把四瓶麻醉剂排成一排。彩和瞳在检查每一条走廊。不是走——是无声地移动。柔术训练让她们的脚步像猫。,Corridor,Mystery_Box,,,
10580610,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10580611,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10580612,hide,hide,hide,hide,hide,雪代站在大厅正中央。没有动手。只是看。她的眼睛在每一个细节上停留——桌布、餐具、花、音响、麻醉剂。然后她微微低头。闭上眼睛。大概几秒。然后睁开。,Club_lobby,Mystery_Box,,,
10580613,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580614,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580615,hide,hide,hide,hide,hide,好了。可以了。所有人回去睡。明天——准时。,Club_lobby,Mystery_Box,,,
10580616,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580617,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580618,hide,hide,hide,hide,hide,她转身走了。和服的下摆擦过地面。其他人也陆续离开。景子把最后一盏吊灯调暗。夏实把音响用布盖好。紫把占卜牌从桌上收起来。育子把最后一双筷子放好。然后她走到我面前。,Club_lobby,Mystery_Box,,,
10580619,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580620,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580621,hide,hide,hide,hide,hide,经理。明天。我会在正门。不是后巷。是正门。,Club_lobby,Mystery_Box,,,
10580622,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580623,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10580624,hide,hide,hide,hide,hide,她走了。大厅里只剩下我。和暗掉的吊灯。和桌上的花。花在暗光里是灰色的。但我记得它们是白的。,Club_lobby,Mystery_Box,,,
10580625,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
