ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10540400,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_Storage,Warm_Encounter,,,
10540401,hide,hide,hide,hide,hide,所以我必须让「每一天」是真的。我站。,Club_Storage,Warm_Encounter,,,
10540402,hide,hide,hide,hide,hide,,Club_Storage,Warm_Encounter,,,
10540403,hide,hide,hide,hide,hide,---,Club_Storage,Warm_Encounter,,,
10540404,hide,hide,hide,hide,hide,,Club_Storage,Warm_Encounter,,,
10540405,hide,hide,hide,hide,hide,,Club_Storage,Warm_Encounter,,,
10540406,hide,hide,hide,hide,hide,蔷薇在SM专属区域。区域里没有开大灯，只有几盏红色的小射灯。她坐在她的高背椅上。手里没有拿黑皮书——黑皮书放在旁边的矮桌上。合着。她今天没有穿皮革。穿了一件黑色的丝绒长裙。脖子上没有金属链。只有一条很细的银项链。吊坠是一把很小的钥匙。,Club_Storage,Mystery_Box,,,
10540407,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540408,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540409,hide,hide,hide,hide,hide,你大概已经猜到了。我的情报不是免费的。但这一次——免费。不是因为我不在乎钱了。是因为我在乎别的东西。我在这个俱乐部里待了几年。见过太多人跪在我面前，说真话，说假话，说他们自己都不知道自己会说出来的话。这个俱乐部是脏的——但它也是真的。比外面那个干净的世界真。所以我站。不是为了正义。是为了这个脏的、真的地方——不被更脏的人吞掉。,Club_Storage,Mystery_Box,,,
10540410,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540411,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540412,hide,hide,hide,hide,hide,她把矮桌上的黑皮书拿起来。翻开。翻到某一页。撕下来。递给我。纸上是手写的字。很密。但很整齐。,Club_Storage,Mystery_Box,,,
10540413,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540414,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540415,hide,hide,hide,hide,hide,晚宴的宾客名单。不全。但够用。,Club_Storage,Mystery_Box,,,
10540416,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540417,hide,hide,hide,hide,hide,---,Club_Storage,Mystery_Box,,,
10540418,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540419,hide,hide,hide,hide,hide,,Club_Storage,Mystery_Box,,,
10540420,hide,hide,hide,hide,hide,春奈在化妆间。八张面具还排在桌上。她今天没有戴任何仿妆——真脸。那张很白的、有两颗痣的、没有任何记忆的脸。她看到我的时候，嘴角翘了一下——不对称的那种。,DressingRoom,Mystery_Box,,,
10540421,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10540422,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10540423,hide,hide,hide,hide,hide,面具准备好了。八张。你需要谁——我一秒变成谁。但有一件事我要先说。,DressingRoom,Mixed_Emotion,,,
10540424,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10540425,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10540426,hide,hide,hide,hide,hide,她站起来。走到我面前。她的身高只到我下巴。她抬头看着我。真脸上的眼睛很大。,DressingRoom,Mixed_Emotion,,,
10540427,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10540428,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
