ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10300301,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300302,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300303,hide,hide,hide,hide,hide,凌晨五点四十七分。电话响的时候我正在看那本旧账簿，铅笔在手里抖了一下——不是因为铃声，是因为这个时间。莉香从来不这个时候打。,Rooftop,Silent_Night,,,
10300304,hide,hide,hide,hide,hide,翻盖机屏幕上的号码是国际长途。前缀61。澳洲。我接了。那头先是沉默，然后是一声很轻的呼吸。不是说话前的呼吸——是哭完之后还没平下来的那种。,Rooftop,Silent_Night,,,
10300305,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300306,小林莉香,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300307,hide,hide,hide,hide,hide,……哲也。,Rooftop,Silent_Night,,,
10300308,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300309,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300310,hide,hide,hide,hide,hide,声音隔着一整片太平洋，信号不太好，每个字后面都跟着细小的电流声。,Rooftop,Silent_Night,,,
10300311,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300312,小林莉香,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300313,hide,hide,hide,hide,hide,你是不是出事了。,Rooftop,Silent_Night,,,
10300314,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300315,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300316,hide,hide,hide,hide,hide,……没有。你怎么了。,Rooftop,Silent_Night,,,
10300317,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300318,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300319,hide,hide,hide,hide,hide,那头停了三秒。我听到远处有鸟叫声——澳洲的鸟，叫声比日本的响。还有翻纸的声音。她可能在翻什么东西。,Rooftop,Silent_Night,,,
10300320,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300321,小林莉香,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300322,hide,hide,hide,hide,hide,有人给我发了一封邮件。匿名。里面是你公寓的照片。还有你在俱乐部后门的一张。拍得很近。不是监控。,Apartment,Silent_Night,,,
