ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10140601,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140602,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10140603,hide,hide,hide,hide,hide,凌晨十二点。刚回到公寓，智能手机响了。不是消息。是来电。,Apartment,Silent_Night,,,
10140604,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10140605,hide,hide,hide,hide,hide,按下接听键。电话那头先是安静了几秒。然后莉香的声音从听筒里传过来。没有预热，没有寒暄。声音很闷，像是把自己的脸埋在了枕头里。,Apartment,Silent_Night,,,
10140606,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10140607,小林莉香,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10140608,hide,hide,hide,hide,hide,哲也——你今天为什么不回我消息。,Apartment,Silent_Night,,,
10140609,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10140610,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10140611,hide,hide,hide,hide,hide,"我看了一下手机。今天医院的信号很差——她有两条消息在六点钟发过来，一条说""今天同学聚会，好累""。另一条说""你今天怎么样？""我都没有收到。",Hospital,Silent_Night,,,
10140612,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140613,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140614,hide,hide,hide,hide,hide,……手机没电了。,Hospital,Silent_Night,,,
10140615,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140616,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140617,hide,hide,hide,hide,hide,这是我这周编造的最苍白的谎言。用它来回答她。,Hospital,Silent_Night,,,
10140618,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140619,小林莉香,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140620,hide,hide,hide,hide,hide,你的手机老没电。上上周二没电，上周四没电，今天没电。你之前那部手机的电池用了三年都没有出现这种情况，怎么换了一部新手机之后电池这么快就没了——你在骗我，你一直有在骗我。我不想跟你要答案，你给我的答案每一个都是假的——但我不知道你在骗我什么。我只是想听你今天过得好不好而你真的真的不能说吗。,Hospital,Silent_Night,,,
10140621,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140622,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140623,hide,hide,hide,hide,hide,她的话是一口气说完的。没有断句。没有升降。像一根拉得太紧的弦你用手指轻轻一碰就断了。那边没有声音了。有一声很轻的吸鼻子的声音——然后被掐断了。不是电话挂了，是她在那边用手捂住了话筒。呼吸声闷在掌心里。然后放开。,Hospital,Silent_Night,,,
10140624,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140625,小林莉香,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140626,hide,hide,hide,hide,hide,……对不起。我不该吼你。今天同学聚会上有人问我男朋友在做什么，我没回答上来。所以……我不是故意要逼你。我只是真的很想你。,Hospital,Silent_Night,,,
10140627,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140628,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140629,hide,hide,hide,hide,hide,……我也是。,Hospital,Silent_Night,,,
10140630,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140631,hide,hide,hide,hide,hide,"说真话的时候，每个字都是一把钥匙。说""我也是""——你被自己反锁在外面，看着里面那扇门永远打不开。",Hospital,Silent_Night,,,
10140632,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140633,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
