ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040001,hide,hide,hide,hide,hide,最后一拨客人离开时，已是深夜。,Manager_Office,Unreal_Memory,,,
10040002,hide,hide,hide,hide,hide,走廊里高跟鞋的声音渐渐稀疏，取而代之的是保洁人员清扫的声音。,Manager_Office,,,,
10040003,hide,hide,hide,hide,hide,空气里混杂着残留的香水，还有像是疲惫渗进木地板后散发出的微酸气味。,Manager_Office,,,,
10040004,hide,hide,hide,hide,hide,我坐在经理室里，面前摊开着第一日的账本。,Manager_Office,,,,
10040005,hide,hide,hide,hide,hide,数字整齐地排列着，却仿佛在纸面上浮动。,Manager_Office,,,,
10040006,hide,hide,hide,hide,hide,每周的额度指标，像悬在头顶的薄刃。,Manager_Office,,,,
10040007,hide,hide,hide,hide,hide,门被轻轻敲响。,Manager_Office,,,,
10040008,hide,hide,hide,hide,hide,不是员工那种小心翼翼的叩击，而是从容的、笃定的三声。,Manager_Office,,,,
10040009,hide,hide,hide,hide,hide,是白鹤姬·桂原雪代。,Manager_Office,,,,
10040010,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,经理大人，还在工作么？,Manager_Office,,,,
10040011,hide,hide,hide,YukiyoKatsurahara_work,hide,她仍然没有更换衣服。妆容也未洗净，在昏暗灯光下显出一种瓷器般的苍白。,Manager_Office,,,,
10040012,hide,hide,hide,YukiyoKatsurahara_work,hide,她手里端着一个黑漆托盘，上面放着一只白瓷酒壶和两只酒杯。,Manager_Office,,,,
10040013,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,第一天感觉如何？,Manager_Office,,,,
10040014,hide,hide,hide,YukiyoKatsurahara_work,hide,她走进来，将托盘放在茶几上，跪坐下来开始斟酒。,Manager_Office,,,,
10040015,hide,hide,hide,YukiyoKatsurahara_work,hide,动作行云流水，壶口悬停得恰到好处，酒液落入杯中无声。,Manager_Office,,,,
10040016,hide,hide,hide,YukiyoKatsurahara_work,hide,……还在适应。,Manager_Office,,,,
10040017,我,hide,hide,YukiyoKatsurahara_work,hide,啊……谢谢。,Manager_Office,,,,
10040018,hide,hide,hide,YukiyoKatsurahara_work,hide,我接过酒杯表示感谢。,Manager_Office,,,,
10040019,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,“十二飞鸟”的夜晚，和你想的一样吗？,Manager_Office,,,,
10040020,hide,hide,hide,YukiyoKatsurahara_work,hide,清酒是温过的，握在掌心有熨帖的温度。,Manager_Office,,,,
10040021,hide,hide,hide,YukiyoKatsurahara_work,hide,我抿了一口，酒里隐约带着梨子般的清甜。,Manager_Office,,,,
10040022,我,hide,hide,YukiyoKatsurahara_work,hide,要比我之前工作的俱乐部安静。,Manager_Office,,,,
10040023,hide,hide,hide,YukiyoKatsurahara_work,hide,听到这里，桂原雪代轻轻一笑。,Manager_Office,,,,
10040024,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,安静？,Manager_Office,,,,
10040025,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,那可能得益于这里的隔音设计吧！,Manager_Office,,,,
10040026,hide,hide,hide,YukiyoKatsurahara_work,hide,她说得确实没错。,Manager_Office,,,,
10040027,hide,hide,hide,YukiyoKatsurahara_work,hide,这里的建筑墙壁显然要比一般的日式建筑更加厚重。,Manager_Office,,,,
10040028,hide,hide,hide,YukiyoKatsurahara_work,hide,应该在隔音上做了额外的处理。,Manager_Office,,,,
10040029,hide,hide,hide,YukiyoKatsurahara_work,hide,倘若为了那些见不得人的事情做的特殊处理倒也正常。,Manager_Office,,,,
10040030,hide,hide,hide,YukiyoKatsurahara_work,hide,只是我清楚地知道这里可能有更见不得人的事情。,Manager_Office,,,,
10040031,hide,hide,hide,YukiyoKatsurahara_work,hide,在我思索这些的时候，桂原雪代举起酒杯。,Manager_Office,,,,
10040032,hide,hide,hide,YukiyoKatsurahara_work,hide,她将杯中酒一饮而尽，喉颈的线条优美如鹤。,Manager_Office,,,,
10040033,hide,hide,hide,YukiyoKatsurahara_work,hide,我看向她。,Manager_Office,,,,
10040034,hide,hide,hide,YukiyoKatsurahara_work,hide,她的表情没有变化，哪怕喝完酒以后也仍然没有变化。,Manager_Office,,,,
10040035,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,经理的眼睛虽然，干净，但是还挺有魅力的……,Manager_Office,,,,
10040036,hide,hide,hide,YukiyoKatsurahara_work,hide,房间里的空气似乎凝滞了一瞬。,Manager_Office,,,,
10040037,hide,hide,hide,YukiyoKatsurahara_work,hide,我搞不清这个危险的女人说这样的话是要做什么。,Manager_Office,,,,
10040038,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,经理觉得我的眼睛怎么样？,Manager_Office,,,,
10040039,hide,hide,hide,YukiyoKatsurahara_work,,她的声音很轻，却像细针一样扎进耳膜。,Manager_Office,,,,
10040040,hide,hide,hide,hide,hide,就在这时，敲门声再次响起。,Manager_Office,,,,
10040041,hide,hide,hide,AoiHoshino_base,hide,一个女孩站在门外，穿着便装的简单米色针织衫和牛仔裤，眼神中略显疲惫。,Manager_Office,,,,
10040042,hide,hide,hide,AoiHoshino_base,hide,是“四月·青鹭姬”星野葵。,Manager_Office,,,,
10040043,hide,hide,hide,AoiHoshino_base,hide,我掌握的情报显示，她其实是一个医学院在读的高材生。,Manager_Office,,,,
10040044,hide,hide,hide,AoiHoshino_base,hide,在俱乐部里打工筹措钱来还助学贷,Manager_Office,,,,
10040045,hide,hide,hide,AoiHoshino_base,hide,——同样是日本糟糕的大学金融助学系统的受害者。,Manager_Office,,,,
10040046,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,抱歉，打扰。,Manager_Office,,,,
10040047,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,我只是来送这个，给经理的见面礼……,Manager_Office,,,,
10040048,hide,hide,hide,AoiHoshino_base,hide,她递过来一个小纸袋。里面是几板维生素B群，还有一小瓶褪黑素。,Manager_Office,,,,
10040049,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,这种工作，生物钟很容易紊乱。,Manager_Office,,,,
10040050,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,这里有维生素B能缓解压力，褪黑素帮你调整睡眠。,Manager_Office,,,,
10040051,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,但注意剂量——褪黑素每天不要超过3毫克。,Manager_Office,,,,
10040052,hide,hide,hide,AoiHoshino_base,hide,她的语气专业得像在嘱咐病人。,Manager_Office,,,,
10040053,hide,hide,hide,AoiHoshino_base,hide,但当她看向茶几上的酒杯时，眉头几不可察地皱了一下。,Manager_Office,,,,
10040054,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,酒精会和褪黑素产生反应。,Manager_Office,,,,
10040055,青鹭姬·星野葵,hide,hide,AoiHoshino_base,hide,如果真的要吃，还是别和酒精一起。,Manager_Office,,,,
10040056,hide,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,随后，她转向桂原雪代。,Manager_Office,,,,
10040057,青鹭姬·星野葵,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,白鹤姐你也是，要注意休息。,Manager_Office,,,,
10040058,白鹤姬·桂原雪代,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,多谢关心。青鹭还是这么体贴。,Manager_Office,,,,
10040059,青鹭姬·星野葵,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,这是我该做的。,Manager_Office,,,,
10040060,青鹭姬·星野葵,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,那不打扰大家，我先告辞了，我明天早上有课。,Manager_Office,,,,
10040061,hide,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,她走到门口，她回头又很有礼貌地鞠了一躬。,Manager_Office,,,,
10040062,青鹭姬·星野葵,hide,AoiHoshino_base,hide,YukiyoKatsurahara_work,大家晚安。,Manager_Office,,,,
10040063,hide,hide,hide,hide,hide,门轻轻关上。,Manager_Office,,,,
10040064,hide,hide,hide,hide,hide,空气中留下一丝淡淡的酒精味——不是清酒，而是医用酒精。,Manager_Office,,,,
10040065,hide,hide,hide,hide,hide,应该是星野葵拿来给自己消毒用的。,Manager_Office,,,,
10040066,hide,hide,hide,YukiyoKatsurahara_base,hide,此时，桂原雪代重新端起酒杯。,Manager_Office,,,,
10040067,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_base,hide,她是医学院的高材生。,Manager_Office,,,,
10040068,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_base,hide,你知道为什么这样的女孩会在这里吗？,Manager_Office,,,,
10040069,我,hide,hide,YukiyoKatsurahara_base,hide,为了钱？,Manager_Office,,,,
10040070,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_base,hide,我一般有更好的说法，为了“学习”~,Manager_Office,,,,
10040071,hide,hide,hide,hide,hide,她站起身，走到窗边。窗外，大阪的夜景如繁星铺就的绒毯。,Manager_Office,,,,
10040072,hide,hide,hide,hide,hide,就在此时，门又被敲响了。,Manager_Office,,,,
10040073,hide,hide,hide,hide,hide,这次甚至没等回应，门就被推开。,Manager_Office,,,,
10040074,hide,hide,hide,Linda_work,hide,是“朱雀姬”Linda，俄罗斯血统，用来满足客人多样化的需求。,Manager_Office,,,,
10040075,hide,hide,hide,Linda_work,hide,Linda倚在门框上。她已经换下接客时的华丽服装。,Manager_Office,,,,
10040076,hide,hide,hide,Linda_work,hide,穿着简单但是性感的短裙，金色的长发随意披散。,Manager_Office,,,,
10040077,hide,hide,hide,Linda_work,hide,手里夹着一支细长的女士香烟。,Manager_Office,,,,
10040078,朱雀姬·Linda,hide,hide,Linda_work,hide,啊，还在开会？,Manager_Office,,,,
10040079,hide,hide,hide,Linda_work,hide,她的日语确实明显带有口音。,Manager_Office,,,,
10040080,hide,hide,hide,Linda_work,hide,她走进来，很自然地坐到桂原雪代刚才的位置，拿起酒壶晃了晃。,Manager_Office,,,,
10040081,朱雀姬·Linda,hide,hide,Linda_work,hide,诶，酒不错嘛。,Manager_Office,,,,
10040082,hide,hide,hide,Linda_work,hide,说着她便给自己倒了一杯。,Manager_Office,,,,
10040083,朱雀姬·Linda,hide,hide,Linda_work,hide,第一天怎么样，经理先生？,Manager_Office,,,,
10040084,朱雀姬·Linda,hide,hide,Linda_work,hide,听说经理身经百战，应该适应得很好吧~,Manager_Office,,,,
