ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10260401,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260402,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260403,hide,hide,hide,hide,hide,下午三点。白鹤姬回来了。比说好的周四早了一天。她推门进来的时候，带进一股很冷的风。不是外面的风——是她身上的。她穿了一件我没见过的深蓝色大衣，剪裁很利落，肩上有一点点融化的雪珠。她身后跟着一个男人。中年。五十岁左右。个子不高，但很宽。不是胖——是那种骨头粗大的宽。穿着一件深灰色的风衣，领子立着。眼睛很小，眼白多，看人的时候像是在数你身上有多少根骨头。,Cafe,Mixed_Emotion,,,
10260404,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260405,白鹤姬·桂原雪代,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,声音平稳
10260406,hide,hide,hide,hide,hide,黑羽——这位是使者。你不需要知道名字。,Cafe,Mixed_Emotion,,,
10260407,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260408,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260409,hide,hide,hide,hide,hide,"她说""使者""的时候，语气和说""今天天气很冷""一样。但那个男人站在她身后半步——不是落后半步，是精确的半步。他看人的方式是先从手开始。不是脸。是手。我的手指在身侧不自觉地蜷了一下。不是怕。是本能。",Cafe,Mixed_Emotion,,,
10260410,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260411,使者,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,声音很低，像是从喉咙深处发出来的
10260412,hide,hide,hide,hide,hide,你就是代理。,Cafe,Mixed_Emotion,,,
10260413,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260414,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260415,hide,hide,hide,hide,hide,不是问句。是确认。他的声音很干，像枯树叶在水泥地上被踩碎。他说完这句话就移开了目光。开始在店里走。不是闲逛。是检查。他摸了摸吧台的大理石台面，手指在接缝处停了一秒。他走到VIP区，看了一下窗帘的轨道。他弯腰，看了看沙发下面。然后直起身。看了雪代一眼。点了一下头。不是赞许。是——验收。,VIP_Room,Mixed_Emotion,,,
10260416,hide,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260417,白鹤姬·桂原雪代,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,对我
10260418,hide,hide,hide,hide,hide,这三天的账目——今晚给我。,VIP_Room,Mixed_Emotion,,,
10260419,hide,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260420,hide,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260421,hide,hide,hide,hide,hide,……好。,VIP_Room,Mixed_Emotion,,,
10260422,hide,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260423,白鹤姬·桂原雪代,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260424,hide,hide,hide,hide,hide,还有——把景子叫来。小澪的事，我要当面问她。,VIP_Room,Mixed_Emotion,,,
10260425,hide,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260426,hide,hide,hide,hide,hide,,VIP_Room,Mixed_Emotion,,,
10260427,hide,hide,hide,hide,hide,她说完这句话就带着那个男人走向办公室。走廊里只剩下她脚步声的回响。那个男人的脚步声几乎听不见——他穿的是软底皮鞋。但他走过的地方，地板缝里的灰微微震动。我站在原地。吧台上的酒杯被门口灌进来的冷风吹得轻轻摇晃。杯子里是空的。但晃起来——像装了某种看不见的东西。,Corridor,Mixed_Emotion,,,
10260428,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
