ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10510401,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510402,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510403,hide,hide,hide,hide,hide,揭面具的声音很细。像撕开一层很薄的保鲜膜。春奈把仿妆从脸上揭下来的时候，动作很慢——不是因为疼，是因为熟练。她揭过几百次了，知道什么角度、什么速度最干净。仿妆从下巴开始卷起，卷到额头，然后整张拿下来，放进旁边的透明塑料盒里。盒子盖上的时候发出很轻的咔哒声。,DressingRoom,Silent_Night,,,
10510404,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510405,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510406,hide,hide,hide,hide,hide,空气里的酒精胶水味更重了。她拿起一瓶卸妆水，倒在化妆棉上。化妆棉湿透之后颜色变深。她闭上眼睛，把化妆棉按在脸上。按了很久。然后慢慢擦。擦掉残余的胶水，擦掉粉底，擦掉眉粉，擦掉口红。化妆棉从白色变成肤色，又从肤色变成一张什么都有的颜色。,DressingRoom,Silent_Night,,,
10510407,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510408,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510409,hide,hide,hide,hide,hide,然后她睁开眼睛。转过来。,DressingRoom,Silent_Night,,,
10510410,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510411,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510412,hide,hide,hide,hide,hide,我看到了她的真脸。,DressingRoom,Silent_Night,,,
10510413,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510414,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510415,hide,hide,hide,hide,hide,"不是想象中那种""惊艳""——不是。是一张很普通的脸。皮肤比仿妆上看到的要白一点，大概是长期不见光的白。眉毛比仿妆上淡。嘴唇比仿妆上薄。鼻梁侧面有一颗很小的痣。左眼下面也有一颗。两颗痣形成一个很奇怪的呼应——像某种只有近看才能看到的星座。她的真脸上没有任何表情。不是冷漠。是空白。一张从来没有在别人面前出现过、所以不知道应该做什么表情的脸。",DressingRoom,Silent_Night,,,
10510416,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510417,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510418,hide,hide,hide,hide,hide,两分钟。,DressingRoom,Silent_Night,,,
10510419,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510420,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510421,hide,hide,hide,hide,hide,她的声音轻了很多。没有仿妆的时候，她的声音也变了——不是音色变了，是说话的方式变了。少了一层壳。,DressingRoom,Silent_Night,,,
10510422,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510423,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510424,hide,hide,hide,hide,hide,没有人看过超过两分钟。雪代姐看过。但她在第一分五十秒的时候转头了。她说——「够了。」不是因为不想看。是因为她知道这个数字对我有意义。两分钟。是我给自己定的规矩。,DressingRoom,Silent_Night,,,
10510425,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510426,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510427,hide,hide,hide,hide,hide,她把手放在膝盖上。坐姿很端正。背挺得很直。但她的脚在椅子下面互相勾着——一个她自己大概都没注意到的习惯。在所有的仿妆里她都能藏住这个小动作。但真脸不会藏。,DressingRoom,Silent_Night,,,
10510428,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510429,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510430,hide,hide,hide,hide,hide,我不喜欢自己的脸。不是因为丑。是因为它太轻了。别人的脸都有记忆——南梨的嘴唇有咬过的痕迹，景子的眼角有皱纹，夏实的眉心有道很浅的印子，是她做偶像时每天笑留下的。我的脸——什么都没有。没有痕迹。没有记忆。一张白纸。,DressingRoom,Silent_Night,,,
10510431,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510432,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510433,hide,hide,hide,hide,hide,她把手指伸到镜子上。镜面上有一层很薄的灰。她在灰上画了一道线。,DressingRoom,Silent_Night,,,
10510434,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510435,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510436,hide,hide,hide,hide,hide,所以我可以是任何人。但谁也不是我。,DressingRoom,Silent_Night,,,
10510437,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510438,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510439,hide,hide,hide,hide,hide,她把手放下。转回来看着我。她的眼睛在真脸上显得更大了一点——不是因为眼睛变大了，是因为没有眼线了。没有眼线的眼睛看起来少了什么，但也多了什么。多了某种很容易受伤的东西。,DressingRoom,Silent_Night,,,
10510440,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510441,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510442,hide,hide,hide,hide,hide,……两分钟到了。,DressingRoom,Silent_Night,,,
10510443,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510444,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510445,hide,hide,hide,hide,hide,她愣了一下。然后笑了。不是那种顽皮的、露出小虎牙的笑。是另一个笑。很淡。嘴角只翘了一点点。但这个笑——是真的。因为真脸上做出来的表情，没有仿妆那么完美。左边嘴角比右边高了一点。不对称。但不对称是对的。真的东西都是不对称的。,DressingRoom,Silent_Night,,,
10510446,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510447,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510448,hide,hide,hide,hide,hide,你是第一个计时的人。,DressingRoom,Silent_Night,,,
10510449,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
