ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10460401,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460402,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460403,hide,hide,hide,hide,hide,她从医疗箱最底层拿出三支安瓿瓶。放在桌上。三支排成一行。瓶子很小，里面的液体是透明的，在晨光里看不出来——和水一样。但瓶身上有很小的标签。手写的。她的字迹。不是拉丁字母——是化学式。每一个碳原子都标得很清楚。,Apartment,Silent_Night,,,
10460404,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460405,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10460406,hide,hide,hide,hide,hide,公寓里有咖啡的味道。我早上煮的。已经凉了。咖啡的苦味和消毒水的气味混在一起，产生了一种很奇怪的组合——像医院走廊里有人在喝咖啡。不是让人不舒服。是让人清醒。,Corridor,Mixed_Emotion,,,
10460407,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460408,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460409,hide,hide,hide,hide,hide,这是备用镇静剂。我自己配的。,Corridor,Mixed_Emotion,,,
10460410,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460411,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460412,hide,hide,hide,hide,hide,她拿起一支，对着光转了一下。液体在玻璃管里晃了一下，然后又静止了。她的手指很稳。拿安瓿瓶的手不会抖——这是基本功。,Corridor,Mixed_Emotion,,,
10460413,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460414,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460415,hide,hide,hide,hide,hide,剂量我算过了。根据成年男性的平均体重。一支可以让一个人在三十秒内心率降到四十以下。不是死。是慢。慢到呼吸还在，但身体动不了。,Corridor,Mixed_Emotion,,,
10460416,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460417,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460418,hide,hide,hide,hide,hide,她把安瓿瓶放回桌上。推向我。玻璃瓶在木桌上滚了半圈，停在桌沿。没有掉下去。她看着它停住。,Corridor,Mixed_Emotion,,,
10460419,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460420,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460421,hide,hide,hide,hide,hide,在最坏的情况下——让某个人慢下来。,Corridor,Mixed_Emotion,,,
10460422,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460423,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10460424,hide,hide,hide,hide,hide,"她说""某个人""的时候，眼睛没有看我。看着窗外。窗外是灰色的公寓楼墙壁，什么也没有。但她在看。像在看一个很远的地方——一个她希望不需要用上这些东西的地方。",Apartment,Mixed_Emotion,,,
10460425,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460426,青鹭姬·星野葵,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460427,hide,hide,hide,hide,hide,不是毒药。我不配毒药。毒药是别人用的——用在我身上过。用在我妹妹身上过。,Apartment,Mixed_Emotion,,,
10460428,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460429,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460430,hide,hide,hide,hide,hide,她转过来。眼神和平时一样冷静。但她的嘴唇抿得很紧——紧到嘴唇边缘发白。,Apartment,Mixed_Emotion,,,
10460431,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460432,青鹭姬·星野葵,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460433,hide,hide,hide,hide,hide,但如果你需要让谁停下来——不是永远停。只是暂时。三十分钟。够你做完该做的事。然后这个人会醒过来。不知道发生了什么。记不住。,Apartment,Mixed_Emotion,,,
10460434,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460435,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10460436,hide,hide,hide,hide,hide,她把剩下的两支也推过来。三支安瓿瓶排在桌上。透明的。安静的。晨光照在玻璃上，在桌面投下三道很短的光斑。,Apartment,Silent_Night,,,
10460437,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
