ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10330301,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330302,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330303,hide,hide,hide,hide,hide,清晨七点。拉面店刚开门，汤锅的蒸汽把玻璃窗蒙上一层白雾。空气里是猪骨汤的浓香和蒜泥的辛辣，混着酱油烧热之后的焦甜。老板在柜台后面切葱花，刀落在砧板上的声音很规律——每一刀都刚好落在同一个位置。,RamenShop,Silent_Night,,,
10330304,hide,hide,hide,hide,hide,店里只有我一个人。我坐在增田以前常坐的那个位子——吧台最靠里的角落，背对门，面朝墙。墙上有一张旧海报，是五年前的拉面比赛宣传，边角卷起来了。,RamenShop,Silent_Night,,,
10330305,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330306,拉面店老板,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330307,hide,hide,hide,hide,hide,好久不见。还是味噌？,RamenShop,Silent_Night,,,
10330308,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330309,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330310,hide,hide,hide,hide,hide,……嗯。,RamenShop,Silent_Night,,,
10330311,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330312,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330313,hide,hide,hide,hide,hide,他煮面的时候回头看了我一眼。,RamenShop,Silent_Night,,,
10330314,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330315,拉面店老板,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330316,hide,hide,hide,hide,hide,你那个朋友——增田先生。好久没来了。,RamenShop,Silent_Night,,,
10330317,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330318,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330319,hide,hide,hide,hide,hide,面煮好了。汤底很浓，味噌在表面结了一层薄油，热气把眼镜片熏白了。我摘下来擦。,RamenShop,Silent_Night,,,
10330320,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330321,拉面店老板,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330322,hide,hide,hide,hide,hide,他以前每周四来。固定。晚上九点左右。一个人，坐你那个位置。每次都点酱油拉面，加一个溏心蛋。吃完坐一会儿就走。不说话。就坐着。,RamenShop,Silent_Night,,,
10330323,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330324,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330325,hide,hide,hide,hide,hide,老板把葱花撒完，用围裙擦了手。,RamenShop,Silent_Night,,,
10330326,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330327,拉面店老板,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330328,hide,hide,hide,hide,hide,最后一周他没来。周四没来。周五也没来。我想是不是换店了。后来在报纸上看到了。,RamenShop,Silent_Night,,,
10330329,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330330,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330331,hide,hide,hide,hide,hide,他说这话的时候刀停了。厨房里只有汤锅咕嘟咕嘟的响声。,RamenShop,Silent_Night,,,
10330332,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10330333,拉面店老板,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
