ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600701,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600702,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600703,hide,hide,hide,hide,hide,七点四十分。宴会厅里的空气已经不再属于这场晚宴。吊灯的光还是那么亮，但亮得不真实——像是某个更大的东西降临之前，所有的颜色都被过度曝光了。香槟塔还剩三分之一。但已经没有人举杯了。所有人都站在原地。所有人的眼睛都在看雪代。或者看村上。或者看那盘录音带。,Corridor,Coming_Dangerous,,,
10600704,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600705,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600706,hide,hide,hide,hide,hide,村上往后退了一步。他的手下还在——大部分已经站不稳了，手按在桌沿上，酒杯从手里滑下来，在地毯上滚了几圈。但有一个人没有。村上的心腹——站在他右边的那个人。他一直没有喝酒。他没有碰香槟。他的眼睛从始至终在扫视整个宴会厅。他在等。,Corridor,Coming_Dangerous,,,
10600707,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600708,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600709,hide,hide,hide,hide,hide,他的手伸进靴子。动作很快——不是训练，是本能。巢燕卸了实弹——但这个人带的是备用的。不是从武器箱里拿的。是他自己带的。一直藏在靴子里。一把黑色的手枪。枪口开始抬起。,Corridor,Coming_Dangerous,,,
10600710,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600711,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600712,hide,hide,hide,hide,hide,枪口对着的方向——是我。,Corridor,Coming_Dangerous,,,
10600713,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600714,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600715,hide,hide,hide,hide,hide,"空气里有什么东西裂开了。不是声音——是时间。时间在那一刻被拉成了一条很细很细的线。我看到他的手指在扳机上收紧。我看到村上的脸上浮起一丝笑意——那种""至少你陪我一起""的笑。我看到育子在角落里张开了嘴，但她的声音还没到达喉咙。我看到夏实的手在伸向自己的腰——但她的枪不在那里。我看到彩和瞳在人群中，但她们太远了。我看到景子的眼睛——她知道自己漏了一发训练弹，但那一发是真的。",Corridor,Coming_Dangerous,,,
10600716,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600717,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600718,hide,hide,hide,hide,hide,然后我看到雪代。,Corridor,Coming_Dangerous,,,
10600719,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600720,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600721,hide,hide,hide,hide,hide,她的位置离我三步。她的袖子很宽。她的勃朗宁就在袖子里——这把枪跟了她十一年。她有两个选择。不动——计划照常。村上的心腹开枪，我死。但她的身份不会暴露。她会坐上村上的位置。这是她等了二十一年的结果。,Corridor,Coming_Dangerous,,,
10600722,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600723,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600724,hide,hide,hide,hide,hide,动——她开枪。暴露。放弃一切。二十一年的计划，在扣扳机的那一秒全部化为乌有。,Corridor,Coming_Dangerous,,,
10600725,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600726,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600727,hide,hide,hide,hide,hide,她选的时间不到零点五秒。,Corridor,Coming_Dangerous,,,
10600728,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600729,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600730,hide,hide,hide,hide,hide,两声枪响。不是一声——是两声。第一枪打中了心腹握枪的手。第二枪打中了那把手枪的枪管。角度被改变了。子弹从我的耳边擦过去——近到我能感觉到它经过时的热风。心腹倒在地上。枪从他手里滑出去，在地上转了几圈，撞到桌脚。,Corridor,Unreal_Memory,,,
10600731,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10600732,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10600733,hide,hide,hide,hide,hide,宴会厅里死寂。不是安静——是死寂。那种所有人同时停止了呼吸的死寂。吊灯还在亮。但光像是被冻住了。香槟塔在育子手里倒塌的那一刻都没有声音——只是金色的液体在白色桌布上无声地洇开。,Corridor,Silent_Night,,,
10600734,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600735,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600736,hide,hide,hide,hide,hide,雪代站在那里。她的右手还保持着开枪的姿势。勃朗宁的枪口冒着青烟。很细的烟——灰蓝色的，在吊灯的光里扭了一下，然后散开。她看着自己的手。看着手里的枪。看着枪口的烟。她的表情——不是胜利。不是恐惧。不是后悔。是某种更深的困惑。像是她做了一件自己也没预料到的事。像是她的手在零点五秒内替她做了决定——不是她的大脑，不是她的计划，是她的身体。是那些攒了四十多天的、被她压在喉咙底下的东西——在那一秒，它们比她的意志更快。,Corridor,Coming_Dangerous,,,
10600737,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
