ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10060401,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060402,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060403,hide,hide,hide,hide,hide,下午三点半，到店。,Corridor,Mixed_Emotion,,,
10060404,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060405,hide,hide,hide,hide,hide,推开经理办公室的门。今天的预约表已经打印好了，放在桌上——桂原雪代来过。她总是比我早。她能开这间办公室的门，这件事我并不意外。意外的是她每次翻完之后都会把文件放回原位，角度都分毫不差。,Manager_Office,Mixed_Emotion,,,
10060406,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10060407,hide,hide,hide,hide,hide,"预约表上的排期很满。今天是周四，但朱雀姬和夜鸢姬的预约栏已经排到下周一。双雀姬的档期一如既往被白鹤姬亲自标注——""待定""。",Manager_Office,Mixed_Emotion,,,
10060408,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10060409,hide,hide,hide,hide,hide,早莺姬的预约恢复正常了。酒水消耗也降回了之前的水平。昨天那个在化妆间用遮瑕膏盖淤青的女孩，今天在预约表上只是一个方框里的名字。,DressingRoom,Mixed_Emotion,,,
10060410,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060411,hide,hide,hide,hide,hide,"黄鹂姬今晚有三组客人。她在备注栏里用粉色荧光笔画了一个小太阳。旁边写了一行字——""新曲准备中♪""。",DressingRoom,Mixed_Emotion,,,
10060412,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060413,hide,hide,hide,hide,hide,我拿起那张预约表，看了那个小太阳几秒钟。,DressingRoom,Mixed_Emotion,,,
10060414,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060415,hide,hide,hide,hide,hide,新曲。她还在写歌。,DressingRoom,Mixed_Emotion,,,
10060416,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10060417,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
