ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10180501,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180502,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180503,hide,hide,hide,hide,hide,下午四点半。休息室里聚了四五个人——谷川景子在叠新毛巾，神乐坂紫在给一副新牌拆封，雏鹃姬育子坐在沙发上，怀里抱着一个抱枕。日向夏实站在中间，手里拿着一杯放了过多糖的红茶，用勺子敲了两下杯沿。,RestRoom,Silent_Night,,,
10180504,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180505,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180506,hide,hide,hide,hide,hide,"好——今天讲一个都市传说。不是普通恐怖故事——是这家店的真实事！你们知道吗，当年那个非常有名的头牌——""雪鹤姬""。她死的那天晚上是满月。和今天的月亮一样。她走进自己最常用的泡泡浴房间——换上了她最喜欢的那件和服，白色的，袖子上有鹤。她躺在泡泡浴垫子上。放好了热水。然后——用自己最爱的那把眉刀。",RestRoom,Silent_Night,,,
10180507,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180508,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180509,hide,hide,hide,hide,hide,她的勺子停在半空中。红茶在杯子里晃了一下，发出很细的一声响。,RestRoom,Silent_Night,,,
10180510,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180511,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180512,hide,hide,hide,hide,hide,后来有人说——每年同一天晚上，那间空出来的泡泡浴房间的灯会自动亮。没有人进去过。没有人把电打开。但灯光会在凌晨一点准时亮。亮二十分钟。然后自己灭。,RestRoom,Silent_Night,,,
10180513,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180514,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10180515,hide,hide,hide,hide,hide,休息室里安静了。紫手里那张新牌还没翻开，但她也不准备立刻翻了。景子的毛巾叠到一半停住了。育子把抱枕抱得更紧了一点点。,RestRoom,Mixed_Emotion,,,
10180516,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10180517,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10180518,hide,hide,hide,hide,hide,不过呢——不用担心！去年那间房间已经改成储藏室了。就算灯会亮——现在也照不到任何人。,RestRoom,Mixed_Emotion,,,
10180519,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10180520,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10180521,hide,hide,hide,hide,hide,"她说最后一句的时候笑了。那个笑容水平很高——完全没有瑕疵。然后她端起红茶咕咚咕咚喝完，说""好啦故事讲完了我去换衣服准备表演啦。""走出去的时候，她的背影在走廊里忽然变得很轻盈，看不出是她。",Corridor,Mixed_Emotion,,,
10180522,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10180523,hide,hide,hide,hide,hide,紫转过头来看我。手里拿着那张还没翻开的牌。,Corridor,Mixed_Emotion,,,
10180524,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10180525,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10180526,hide,hide,hide,hide,hide,她每次讲这个故事的时候——讲的最后一句都一样。然后每次的表情也是一样。她练习过。这个事比故事要可怕一点。,Corridor,Mixed_Emotion,,,
10180527,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10180528,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
