ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10520301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10520302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10520303,hide,hide,hide,hide,hide,衣帽间在走廊的尽头，平时很少有人来。门是虚掩的，推开门的时候闻到一股很重的金属油味。不是炒菜油——是枪油。那种味道很薄，很锐利，像针尖。混着旧衣服的樟脑味和铁架子的铁锈味。铁架子靠墙放着，上面挂满了演出服——亮片、羽毛、丝绸，在昏暗的光线里像一排沉睡的鸟。,Corridor,Silent_Night,,,
10520304,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520305,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520306,hide,hide,hide,hide,hide,景子坐在铁架子下面的一个小板凳上。面前铺了一块深色的布。布上放着一把黑色手枪。枪已经拆开了。零件排成整齐的一排——枪管、复进簧、枪机、弹匣底座。旁边是八颗子弹。子弹立着排成一排，铜壳在昏暗的光线里闪着暗金色的光。子弹旁边——一颗纽扣。白色的。塑料的。很小。大概是从哪件旧衣服上剪下来的。,Corridor,Silent_Night,,,
10520307,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520308,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520309,hide,hide,hide,hide,hide,景子没有抬头。她拿起枪管，对着光看了一下内壁。然后把枪管放回去。拿起复进簧。手指在弹簧上压了一下。弹簧发出很细的金属声——像一根被拨动的琴弦。她把零件重新排列，然后闭上眼睛。,Corridor,Silent_Night,,,
10520310,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520311,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520312,hide,hide,hide,hide,hide,空气里除了枪油和樟脑，还有她身上的味道——洗衣皂的碱味。那种很便宜的洗衣皂，泡沫少，洗完手会发涩。她的手上有长期做家务留下的痕迹——指关节处的皮肤比较粗糙，虎口有道很浅的旧伤疤。她闭着眼睛的时候，脸上的皱纹比平时明显。不是老。是累。,Corridor,Silent_Night,,,
10520313,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520314,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520315,hide,hide,hide,hide,hide,第一步。弹匣检查。,Corridor,Silent_Night,,,
10520316,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520317,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520318,hide,hide,hide,hide,hide,她闭着眼睛拿起弹匣。手指沿着弹匣边缘滑过。摸到弹匣底部。翻过来。确认没有卡壳。,Corridor,Silent_Night,,,
10520319,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520320,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520321,hide,hide,hide,hide,hide,第二步。弹匣插入。,Corridor,Silent_Night,,,
10520322,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520323,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520324,hide,hide,hide,hide,hide,弹匣推进枪柄。咔嗒。很清脆的一声。在衣帽间的小空间里回荡了一下。,Corridor,Silent_Night,,,
10520325,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520326,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520327,hide,hide,hide,hide,hide,第三步。套筒拉动。,Corridor,Silent_Night,,,
10520328,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520329,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520330,hide,hide,hide,hide,hide,她拉套筒。声音比弹匣插入更重。金属摩擦金属——一种干燥的、没有润滑的摩擦声。套筒复位。枪现在上膛了。她睁开一只眼睛。确认了一下。又闭上。,Corridor,Silent_Night,,,
10520331,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520332,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520333,hide,hide,hide,hide,hide,第四步。保险检查。第五步。瞄准。第六步。呼吸。第七步。扣扳机。,Corridor,Silent_Night,,,
10520334,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520335,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520336,hide,hide,hide,hide,hide,她扣了一下空扳机。击锤落空，发出一声很闷的金属声。然后她睁开眼睛。把枪放回布上。零件拆开。重新排列。闭上眼睛。从头开始。第一步。第二步。第三步。每一步的间隔都一样——大概三秒。不多不少。像一个节拍器。像工厂流水线上的机器。像一个人在用最笨的方法把一件事刻进肌肉里。,Corridor,Silent_Night,,,
10520337,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520338,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520339,hide,hide,hide,hide,hide,我靠在门框上。没有出声。她大概知道我来了。但她没有停。她在做第七遍的时候，手指在第三步卡了一下——套筒没拉到位置。她睁开眼睛。看着自己的手。然后重新闭上眼睛。从头开始。,Corridor,Silent_Night,,,
10520340,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
