ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10160301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10160302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10160303,hide,hide,hide,hide,hide,早上七点。翻盖机。佐藤要求今天内提交一份暂定调查方案。,Club_away,Mixed_Emotion,,,
10160304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10160305,hide,hide,hide,hide,hide,"""需要书面——以备将来呈堂使用。列出你在俱乐部接触到的所有可能与毒品网络相关的人和物。加密发送。""",Club_away,Mixed_Emotion,,,
10160306,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10160307,hide,hide,hide,hide,hide,我在笔记本上花了四十分钟，列了七个人，十三个物。凤凰卡，银鹮的Phoenix Coin，夜鸢黑皮书中的死者的名字，制药原料仓库地址。删除写了一行又删掉的名字——没有证据，只有直觉。佐藤不需要直觉。,Club_away,Mystery_Box,,,
10160308,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10160309,hide,hide,hide,hide,hide,发送。已读。没有追加问题。他今天大概也很忙——停职倒计时的数字每天减少二十四小时的时候，人没有时间问多余的问题。,Club_away,Mystery_Box,,,
10160310,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10160311,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
