ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10420601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420603,hide,hide,hide,hide,hide,宴会厅里现在摆好了一部分桌椅。主桌已经放好了——圆桌，白色桌布，十二把椅子整齐地围成一圈。但其他的桌子还是空的。雪代下午画在地上的粉笔圈还在。因为地板打过蜡，粉笔印不太牢，有几个已经模糊了。但主桌那个圈还很清晰。,Corridor,Silent_Night,,,
10420604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420605,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420606,hide,hide,hide,hide,hide,我站在厨房门口。背靠着门框。金属门框很凉，凉意透过衬衫传到皮肤上。厨房里已经熄灯了，磨砂玻璃上只有走廊里透进来的微光。空气里有洗洁精的味道——厨房刚打扫过，不锈钢台面被擦得锃亮，在微光里泛着一层青白色的光泽。,Corridor,Silent_Night,,,
10420607,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420609,hide,hide,hide,hide,hide,从这个位置看主桌——角度正好。不是正对面。是四十五度斜角。能看到主桌十二个座位的全部。能看到主桌后面的窗户。能看到宴会厅的正门。能看到通向休息室的走廊入口。唯一看不到的是厨房里面——但厨房只有这一个门。只要我站在这里，没有人能从厨房进出而不经过我。,Corridor,Silent_Night,,,
10420610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420611,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420612,hide,hide,hide,hide,hide,雪代选这个位置给我——不是随便选的。她把宴会厅的每一个视线都算过了。村上从主位看到的是正前方和右手边。买家从左手位看到的是正前方和左手边。两个人都不会回头看厨房门。而厨房门旁边的48号座位——是整个宴会厅里最不显眼的位置。客人不会注意。服务生不会注意。村上不会注意。但坐在这里的人，可以看到一切。,Corridor,Silent_Night,,,
10420613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420615,hide,hide,hide,hide,hide,我把手从口袋里抽出来。摸了一下门框。金属的触感很冷。这扇门是防火门——很重，关上的时候不会发出声音。门框上有一个气撑，能把门自动合上。如果有人从厨房出来，门会在身后无声地闭合。如果有人从宴会厅进去，门推开的时候会有一瞬间的光差——厨房暗，宴会厅亮，推门的人会在逆光里变成一个剪影，看不清脸。,Corridor,Silent_Night,,,
10420616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420617,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420618,hide,hide,hide,hide,hide,我转过身。看着厨房里面。黑暗里能看到不锈钢台面的轮廓。台面上放着几排已经洗好的杯子，倒扣在托盘上。杯子在微光里像一排小小的钟。空气里的洗洁精味之外，还有更淡的——大概是水管里的铁锈味。很淡，但挥之不去。像这个俱乐部本身。表面是香水、茶、和高级料理的味道。底下是铁锈、旧木头、和二十一年积累下来的秘密的味道。,Corridor,Silent_Night,,,
10420619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420620,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420621,hide,hide,hide,hide,hide,我把手从门框上拿开。转身。走回主桌旁边。地上的粉笔圈还在。三个叉还在。雪代下午蹲在这里画圈的时候，她的和服下摆拖在地板上，擦掉了旁边一个模糊的粉笔印。那个被擦掉的印子，大概是上一轮的座位标记。,Corridor,Silent_Night,,,
10420622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420623,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420624,hide,hide,hide,hide,hide,每一轮都有新的座位图。每一轮都有人坐在不同的位置。但这一轮——这一轮不一样。这一轮不只是换座位。这一轮是换棋盘。,Corridor,Silent_Night,,,
10420625,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420626,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420627,hide,hide,hide,hide,hide,我最后看了一眼宴会厅。吊灯已经关了。只有墙角的应急灯亮着，发出很弱的白光。主桌的白色桌布在暗光里像一个结了冰的湖面。十二把椅子围着它，像十二个沉默的守卫。厨房门的磨砂玻璃上透出微光。那道微光里，没有人影。,Corridor,Silent_Night,,,
10420628,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
