ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550601,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550602,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550603,hide,hide,hide,hide,hide,大厅里没有人。长桌已经铺好了白色桌布。座次牌一个一个端端正正地立着。在黑暗中看起来像一排小小的墓碑。窗外的月光从侧窗进来，落在长桌上，把白色桌布照成银灰色。深红色的主位座次牌在月光里变成黑色。金字在微微反光——「桂原雪代」。反光很小，但很确定。像一颗钉子钉在桌上。,Club_lobby,Silent_Night,,,
10550604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550606,hide,hide,hide,hide,hide,空气里有浆粉的味道——育子铺的桌布。还有残余的蜂蜡——长桌的木头。还有更淡的——大概是下午育子端进来的一杯大麦茶，放在窗台上忘了拿走。茶已经凉了。凉茶的味道很淡，但在这间空旷的大厅里——它是唯一有温度的东西。,Club_lobby,Silent_Night,,,
10550607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550609,hide,hide,hide,hide,hide,雪代从走廊里走进来。脚步很轻。和服的下摆拖在木地板上，发出很细的沙沙声。她没有开灯。月光够了。她走到长桌旁边。从末端开始。一个一个座次牌看过去。诡鹀姬——靠门。雏鹃姬——中间偏后。巢燕姬——中间。黄鹂姬——左手第二。青鹭姬——右手第二。朱雀姬——左手第一。黑羽哲也——右手第一。,Corridor,Unreal_Memory,,,
10550610,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550611,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550612,hide,hide,hide,hide,hide,她在我座次牌前面停了半步。低头看了一眼。然后继续往前走。走到主位。深红色座次牌。桂原雪代。她看着自己的名字。看了很久。然后伸出手。拉开那把椅子。,Corridor,Unreal_Memory,,,
10550613,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550614,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550615,hide,hide,hide,hide,hide,椅子很重。实木的。椅背很高，顶端雕着一只鹤——翅膀半张，不知道是要起飞还是刚落下。和茶室柜门锁上的鹤一模一样。她把椅子拉出来。木脚在地板上刮出一声很闷的摩擦声。然后她坐下来。坐在主位上。背挺得很直。手放在桌面上。手心朝下。,Corridor,Unreal_Memory,,,
10550616,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550617,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550618,hide,hide,hide,hide,hide,她从这个位置看过去。长桌一直延伸到大厅的另一头。所有人的座次牌都在她眼前——从朱雀姬到诡鹀姬。十一个人。加上她自己。十二个人。十二张椅子。十二个名字。她一个一个看过去。看得很慢。在每一个名字上停一秒。不多。但够了。,Club_lobby,Unreal_Memory,,,
10550619,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10550620,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10550621,hide,hide,hide,hide,hide,然后她站起来。没有马上走。她弯下腰。手摸在椅背上。不是摸那只鹤——是摸木头本身。深色的木头。上面的纹理很细密。一道一道。像时间的刻度。她用指尖沿着纹理慢慢滑。从椅背顶部一直滑到坐垫边缘。木头的纹理在指尖下微微起伏。有些地方光滑——是被人坐过太多次磨光的。有些地方还留着木纹的原始触感——粗糙，但有温度。不是真的温度——是木头吸了一整天阳光之后，在深夜还没散尽的暖。,Club_lobby,Silent_Night,,,
10550622,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550623,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550624,hide,hide,hide,hide,hide,她把手停在椅背中间——肩胛骨会靠到的那个位置。那个位置的木纹最密。一圈一圈。像树的年轮。她用手指按了一下。很轻。然后把手收回去。放在自己身侧。,Club_lobby,Silent_Night,,,
10550625,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550626,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550627,hide,hide,hide,hide,hide,……凉了二十一年。,Club_lobby,Silent_Night,,,
10550628,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550629,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550630,hide,hide,hide,hide,hide,她说的不是椅子。椅子是实木的，吸了阳光之后是温的。她说的是坐在这把椅子上的人。是十九岁被带进这间俱乐部的桂原雪代。是三十岁接过头牌位置的飞莺姬。是四十岁即将坐上主位的白鹤姬。这把椅子等了她二十一年。她也等了这把椅子二十一年。但现在——在月光下，在白色桌布前，在所有座次牌的注视下——她摸到的不是胜利。是凉。是木头的凉。是时间的凉。是一切即将改变之前的——最后一点安静。,Club_lobby,Silent_Night,,,
10550631,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550632,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550633,hide,hide,hide,hide,hide,她转身。沿着长桌走回去。走到大厅中央的时候停下来。侧过头。看了一眼窗外。月光照在她脸上。她的表情和平时一样——平稳，克制，每一根线条都被量过。但月光把她的影子投在白色桌布上。影子很长。从桌布上一直延伸到地板上。影子的轮廓是模糊的——但能看到。她站在那里。一个人。在大厅的中央。在十二张椅子之间。在长桌和月光和浆粉的味道里。,Club_lobby,Silent_Night,,,
10550634,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550635,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550636,hide,hide,hide,hide,hide,然后她继续走。走出大厅。和服的下摆消失在走廊的暗处。大厅重新沉入安静。月光继续照在长桌上。深红色的座次牌继续反着金光。那把被拉出来的主位椅子——没有推回去。留在原地。椅背上的鹤在月光里半张着翅膀。不知道是要起飞。还是刚落下。,Corridor,Silent_Night,,,
10550637,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
