ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580401,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10580402,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10580403,hide,hide,hide,hide,hide,下午三点。天台上只有Linda和我。她叼着一根没点的雪茄。手里拿着一把枪。不是警用枪——是Interpol的标配。黑色的，很紧凑。她把枪放在水泥围栏上。然后从口袋里掏出一个小盒子。打开。里面是子弹。不是一排——是三颗。她把子弹一颗一颗拿出来。放进弹夹里。金属碰撞的声音很脆。在天台上弹了一下，然后被风吹散。,Rooftop,Unreal_Memory,,,
10580404,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580405,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580406,hide,hide,hide,hide,hide,空气里有雪茄叶的味道——没点的雪茄，味道是生的。草本的。带一点泥土气。还有Linda身上的香水——不是俄罗斯的。是她自己调的。伏特加的底，上面是某种很淡的花。不是玫瑰。大概是矢车菊。还有更底层的，枪油的气味。很淡。但很确定。,Rooftop,Unreal_Memory,,,
10580407,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580408,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580409,hide,hide,hide,hide,hide,明天。这把枪会在我身上。不是拿出来——是藏在裙子下面。晚宴的裙子。很紧。但能藏。,Rooftop,Unreal_Memory,,,
10580410,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580411,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580412,hide,hide,hide,hide,hide,她把弹夹推进枪里。咔哒。然后拉了一下滑套。子弹上膛。她把枪举起来。对着天空。没有瞄准什么。只是举着。然后放下。放回围栏上。,Rooftop,Unreal_Memory,,,
10580413,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580414,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580415,hide,hide,hide,hide,hide,Interpol的人在外面。八个人。四个在正门。四个在后巷。信号——招牌灯闪三次。三次之后他们冲进来。但——里面需要有人控制局面。你。我。雪代。还有这把枪。,Rooftop,Unreal_Memory,,,
10580416,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580417,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580418,hide,hide,hide,hide,hide,她把枪拿起来。递给我。不是让我拿——是让我看。枪在她的手心里。黑色的金属在阴天的光里不反光。很暗。很沉。,Rooftop,Unreal_Memory,,,
10580419,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580420,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580421,hide,hide,hide,hide,hide,我希望用不上。麻醉剂就够了。但如果麻醉剂不够——这把枪在。不是用来杀人。是用来让所有人知道——不是闹着玩的。这是我的工作。我做了三年。第一次——带着枪进同一个房间。,Rooftop,Unreal_Memory,,,
10580422,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580423,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580424,hide,hide,hide,hide,hide,她停了一下。把枪收起来。放进一个很小的皮套里。皮套是定制的。黑色的皮子，边上缝了很细的红线。她把皮套塞进外套内侧。然后拍了拍。,Rooftop,Unreal_Memory,,,
10580425,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580426,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10580427,hide,hide,hide,hide,hide,明天之后。不管结局如何。我要回一次俄罗斯。不是去述职——是去看我妈。她住在圣彼得堡。窗外能看到涅瓦河。她总说——「Linda，你别干危险的事」。我说「妈，我在日本做公关」。她信了。明天之后——我告诉她真相。希望她不会拿扫帚打我。,Rooftop,Coming_Dangerous,,,
10580428,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580429,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580430,hide,hide,hide,hide,hide,她笑了。笑得很大声。天台上只有她的笑声。然后笑声停了。她看着我。冰蓝色的眼睛在阴天里显得很亮。,Rooftop,Coming_Dangerous,,,
10580431,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580432,朱雀姬·Linda,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
10580433,hide,hide,hide,hide,hide,你。明天。不要死。这是我唯一的命令。不是请求。是命令。,Rooftop,Coming_Dangerous,,,
10580434,hide,hide,hide,hide,hide,,Rooftop,Coming_Dangerous,,,
