ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10480601,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480602,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480603,hide,hide,hide,hide,hide,烛火快烧到底了。蜡油积了厚厚一滩。黑色的蜡，在烛台上凝固成了不规则的形状。房间里的光线越来越暗。美咲蔷薇的脸有一半在烛光里，一半在阴影中。她看着我把三页纸放进怀里。纸张在我外套内侧发出了很轻的摩擦声。,Corridor,Mystery_Box,,,
10480604,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480605,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480606,hide,hide,hide,hide,hide,这次不收钱。,Corridor,Mystery_Box,,,
10480607,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480608,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480609,hide,hide,hide,hide,hide,我看着她。她笑了一下。不是那种SM女王对客户的笑——那种笑她随时可以做出来，完美的弧度，完美的距离感。今晚的笑不是。今晚的笑很轻。嘴角只动了很小的幅度。但眼睛里有某种更重的东西。,Corridor,Mystery_Box,,,
10480610,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480611,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480612,hide,hide,hide,hide,hide,不是所有的东西都能用钱算的。,Corridor,Mystery_Box,,,
10480613,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480614,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480615,hide,hide,hide,hide,hide,她走到桌前。把黑皮书合上。书合上的时候发出一声很闷的响——皮革和皮革碰到一起的声音。她把手按在封面上。按了很久。然后拿起一支笔——不是密码笔，是一支普通的圆珠笔——在封面上写了一行字。字迹很小。我看不到写的是什么。,Corridor,Mystery_Box,,,
10480616,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480617,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480618,hide,hide,hide,hide,hide,我收过很多人的钱。客户的。组织的。陌生人的。每一笔都记在这本书里。但不是每一笔——都值得记。,Corridor,Mystery_Box,,,
10480619,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480620,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480621,hide,hide,hide,hide,hide,她把笔放下。用手指摸了摸封面上的那行字。墨还没干。她的手指沾了一点蓝色墨水。,Corridor,Mystery_Box,,,
10480622,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480623,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480624,hide,hide,hide,hide,hide,你是警察。我知道。从你第一天走进来我就知道。不是因为你露了什么破绽——是因为你看她们的方式。警察看嫌疑犯——是冷的。你看她们——是暖的。那个温度差，在我这里过不了。,Corridor,Mystery_Box,,,
10480625,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480626,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480627,hide,hide,hide,hide,hide,她把沾了墨水的手指在睡袍上擦了一下。黑色丝绒吸收了蓝色墨水，变成了一小块看不清楚的深色。,Corridor,Mystery_Box,,,
10480628,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
