ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10210601,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210602,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210603,hide,hide,hide,hide,hide,"凌晨零点半。休息室里只有一个人。星野葵坐在靠窗的位子，面前摊着一本很厚的书。书脊是深蓝色的，上面的烫金标题已经磨损得只剩下""药理学""三个字。她戴着眼镜——平时不戴的那副，黑框的，镜片很厚。灯光在镜片上反出两个很小的白色方块。空气里有咖啡的味道。不是速溶的。是她自己用滴滤壶泡的。很苦。苦到能闻到。",RestRoom,Silent_Night,,,
10210604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210605,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,抬头
10210606,hide,hide,hide,hide,hide,经理——睡不着？,RestRoom,Silent_Night,,,
10210607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210609,hide,hide,hide,hide,hide,……习惯了。,RestRoom,Silent_Night,,,
10210610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210611,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210612,hide,hide,hide,hide,hide,那就喝杯咖啡。反正睡不着的人，咖啡因也管不了。,Cafe,Silent_Night,,,
10210613,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210614,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210615,hide,hide,hide,hide,hide,她把书合上，站起来走到咖啡机旁边。她的动作很慢，很稳。每一步都像是踩在预先画好的线上。她往杯子里倒咖啡的时候，手腕完全不抖。深褐色的液体注入白色杯子里，形成一个很小的漩涡。她把杯子递给我。杯壁很烫。手指碰到的时候，痛了一下。,Cafe,Silent_Night,,,
10210616,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210617,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210618,hide,hide,hide,hide,hide,……在看什么。,Cafe,Silent_Night,,,
10210619,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210620,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,坐下
10210621,hide,hide,hide,hide,hide,毒理学。具体的说——神经毒素。从动植物中提取的那一类。,Cafe,Silent_Night,,,
10210622,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210623,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210624,hide,hide,hide,hide,hide,她把书翻开，转过来给我看。那一页上印着一种植物的彩色插图。紫色的花，叶子上有锯齿。旁边是密密麻麻的化学式。她的手指点在插图下面的一行小字上。手指很细，指甲修得很短，干干净净。没有涂指甲油。不像这个店里的其他人。,Cafe,Silent_Night,,,
10210625,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210626,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210627,hide,hide,hide,hide,hide,乌头。根茎含有乌头碱。零点二毫克致死。作用机制是阻断钠离子通道——简单地说，让神经信号无法传递。中毒的人意识是清醒的。但身体完全不能动。心脏会先停。,Cafe,Silent_Night,,,
10210628,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210629,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210630,hide,hide,hide,hide,hide,"她说这些的时候，语气和说""今天天气不错""是一样的。不是冷漠。是一种——把知识从情感中剥离出来的精确。她把书转回去，翻了一页。又一页。每一页都是一种死亡的方式。干净。系统。有化学式作证。",Cafe,Silent_Night,,,
10210631,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210632,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210633,hide,hide,hide,hide,hide,……为什么学这个。,Cafe,Silent_Night,,,
10210634,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210635,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,翻书的动作停了一下
10210636,hide,hide,hide,hide,hide,医学需要。毒理学是药理学的一部分。所有的药——都是毒。区别只在剂量。,Cafe,Silent_Night,,,
10210637,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210638,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
