ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10050501,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10050502,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10050503,hide,hide,hide,hide,hide,下午四点半。营业前的准备时间。走廊里飘来发胶和香水的味道，化妆间的灯光把门缝照成一条金色的线。,Corridor,Mixed_Emotion,,,
10050504,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10050505,hide,hide,hide,hide,hide,我去检查休息室的备品——毛巾数量、瓶装水库存、花瓶里的花是否新鲜。路过化妆间时，门半开着。,RestRoom,Mixed_Emotion,,,
10050506,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10050507,hide,hide,hide,hide,hide,里面是早莺姬·小野南梨。,RestRoom,Mixed_Emotion,,,
10050508,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10050509,hide,hide,hide,hide,hide,她坐在镜子前，正在往手臂上打粉底。,RestRoom,Mixed_Emotion,,,
10050510,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10050511,hide,hide,hide,hide,hide,左边的袖子卷到肘部。小臂内侧有一块淤青——不是旧的黄褐色，是新鲜的青紫色，边缘还没散开。她用海绵扑了一层粉，又扑了一层。粉底盖不住。她换了一款遮瑕膏，用指腹点上去，轻轻晕开。,RestRoom,Mixed_Emotion,,,
10050512,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10050513,hide,hide,hide,hide,hide,我从门外往里走了一步。地板发出轻微的声响。她在镜子里看到了我。,Club_door,Mixed_Emotion,,,
10050514,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050515,hide,hide,hide,hide,hide,她的第一反应不是惊慌。是笑。,Club_door,Mixed_Emotion,,,
10050516,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050517,早莺姬·小野南梨,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050518,hide,hide,hide,hide,hide,经理！我在补妆啦，不要偷看女生化妆！,Club_door,Mixed_Emotion,,,
10050519,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050520,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050521,hide,hide,hide,hide,hide,声音很明亮。太明亮了。就像刚接完莉香电话的我自己。,Club_door,Mixed_Emotion,,,
10050522,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050523,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050524,hide,hide,hide,hide,hide,……今天来得挺早。,Club_door,Mixed_Emotion,,,
10050525,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050526,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050527,hide,hide,hide,hide,hide,我没有提淤青。她也没有给我看。,Club_door,Mixed_Emotion,,,
10050528,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050529,早莺姬·小野南梨,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050530,hide,hide,hide,hide,hide,嗯。今天有位客人预订了很久，我想早点准备。,Club_door,Mixed_Emotion,,,
10050531,hide,hide,hide,hide,hide,对了经理，昨晚谢谢你帮我叫车。车费……我下周发工资还你。,Club_door,Mixed_Emotion,,,
10050532,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050533,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050534,hide,hide,hide,hide,hide,不用。公司报销。,Club_door,Mixed_Emotion,,,
10050535,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050536,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050537,hide,hide,hide,hide,hide,"""公司""不会报销。我说这句话的时候想起昨天晚上那个出租车计价器跳动的数字。大阪警局大概也不会。但从口袋掏钱比从嘴里掏解释容易。",Club_door,Mixed_Emotion,,,
10050538,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10050539,hide,hide,hide,hide,hide,她低头继续遮瑕。海绵在皮肤上轻轻拍打的声音。安静了一会儿。,Club_door,Silent_Night,,,
10050540,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
