ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10010400,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10010401,hide,hide,hide,hide,hide,她继续向前走。我跟在后面，脑海里却浮现出拉面店里增田课长的话。,RamenShop,Mixed_Emotion,,,
10010402,hide,hide,hide,hide,hide,“离那些女人远点，在那种地方，同情心是奢侈品。”,RamenShop,Mixed_Emotion,,,
10010403,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10010404,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10010405,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10010406,hide,hide,hide,hide,hide,经理室比想象中宽敞。西式的木质办公桌。,Manager_Office,Mixed_Emotion,,,
10010407,hide,hide,hide,hide,hide,墙上挂着西洋油画复制品——《维纳斯的诞生》，但维纳斯的脸被巧妙地替换成了浮世绘风格的美人。,Manager_Office,Mixed_Emotion,,,
10010408,hide,hide,hide,hide,hide,最诡异的是角落里的神龛。供奉的不是通常的稻荷神或地藏，而是一尊破损的陶瓷人偶,Manager_Office,Mixed_Emotion,,,
10010409,hide,hide,hide,hide,hide,——穿着十二单衣的女性人偶，脸碎了一半，露出里面空心的黑暗。,Manager_Office,Silent_Night,,,
10010410,hide,hide,hide,hide,hide,桂原雪代站在办公桌后，从抽屉里取出一本黑色封面的账簿。,Manager_Office,Silent_Night,,,
10010411,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010412,hide,hide,hide,hide,hide,你的前任，上月离职的松本经理，他管理的最后一周，酒水销售额是两百七十万元。,Manager_Office,Silent_Night,,,
10010413,hide,hide,hide,hide,hide,俱乐部的标准是三百万元。,Manager_Office,Silent_Night,,,
10010414,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010415,hide,hide,hide,hide,hide,她抬眼看向我。,Manager_Office,Silent_Night,,,
10010416,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010417,hide,hide,hide,hide,hide,不是“努力”，是“必须”达到。,Manager_Office,Silent_Night,,,
10010418,hide,hide,hide,hide,hide,这里的每个女孩，每周至少要创造足够的利润，才能支付她们的“存在成本”,Manager_Office,Silent_Night,,,
10010419,hide,hide,hide,hide,hide,——房租、服装、化妆品、培训费，以及……保护费。,Manager_Office,Silent_Night,,,
10010420,hide,hide,hide,hide,hide,你的工资是月薪四十万，提成是超额部分的百分之五。,Manager_Office,Silent_Night,,,
10010421,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010422,hide,hide,hide,hide,hide,她合上账簿，声音很轻：,Manager_Office,Silent_Night,,,
10010423,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010424,hide,hide,hide,hide,hide,如果你连续两周不达标……,Manager_Office,Silent_Night,,,
10010425,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010426,hide,hide,hide,hide,hide,她没有说完。但也不需要说完。,Manager_Office,Silent_Night,,,
10010427,hide,hide,hide,hide,hide,窗外，最后一线夕阳沉入地平线。,Manager_Office,Silent_Night,,,
10010428,hide,hide,hide,hide,hide,街道的霓虹灯次第亮起，给房间蒙上一层夜晚的色彩。,Manager_Office,Silent_Night,,,
10010429,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10010430,hide,hide,hide,hide,hide,我相信被我面试选中的人应该是聪明人，知道我在说什么。,Manager_Office,Silent_Night,,,
10010431,hide,hide,hide,hide,hide,我要去准备了。七点整，会有几位今晚出勤的女孩来打招呼。,Manager_Office,Mixed_Emotion,,,
10010432,hide,hide,hide,hide,hide,请记住她们的脸和代号。,Manager_Office,Mixed_Emotion,,,
10010433,hide,hide,hide,hide,hide,在客人面前，我们不用本名。,Manager_Office,Mixed_Emotion,,,
10010434,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010435,hide,hide,hide,hide,hide,门轻轻关上。,Manager_Office,Mixed_Emotion,,,
10010436,hide,hide,hide,hide,hide,我站在原地，听着她的脚步声在走廊里渐行渐远。,Corridor,Mixed_Emotion,,,
10010437,hide,hide,hide,hide,hide,她的木屐敲击地面的声音很规律，像计时器的倒计时。,Corridor,Mixed_Emotion,,,
10010438,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10010439,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10010440,hide,hide,hide,hide,hide,敲门声轻轻响起。,Corridor,Mixed_Emotion,,,
10010441,hide,hide,hide,hide,hide,不是那种干脆的敲击，而是犹豫的、试探性的“叩、叩叩”。,Corridor,Mixed_Emotion,,,
10010442,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10010443,hide,hide,hide,hide,hide,请进。,Corridor,Mixed_Emotion,,,
10010444,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10010445,hide,hide,hide,hide,hide,门被推开一条缝。先探进来的是挑染的头发。然后是一张贴着亮片和水钻的脸，夸张的睫毛，闪光的唇彩。,Corridor,Mixed_Emotion,,,
10010446,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,从门缝里挤进来
10010447,hide,hide,hide,hide,hide,打扰啦——！是新来的经理吗？我是六月的“神鸦姬”，神乐坂紫！,Corridor,Mixed_Emotion,,,
10010448,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10010449,hide,hide,hide,hide,hide,她穿着涩谷系辣妹的典型装扮：超短裙、厚底靴、印着英文口号的无袖T恤。但最引人注目的是她手里拿着的一副塔罗牌——牌背是深紫色的星空图案。,Corridor,Mixed_Emotion,,,
10010450,hide,hide,hide,hide,hide,她蹦跳着来到办公桌前，眼睛亮晶晶的。,Manager_Office,Mixed_Emotion,,,
10010451,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010452,hide,hide,hide,hide,hide,经理经理！要不要占卜？第一次免费哦！超——准的！,Manager_Office,Mixed_Emotion,,,
10010453,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010454,hide,hide,hide,hide,hide,不等我回答，她已经熟练地洗牌。牌在她手中翻飞，发出“唰唰”的声响。,Manager_Office,Mixed_Emotion,,,
10010455,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,闭上眼，低声念着什么
10010456,hide,hide,hide,hide,hide,好啦！抽一张吧！,Manager_Office,Mixed_Emotion,,,
10010457,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010458,hide,hide,hide,hide,hide,她把牌摊开在桌面上。七十八张牌，背面朝上，像一片深灰色的稻田。,Manager_Office,Mixed_Emotion,,,
10010459,hide,hide,hide,hide,hide,我犹豫了一下，随意抽出一张。,Manager_Office,Mixed_Emotion,,,
10010460,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,接过牌，翻转
10010461,hide,hide,hide,hide,hide,啊！,Manager_Office,Mixed_Emotion,,,
10010462,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010463,hide,hide,hide,hide,hide,她的眼睛瞪得更大了。,Manager_Office,Mixed_Emotion,,,
10010464,hide,hide,hide,hide,hide,牌面上，一个年轻人站在悬崖边，穿着色彩斑斓的衣服，肩上挂着一个小包袱，手里拿着一朵白玫瑰。他仰头看着天空，脚下是一只小白狗。,Manager_Office,Mixed_Emotion,,,
10010465,hide,hide,hide,hide,hide,愚者。正位。,Manager_Office,Mixed_Emotion,,,
10010466,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,声音突然变得认真
10010467,hide,hide,hide,hide,hide,“愚者”……正位。,Manager_Office,Mixed_Emotion,,,
10010468,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010469,hide,hide,hide,hide,hide,她抬头看我，那双涂着闪亮眼影的眼睛里，第一次出现了某种近似于严肃的情绪，当然还没有那么严肃。,Manager_Office,Mixed_Emotion,,,
10010470,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010471,hide,hide,hide,hide,hide,新的开始。冒险。无限的可能性。,Manager_Office,Mixed_Emotion,,,
10010472,hide,hide,hide,hide,hide,但是……,Manager_Office,Mixed_Emotion,,,
10010473,hide,hide,hide,hide,hide,也要小心脚下。,Manager_Office,Mixed_Emotion,,,
10010474,hide,hide,hide,hide,hide,嗯，也对，这里的工作不好做呢！,Manager_Office,Mixed_Emotion,,,
