ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10500601,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500602,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500603,hide,hide,hide,hide,hide,外面的天全黑了。排练室里只亮着一盏台灯——不是天花板的灯，是钢琴旁边的一盏小台灯。灯光打在一个很小的圈里。圈外是暗的。夏实坐在光圈里。手里拿着一个信封。白色的。没用过的。封口还没撕。,Corridor,Unreal_Memory,,,
10500604,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500605,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500606,hide,hide,hide,hide,hide,空气里多了两种味道。一种是台灯灯泡烧热之后散发出来的微弱的焦味。另一种是纸的味道——新纸。不是那种印刷纸。是信纸。那种很薄的、对着光能看到纤维的信纸。,Corridor,Unreal_Memory,,,
10500607,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500608,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500609,hide,hide,hide,hide,hide,这个——给你看。,Corridor,Unreal_Memory,,,
10500610,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500611,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500612,hide,hide,hide,hide,hide,她从信封里抽出信纸。展开。信纸很薄。上面的字迹是她的——圆圆的，有点歪。但每一个字都写得很用力。不是铅笔。是圆珠笔。蓝色的。信纸有三页。第一页是写给父母的。第二页是写给粉丝的。第三页——她用手盖住了。,Corridor,Unreal_Memory,,,
10500613,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500614,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500615,hide,hide,hide,hide,hide,遗书。,Corridor,Unreal_Memory,,,
10500616,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500617,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10500618,hide,hide,hide,hide,hide,"她说这两个字的时候没有颤抖。不是那种""我要死了""的宣言。是某种更安静的承认——承认了可能性。承认了今晚可能会出事。承认了自己已经做好了准备。",Corridor,Mixed_Emotion,,,
10500619,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500620,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500621,hide,hide,hide,hide,hide,"以前在偶像团的时候也写过。但那是假的。经纪人说——""写一封遗书，拍成MV。粉丝会感动。""我写了。写完之后对着镜头哭。哭得很好看。但我自己知道——那封信里没有一个字是真的。",Corridor,Mixed_Emotion,,,
10500622,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500623,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500624,hide,hide,hide,hide,hide,她把信纸翻到第三页。手松开了。第三页只有两行字。不是写给谁的。是写给她自己的。,Corridor,Mixed_Emotion,,,
10500625,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10500626,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
