ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10100001,hide,hide,hide,hide,hide,第三天傍晚六点十五分，我穿过"十二飞鸟"那条漫长的走廊。,Corridor,Unreal_Memory,,,
10100002,hide,hide,hide,hide,hide,壁灯刚点亮不久，暖黄色的光线还在适应期，红色皮革的家具带来高级的质感。,Corridor,,,,
10100003,hide,hide,hide,hide,hide,空气里有新换的香薰气味——沉静的白檀混着一丝不易察觉的冷杉，像是刻意要压下什么更浓郁的残留。,Corridor,,,,
10100004,hide,hide,hide,hide,hide,我正核对过去两天的财务表时，一个声音从转角书架旁传来。,Corridor,,,,
10100005,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,黑羽经理，晚上好。,Corridor,,,,
10100006,hide,hide,hide,LisaJinguji_work,hide,她穿着一身闪亮高级的银色奢侈品连衣裙，和周围的家具相映衬。,Corridor,,,,
10100007,hide,hide,hide,LisaJinguji_work,hide,她手里端着白瓷咖啡杯，举止很优雅。,Corridor,,,,
10100008,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,请允许我正式自我介绍。十一月的"银鹮"，神宫寺丽莎。,Corridor,,,AddS_Char(Nov),
10100009,hide,hide,hide,LisaJinguji_work,hide,她递过一张名片。纸质厚实，只印着名字和俱乐部内线号码，右下角有个小小的烫金鹤纹。,Corridor,,,,
10100010,hide,hide,hide,LisaJinguji_work,hide,我接过名片时，她向前半步，声音压低到刚好能听清。,Corridor,,,,
10100011,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,简单自我介绍一下，我之前是银座的高级公关，所以非常擅长金融相关的业务。,Corridor,,,,
10100012,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,如果经理你有相关的诉求也可以来找我，我的客人们能够提供很多情报。,Corridor,,,,
10100013,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,你知道的，很多时候，赚取信息差的利润要比一丝不苟的工作要简单的多。,Corridor,,,,
10100014,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,对了，我的一位客人，某风投基金合伙人，最近推荐了一种新兴数字资产。,Corridor,,,,
10100015,hide,hide,hide,LisaJinguji_work,hide,她从西装内袋取出一张黑色卡片，尺寸只有名片一半。,Corridor,,,,
10100016,hide,hide,hide,LisaJinguji_work,hide,卡片上面用暗红色印着一只展翅的凤凰，下方是"Phoenix Coin"的英文字样。,Corridor,,,,
10100017,银鹮姬·神宫寺丽莎,hide,hide,LisaJinguji_work,hide,基于区块链，但采用零知识证明协议，交易完全匿名。,Corridor,,,,
10100018,hide,hide,hide,LisaJinguji_work,hide,她将卡片轻轻推入我手中的预约表夹层。,Corridor,,,,
