ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10520501,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520502,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520503,hide,hide,hide,hide,hide,景子从口袋里掏出手机。翻盖机。外壳是白色的，边角磨得露出了下面的灰色塑料。她翻开手机，屏幕亮了。蓝光照在她脸上，把眼角的细纹照得更清楚了。她按了几个键。然后把手机放在耳边。,Hospital,Coming_Dangerous,,,
10520504,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520505,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520506,hide,hide,hide,hide,hide,等待接通的嘟嘟声在安静的衣帽间里很清晰。一声。两声。三声。她用手指把纽扣按在膝盖上，慢慢转。四声。五声。然后电话接通了。一个小女孩的声音从听筒里漏出来。很远，但很亮。,Hospital,Silent_Night,,,
10520507,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520508,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520509,hide,hide,hide,hide,hide,妈妈——,Hospital,Silent_Night,,,
10520510,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520511,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520512,hide,hide,hide,hide,hide,"景子的脸变了。不是表情变了——是整个人的线条变了。肩膀松了。嘴唇张开了。眼睛里的那种""练习换弹""的硬度一下子消失了。取而代之的是另一种东西——很软，但很坚固。像一个铁架子外面包了一层棉布。",Hospital,Silent_Night,,,
10520513,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520514,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520515,hide,hide,hide,hide,hide,小澪。在奈良好吗。,Hospital,Silent_Night,,,
10520516,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520517,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520518,hide,hide,hide,hide,hide,好。食堂的炸鸡好难吃。没有妈妈做的好吃。,Hospital,Silent_Night,,,
10520519,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520520,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520521,hide,hide,hide,hide,hide,"景子笑了。不是那种""被逗笑""的笑——是那种""终于听到了想听的东西""的笑。她的手指在纽扣上停住了。不再转了。",Hospital,Silent_Night,,,
10520522,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520523,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520524,hide,hide,hide,hide,hide,等妈妈忙完这阵子——回去给你做。买最好的鸡腿肉。腌一晚上。裹两层面粉。炸到皮是脆的，里面是嫩的。比食堂的好吃一百倍。,Hospital,Silent_Night,,,
10520525,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520526,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520527,hide,hide,hide,hide,hide,一百倍是多少。,Hospital,Silent_Night,,,
10520528,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520529,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520530,hide,hide,hide,hide,hide,就是——你咬第一口就会闭上眼睛。,Hospital,Silent_Night,,,
10520531,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520532,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520533,hide,hide,hide,hide,hide,那妈妈也吃。,Hospital,Silent_Night,,,
10520534,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520535,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520536,hide,hide,hide,hide,hide,景子的嘴唇动了一下。没有声音出来。她的手指重新开始转纽扣。但这次转得很慢。很轻。像是在摸一件很珍贵的东西。,Hospital,Silent_Night,,,
10520537,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520538,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10520539,hide,hide,hide,hide,hide,妈妈当然吃。妈妈吃两块。小澪吃三块。剩下的一块——留到第二天早上。放在便当盒里。带到学校去。,Hospital,Mixed_Emotion,,,
10520540,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10520541,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
