ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570401,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10570402,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10570403,hide,hide,hide,hide,hide,下午两点。化妆间里只有春奈和我。她今天戴的是村上秘书的面具——完整版。面具已经贴在脸上了。她在镜子前调整细节。眉间的竖纹。嘴角的角度。喉结的阴影。每一个细节她都检查了三遍。然后用定妆喷雾喷了一层。喷雾在空气里留下很细的水雾——化学的、微凉的、带一点酒精的气味。,DressingRoom,Coming_Dangerous,,,
10570404,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570405,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570406,hide,hide,hide,hide,hide,她站起来。走了两步。左脚微微拖地。右手食指在左手袖口上弹了一下。和村上秘书一模一样的步态。一模一样的习惯。然后她站住。转过来。,DressingRoom,Coming_Dangerous,,,
10570407,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570408,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570409,hide,hide,hide,hide,hide,黑羽经理。晚宴的安保预案。请过目。,DressingRoom,Coming_Dangerous,,,
10570410,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570411,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570412,hide,hide,hide,hide,hide,她从口袋里掏出一张纸。不是真的预案——是春奈自己写的。但格式、措辞、签名——和村上秘书的公文一模一样。她把纸放在桌上。然后用村上秘书的习惯动作——右手食指在纸的左上角点了一下。然后收手。然后她看着我。眼睛里有一点光——不是村上秘书的，是春奈的。顽皮的底色透过面具漏出来。,DressingRoom,Coming_Dangerous,,,
10570413,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570414,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570415,hide,hide,hide,hide,hide,他有一个习惯。每次晚宴开始前十分钟——他会去后巷抽烟。一个人。抽一根。五分钟。这是他唯一不在监控前的时间。,DressingRoom,Coming_Dangerous,,,
10570416,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570417,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570418,hide,hide,hide,hide,hide,她把面具揭下来。动作很轻——和上次不一样。这次是慢慢揭的。像在拆一件很重要的礼物。面具下来之后，她自己的脸露出来。不是真脸——是她最常戴的仿妆。但她把仿妆也揭了。第二层。真脸出现了。那张很白的、眉毛很淡的、鼻梁侧面有一颗小痣的脸。她看着镜子里的自己。没有化妆。没有面具。只是看着。,DressingRoom,Coming_Dangerous,,,
10570419,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570420,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10570421,hide,hide,hide,hide,hide,明天。我会在后巷等他。他看到的会是自己。然后他会睡过去。麻醉剂——青鹭姐给的。十秒。然后我把他的衣服换过来。走进晚宴。,DressingRoom,Unreal_Memory,,,
10570422,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570423,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570424,hide,hide,hide,hide,hide,她转过来看着我。真脸的眼睛在镜子里是空的——什么都没有，所以什么都可以装。但她的声音不是空的。是满的。,DressingRoom,Unreal_Memory,,,
10570425,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570426,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570427,hide,hide,hide,hide,hide,五分钟。你只有五分钟。五分钟之后面具开始松。然后我必须走。你明白吗。,DressingRoom,Unreal_Memory,,,
10570428,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570429,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
10570430,hide,hide,hide,hide,hide,……明白。,DressingRoom,Unreal_Memory,,,
10570431,hide,hide,hide,hide,hide,,DressingRoom,Unreal_Memory,,,
