ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10200501,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200502,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200503,hide,hide,hide,hide,hide,下午三点。非营业时段，走廊里只有吸尘器的低频嗡鸣。地板上有消毒水的气味——清洁公司刚来过，那种刺鼻的氯味还没散干净。从楼梯转角往下走半层，储物间的门开着一条缝。暖黄色的灯光漏出来。,Corridor,Slow_Lure,,,
10200504,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200505,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Slow_Lure,,,从门缝里探出半个头
10200506,hide,hide,hide,hide,hide,啊——经理。,Corridor,Slow_Lure,,,
10200507,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200508,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200509,hide,hide,hide,hide,hide,她手里抱着一摞折叠好的桌布，最上面那条边角有一小块红酒渍，洗了很多次，褪成很淡很淡的粉色。她侧身让开门，里面有一股樟脑丸和旧布料混在一起的味道——像祖母家的衣柜，干燥，封闭，带着时间感。,Corridor,Slow_Lure,,,
10200510,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200511,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200512,hide,hide,hide,hide,hide,……在整理？,Corridor,Slow_Lure,,,
10200513,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200514,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200515,hide,hide,hide,hide,hide,嗯。雪代姐说，年底大扫除，每个人认领一个区域。我选了这里。,Corridor,Slow_Lure,,,
10200516,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200517,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200518,hide,hide,hide,hide,hide,她说话的时候还是低着头，但声音比以前大了。不是很大，只是——不再像从喉咙里挤出来的了。她把桌布放回架子上，拍了拍手上的灰。她的手指比夏天的时候粗糙了一些，指甲剪得很短，边缘不齐。,Corridor,Slow_Lure,,,
10200519,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200520,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200521,hide,hide,hide,hide,hide,……自己选的？,Corridor,Slow_Lure,,,
10200522,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200523,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10200524,hide,hide,hide,hide,hide,嗯。这里——安静。没有人来。而且——,Corridor,Silent_Night,,,
10200525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10200526,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
