ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10220601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220603,hide,hide,hide,hide,hide,深夜十一点半。大厅里还有最后一桌客人，声音稀稀拉拉的。我站在吧台后面，替景子的班。衬衫袖口沾上了红酒，是刚才开瓶时溅到的。酒渍在白色的布料上慢慢洇开，像一小块淤血。白鹤姬从走廊那边走过来。她的脚步声在木质地板上有一种特殊的节奏——不是快，也不是慢，是刚好让人听见的程度。,Corridor,Silent_Night,,,
10220604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220605,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220606,hide,hide,hide,hide,hide,黑羽——景子呢。,Corridor,Silent_Night,,,
10220607,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220609,hide,hide,hide,hide,hide,她的声音和平时一样平稳。但平稳不等于温和。她看了一眼吧台——杯子排列整齐，酒瓶标签全部朝外。这是她教的。标签朝外，客人才知道喝的是什么。她检查了一遍，目光在每个瓶子上停留的时间都一样。,Corridor,Silent_Night,,,
10220610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220611,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220612,hide,hide,hide,hide,hide,……小澪发烧。她请假了。我没来得及说。,Corridor,Silent_Night,,,
10220613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220615,hide,hide,hide,hide,hide,"我以为她会说""扣工资""或者""下次提前报告""。她没有。她把手提包放在吧台上。包是黑色的，皮质很软。搭扣打开的声音很轻。",Corridor,Silent_Night,,,
10220616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220617,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220618,hide,hide,hide,hide,hide,几度。,Corridor,Silent_Night,,,
10220619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220620,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220621,hide,hide,hide,hide,hide,……三十九。,Corridor,Silent_Night,,,
10220622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220623,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,沉默了一会儿
10220624,hide,hide,hide,hide,hide,明天后天——让她也别来了。,Corridor,Silent_Night,,,
10220625,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220626,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220627,hide,hide,hide,hide,hide,吧台后面的冰箱嗡了一声。压缩机启动的震动通过地板传上来。白鹤姬从包里拿出一张纸——是俱乐部的假条表格。她没填。直接撕掉了。纸片撕开的声音在深夜的吧台里出奇地脆。,Corridor,Silent_Night,,,
10220628,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220629,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220630,hide,hide,hide,hide,hide,不算请假。算带薪假。你告诉她——小澪退烧了再来。,Corridor,Silent_Night,,,
10220631,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220632,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220633,hide,hide,hide,hide,hide,……好。,Corridor,Silent_Night,,,
10220634,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220635,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220636,hide,hide,hide,hide,hide,还有——她这个月的酒水提成，我让会计提前算。明天打给她。,Corridor,Silent_Night,,,
10220637,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220638,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10220639,hide,hide,hide,hide,hide,她把撕碎的表格扔进垃圾桶。纸片落进去的时候没有声音。她拎起包，转身要走。走到走廊转角的时候停了一下。没有回头。她的影子被走廊的壁灯拉得很长，从地板上爬过去，碰到我的脚边。,Corridor,Unreal_Memory,,,
10220640,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220641,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220642,hide,hide,hide,hide,hide,黑羽——你觉得我对她们太严。,Corridor,Unreal_Memory,,,
10220643,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220644,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220645,hide,hide,hide,hide,hide,……没有。,Corridor,Unreal_Memory,,,
10220646,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220647,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220648,hide,hide,hide,hide,hide,严是规矩。没有规矩——她们连请假的权利都没有。,Corridor,Unreal_Memory,,,
10220649,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220650,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
