ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10180401,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10180402,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10180403,hide,hide,hide,hide,hide,"下午两点。谷川景子说她今天不用早到店，可以陪我去选正装。她的原话是——""经理上次帮我在寝具店解围，我一直想着怎么谢你。不如帮你挑一套能穿去见重要客人的衣服——你有那件旧西装，不行的。那件是灰色，版型不对，肩线垂了。""",BedStore,Silent_Night,,,
10180404,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180405,hide,hide,hide,hide,hide,她站在西装店的试衣镜旁边，一件一件拿下衣架。不是那种随意的逛街——她做这件事和她叠毛巾一样认真。,BedStore,Silent_Night,,,
10180406,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180407,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180408,hide,hide,hide,hide,hide,这件深蓝色可以。颜色比黑色柔和，但正式度不差。领子的驳头比例刚好——不会太宽，太宽会有距离感。试一下。,BedStore,Silent_Night,,,
10180409,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180410,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180411,hide,hide,hide,hide,hide,她把外套递到我手上。我在试衣间换上，走出来站到镜子前。她看着镜子里的我，上下扫了一遍。,BedStore,Silent_Night,,,
10180412,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180413,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180414,hide,hide,hide,hide,hide,肩线正好。袖长刚好。经理之前穿那件旧西装的背影总像个刚入行的底层推销员。现在换了一件合适的——至少像个中层的管理人员了。下次预约安排的时候不用刻意站到角落里——可以站在灯光好的地方。,BedStore,Silent_Night,,,
10180415,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180416,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180417,hide,hide,hide,hide,hide,她纠正了一下我的领口，把我的领子从后领处翻正。动作很自然，和她在家里给孩子整理衣服一样。镜子里是一个穿对了西装的中年男人。看起来比我本身更可靠，大概比真实的黑羽哲也更像可以用五年不破产。,BedStore,Silent_Night,,,
10180418,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180419,hide,hide,hide,hide,hide,☆☆☆ BE09「社死」触发窗口开启 (Day 19~22) ☆☆☆,BedStore,Silent_Night,,,
10180420,hide,hide,hide,hide,hide,[若接下来处理客人投诉时出现严重越轨 → 被媒体曝光 → 卧底身份公开],BedStore,Silent_Night,,,
10180421,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180422,hide,hide,hide,hide,hide,"我付了钱。景子在店门口用手机给小澪发了一条消息。消息内容很短——""今晚准时到家。""加上一个表情符号。然后她回头看我。",BedStore,Silent_Night,,,
10180423,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180424,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180425,hide,hide,hide,hide,hide,谢谢你陪我来——其实就是我想多谢你上一次。可能你觉得只是帮我跟白鹤姬说了一句话。但这话在俱乐部里是买不到的。我永远记得你说了这句。,BedStore,Silent_Night,,,
10180426,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10180427,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
