ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600401,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600402,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600403,hide,hide,hide,hide,hide,七点四十五分。第一道菜上完了。村上道也举起酒杯。站起来。所有人安静了。他清了清嗓子。,Club_lobby,Silent_Night,,,
10600404,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600405,村上道也,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600406,hide,hide,hide,hide,hide,感谢各位今晚赏光。十二飞鸟俱乐部——是大阪的明珠。三年来，我们和雪代小姐合作愉快。今晚——我想宣布一项新的合作计划。关于凤凰账户的扩展。,Club_lobby,Silent_Night,,,
10600407,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600408,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600409,hide,hide,hide,hide,hide,他停了一下。环顾四周。他的眼睛在我身上停了一秒。不是偶然——是确认。确认我在。确认他的计划还在轨道上。,Club_lobby,Silent_Night,,,
10600410,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600411,村上道也,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600412,hide,hide,hide,hide,hide,但在宣布之前——有一件小事需要处理。关于俱乐部里的——不速之客。,Club_lobby,Silent_Night,,,
10600413,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600414,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600415,hide,hide,hide,hide,hide,他的声音没有变。还是那种演讲的腔调。但大厅里的空气变了。像是有人在空调里加了某种东西——不是化学物质，是紧张。所有人的呼吸都慢了一拍。高的那个心腹把手又放回了腰间。矮的那个墨镜摘下来了——露出两只很小的眼睛。,Club_lobby,Coming_Dangerous,,,
10600416,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600417,村上道也,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600418,hide,hide,hide,hide,hide,黑羽经理。或者说——黑羽义。缉毒组。卧底五十六天。你辛苦了。,Club_lobby,Coming_Dangerous,,,
10600419,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600420,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600421,hide,hide,hide,hide,hide,他看着我。所有人看着我。雪代站在他旁边。没有动。她的手放在身侧。和服的袖口垂下来。她的表情没有任何变化。但她的眼睛——在村上道也说话的时候，她看了我一眼。只有一秒。然后移开。,Club_lobby,Coming_Dangerous,,,
10600422,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600423,村上道也,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600424,hide,hide,hide,hide,hide,你很努力。证据也收集了不少。但今晚——你走不出这个房间。,Club_lobby,Coming_Dangerous,,,
10600425,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600426,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600427,hide,hide,hide,hide,hide,他抬起手。不是指我——是给他的心腹发信号。高的那个心腹把手从腰间拿出来。手里是一把枪。黑色的。不是指着我——是指着天花板。然后慢慢往下移。往我的方向移。,Club_lobby,Coming_Dangerous,,,
10600428,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600429,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600430,hide,hide,hide,hide,hide,这一秒。这一秒很长。大厅里的吊灯还在亮。桌上的花还在。烤牛肉的油脂香还在。所有东西都在。但时间被拉长了。我看到Linda的手移向裙摆——裙摆下面有那把枪。我看到葵的手放在口袋里——口袋里有麻醉剂。我看到春奈——村上秘书——的左手动了一下，摸了一下左耳。面具开始松了。我看到育子站在门口。她说了会在正门。她在正门。她的眼睛看着我。,Club_lobby,Coming_Dangerous,,,
10600431,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600432,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600433,hide,hide,hide,hide,hide,然后我看到雪代。,Club_lobby,Coming_Dangerous,,,
10600434,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600435,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600436,hide,hide,hide,hide,hide,村上道也的心腹掏枪的时候——雪代站在村上旁边。她只需要做一个很小的动作。伸手。按住那个心腹的手臂。或者往前走一步。挡住枪口。或者——说一句话。任何一句话。她只需要一秒钟。一秒钟就能改变所有。,Club_lobby,Coming_Dangerous,,,
10600437,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600438,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600439,hide,hide,hide,hide,hide,但她没有动。,Club_lobby,Coming_Dangerous,,,
10600440,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600441,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600442,hide,hide,hide,hide,hide,"不是因为她想让黑羽死。不是。是因为她没有意识到自己的选择。那一秒太短——短到野心和本能来不及打架。短到三年来她建立的每一个防御——每一个""我不是任何人的人""的信念——都在那一秒里沉默了。她的身体记住了三年的惯性。站在权力旁边。不动。不挡。不救。她的本能——被三年驯化的本能——选择了不动。",Club_lobby,Coming_Dangerous,,,
10600443,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600444,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10600445,hide,hide,hide,hide,hide,她的眼睛看着我。嘴唇微微张开。像是想说一个字。但那个字没有出来。因为那一秒已经过去了。,Club_lobby,Unreal_Memory,,,
10600446,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
