ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10420401,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420402,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420403,hide,hide,hide,hide,hide,衣帽间在宴会厅的隔壁。不大，但很整洁。墙上挂了一排木制衣架，衣架之间有等距的间隔。空气里有樟脑丸的味道，还有更淡的——旧呢料的味道。那是挂在这里太久的大衣留下的，像某种被遗忘的客人的残影。景子坐在靠墙的小桌前，面前摊着一份名单。,Club_away,Silent_Night,,,
10420404,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420405,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420406,hide,hide,hide,hide,hide,名单是按字母顺序排的。一百二十个名字。每个名字后面跟着职务、所属机构、和备注。景子的手指在名单上慢慢往下移。她的嘴唇在动——她在默念每一个名字。念到认识的名字，手指会停一下。念到不认识的名字，手指会更快地滑过去。她念得很认真。像是在背一份功课。,Club_away,Unreal_Memory,,,
10420407,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420408,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420409,hide,hide,hide,hide,hide,手指停在了一个名字上。不是停——是僵住了。她看着那个名字。看了很久。嘴唇不动了。手指也不动了。名单上的油墨在那个名字上稍微洇开了一点——大概是印刷的时候油墨太浓了。,Club_away,Unreal_Memory,,,
10420410,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420411,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420412,hide,hide,hide,hide,hide,「黑田康正。众议院议员。大阪府。」,Club_away,Unreal_Memory,,,
10420413,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420414,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420415,hide,hide,hide,hide,hide,景子把手从名单上拿开。放在膝盖上。然后她又把手放回去。指尖点在「黑田」那两个字上。点得很轻。像在碰一个烫的东西。,Club_away,Unreal_Memory,,,
10420416,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420417,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420418,hide,hide,hide,hide,hide,……他也要来。,Club_away,Unreal_Memory,,,
10420419,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420420,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420421,hide,hide,hide,hide,hide,"她说这四个字的时候声音很小。不是那种害怕的小——是那种""我需要确认一下""的小。她把名单拿起来，凑近看。确认了「黑田」的汉字没有看错。确认了「康正」的汉字没有看错。确认了「众议院议员」的五个字没有看错。然后把名单放下。名单落在桌上发出很轻的啪的一声。",Club_away,Unreal_Memory,,,
10420422,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420423,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10420424,hide,hide,hide,hide,hide,衣帽间里很安静。只有墙上那排衣架偶尔轻轻碰撞——大概是通风口的风吹动了它们。樟脑丸的味道越来越浓。不是樟脑丸变多了——是她开始深呼吸。吸进樟脑丸的味道，呼出热气。一次。两次。三次。到第三次的时候，她的手不再抖了。,Club_away,Silent_Night,,,
10420425,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420426,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420427,hide,hide,hide,hide,hide,她站起来。走到衣帽间的镜子前。镜子是全身镜，镶在一个木框里。木框上刻了花纹——飞鸟的图案。十二只飞鸟，姿态各不相同。景子看着镜子里的自己。她今天没有化妆。头发用一根皮筋扎在脑后，扎得很低。她穿了一件深色的毛衣，袖口有一点起球。她看着镜子里的自己，看了很久。然后她把名单折起来。折成很小的一块。放进口袋。,Club_away,Silent_Night,,,
10420428,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420429,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420430,hide,hide,hide,hide,hide,口袋里的纽扣还在。那颗纽扣——铜的，上面刻了一只燕子的图案。是南梨走之前给她的。她把手伸进口袋，摸了一下纽扣。铜的触感很凉。但在她手指的体温下，慢慢变暖了。,Club_away,Silent_Night,,,
10420431,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
